날짜,cycle_raw,regime_raw,cycle_ma3,regime_smooth
2015-01-01,-0.8292885922859909,0,-0.662371033234327,0
2015-02-01,-0.46237316617823865,0,-0.662371033234327,0
2015-03-01,-0.6954513412387513,0,-0.662371033234327,0
2015-04-01,-0.7285131509415947,0,-0.6287792194528615,0
2015-05-01,-1.1615432626238942,0,-0.86183591826808,0
2015-06-01,-1.1945207223793517,0,-1.0281923786482803,0
2015-07-01,-1.1274156137765488,0,-1.1611598662599316,0
2015-08-01,-0.760188803403139,0,-1.0273750465196798,0
2015-09-01,-0.1927924586523062,0,-0.6934656252773314,0
2015-10-01,0.27482711873715004,1,-0.22605138110609838,0
2015-11-01,0.14272511462257853,1,0.07491992490247412,1
2015-12-01,0.010954594281699315,1,0.1428356092138093,1
2016-01-01,-0.22043247828179346,0,-0.02225092312583854,1
2016-02-01,-0.35138422359037236,0,-0.18695403586348883,0
2016-03-01,-0.4818470612986232,0,-0.351221254390263,0
2016-04-01,-0.6117646997630857,0,-0.4816653282173604,0
2016-05-01,-0.34107712938462953,0,-0.47822963014877945,0
2016-06-01,-0.16971962015749398,0,-0.37418714976840306,0
2016-07-01,0.10237518969205439,1,-0.13614051995002305,0
2016-08-01,0.27527597150273664,1,0.06931051367909902,1
2016-09-01,0.04905060668124861,1,0.14223392262534654,1
2016-10-01,-0.07623514740869552,0,0.08269714359176324,1
2016-11-01,0.19948408811974616,0,0.05743318246409975,1
2016-12-01,0.476274280387571,1,0.19984107369954054,1
2017-01-01,0.7541998572867072,1,0.4766527419313415,1
2017-02-01,0.8333215717532028,1,0.6879319031424936,1
2017-03-01,1.0136943572798174,1,0.8670719287732425,1
2017-04-01,0.9953667174088707,1,0.947460882147297,1
2017-05-01,1.1783793339669444,1,1.062480136218544,1
2017-06-01,1.162765208481872,1,1.1121704199525624,1
2017-07-01,1.0485482500483272,1,1.129897597499048,1
2017-08-01,1.1357433958072107,1,1.11568561811247,1
2017-09-01,1.4243574922494133,1,1.2028830460349837,1
2017-10-01,1.2143886224136793,1,1.2581631701567677,1
2017-11-01,1.405823878926057,1,1.3481899978630498,1
2017-12-01,0.8986409841300258,1,1.172951161823254,1
2018-01-01,1.0928068129625217,1,1.1324238920062015,1
2018-02-01,1.1882813064022741,1,1.0599097011649405,1
2018-03-01,1.1850159732766627,1,1.1553680308804861,1
2018-04-01,0.9829531535758065,1,1.1187501444182477,1
2018-05-01,0.9820260436480623,1,1.049998390166844,1
2018-06-01,0.9821602553265905,1,0.9823798175168198,1
2018-07-01,0.8832738230831865,1,0.9491533740192798,1
2018-08-01,0.8852772029925688,1,0.9169037604674486,1
2018-09-01,0.5880740357449952,1,0.7855416872735835,1
2018-10-01,0.49156113118813494,1,0.654970789975233,1
2018-11-01,0.39563076156127863,1,0.49175530949813623,1
2018-12-01,0.20017140619380314,1,0.3624544329810722,1
2019-01-01,0.40506849170867554,1,0.33362355315458575,1
2019-02-01,-0.1897940998036063,1,0.13848193269962414,1
2019-03-01,-0.28453561178092457,0,-0.02308707329195177,0
2019-04-01,-0.4792738232004865,0,-0.31786784492833914,0
2019-05-01,-0.07412431754858062,0,-0.2793112508433306,0
2019-06-01,-0.06919898021099868,0,-0.20753237365335528,0
2019-07-01,-0.06460912462671331,0,-0.06931080746209754,0
2019-08-01,0.039534469708115694,1,-0.03142454504319877,0
2019-09-01,0.14312152182449722,1,0.039348955635299866,1
2019-10-01,0.24604144570358244,1,0.14289914574539844,1
2019-11-01,0.04818255099374369,1,0.14578183950727444,1
2019-12-01,0.4494312488754133,1,0.24788508185757982,1
2020-01-01,0.5496735787501024,1,0.34909579287308645,1
2020-02-01,-0.15120788781446493,1,0.28263231327035027,1
2020-03-01,-1.3533348205590414,0,-0.318289709874468,0
2020-04-01,-2.4568277224968824,0,-1.3204568102901295,0
2020-05-01,-3.461796654242903,0,-2.423986399099609,0
2020-06-01,-3.4683327194080533,0,-3.128985698715946,0
2020-07-01,-3.276500310209329,0,-3.402209894620095,0
2020-08-01,-2.8863370570371245,0,-3.2103900288848357,0
2020-09-01,-2.297855308643719,0,-2.8202308919633907,0
2020-10-01,-2.0110451426620415,0,-2.3984125027809617,0
2020-11-01,-1.4258789063600261,0,-1.9115931192219289,0
2020-12-01,-1.542313429681883,0,-1.6597458262346503,0
2021-01-01,-1.8602945404197442,0,-1.6094956254872177,0
2021-02-01,-1.8797561657992077,0,-1.7607880453002782,0
2021-03-01,-1.5006178789213322,0,-1.7468895283800947,0
2021-04-01,-0.6227847485957341,0,-1.334386264438758,0
2021-05-01,-0.44615026479046094,0,-0.8565176307691758,0
2021-06-01,-0.47060311203560445,0,-0.5131793751405999,0
2021-07-01,-0.4960285323438143,0,-0.47092730305662656,0
2021-08-01,-0.5223081365308815,0,-0.4963132603034334,0
