날짜,PC1,cycle_pc1,경기국면
2015-01-01,5.490448211644181,-0.022628844751447552,0
2015-02-01,5.374610883291363,-0.05422069319414202,0
2015-03-01,5.211094035781735,-0.13349188618836205,0
2015-04-01,5.164692583156796,-0.09564691671777759,0
2015-05-01,5.158757301241486,-0.017333385952629676,0
2015-06-01,5.104933779234029,0.013096656326457179,1
2015-07-01,5.090636818738434,0.08306050648990393,1
2015-08-01,5.004477274316592,0.08117141281156393,1
2015-09-01,4.691049525111263,-0.14797449275280883,0
2015-10-01,4.509070918363407,-0.24565873647189385,0
2015-11-01,4.462699838398085,-0.2077206657517694,0
2015-12-01,4.575963466097505,-0.010128935926428717,0
2016-01-01,4.610399983129943,0.1086604012391188,1
2016-02-01,4.5558883710654765,0.13853217203703583,1
2016-03-01,4.472637161989348,0.1396999148456297,1
2016-04-01,4.446945826609475,0.19846703774480012,1
2016-05-01,4.2506370397353725,0.08665907498460435,1
2016-06-01,4.111249793670442,0.03181634692751789,1
2016-07-01,3.997110951901669,0.0022663764539014863,1
2016-08-01,3.8157976803128424,-0.09441325665558598,0
2016-09-01,3.854463600662786,0.02893146576727723,1
2016-10-01,3.7514983228582417,0.010691278535980953,1
2016-11-01,3.7013223432648483,0.04528757968629593,1
2016-12-01,3.566840346296445,-0.00437412719224195,0
2017-01-01,3.5529344576554687,0.06658875333730263,1
2017-02-01,3.2370878482078447,-0.16434010437366675,0
2017-03-01,3.1099508370207305,-0.20651039157462314,0
2017-04-01,2.8697924728146407,-0.3616518018053214,0
2017-05-01,2.9091616416379957,-0.23721259783323134,0
2017-06-01,2.7913434353579754,-0.26990204608390256,0
2017-07-01,2.9124200325918146,-0.06363049588871128,0
2017-08-01,2.7371122416266522,-0.15366758433161243,0
2017-09-01,2.5989194062220693,-0.20650392204807,0
2017-10-01,2.569794096580766,-0.15017570752375953,0
2017-11-01,2.520982538678355,-0.11342389007698239,0
2017-12-01,2.4193118595635283,-0.12940735918978463,0
2018-01-01,1.9760484104881728,-0.4868449049566821,0
2018-02-01,1.7941137053635285,-0.5827991562992632,0
2018-03-01,1.6496923711465725,-0.6410658725740519,0
2018-04-01,1.6958211699243504,-0.5085841811004335,0
2018-05-01,1.5755700918037057,-0.5422550346820654,0
2018-06-01,1.53981435824912,-0.49117023050431197,0
2018-07-01,1.4805273042532816,-0.4633192681577043,0
2018-08-01,1.5929348135329497,-0.26343530861494857,0
2018-09-01,1.7411939815701076,-0.027316726089175347,0
2018-10-01,1.7073295271804103,0.027107761220007687,1
2018-11-01,1.5861280203651775,-0.0053285029241347814,0
2018-12-01,1.5066386930537912,0.004470278004898409,1
2019-01-01,1.4040567172552774,-0.008254118271753708,0
2019-02-01,1.5413133856404984,0.21947617213599635,1
2019-03-01,1.409785032593625,0.17908411852073303,1
2019-04-01,1.2988267322327716,0.15996973642000256,1
2019-05-01,1.0472111376749795,0.0009492385483713672,1
2019-06-01,1.1244383715794724,0.17156507282820632,1
2019-07-01,1.1692849917050505,0.3106361149570781,1
2019-08-01,1.112396265477125,0.34884862649459314,1
2019-09-01,0.9484569498099739,0.2809259616056229,1
2019-10-01,0.8105239891533883,0.23996097025732233,1
2019-11-01,0.7342540995068378,0.26164410632793234,1
2019-12-01,0.45789087176053983,0.0842508470357452,1
2020-01-01,0.3168822247044999,0.04325897863999628,1
2020-02-01,0.2971511848569819,0.12462074504448278,1
2020-03-01,0.6852293267785646,0.6148966044069013,1
2020-04-01,1.0739324455513835,1.1069302738266824,1
2020-05-01,1.470859002376528,1.6083433919496453,1
2020-06-01,1.1832751732070395,1.4264167710449054,1
2020-07-01,0.9796456456136864,1.3296173249422687,1
2020-08-01,0.8505611307451045,1.3085269847471621,1
2020-09-01,0.6202023025935952,1.1873073850157398,1
2020-10-01,0.662990200452047,1.3403504289459094,1
2020-11-01,0.5604413009909172,1.3491342957907317,1
2020-12-01,0.31853444763630795,1.219589189348813,1
2021-01-01,0.12475794801238571,1.1391443676299733,1
2021-02-01,-0.1586509311961865,0.9699686372941172,1
2021-03-01,-0.5292163188283862,0.7144606197833144,1
2021-04-01,-0.845402259696996,0.5140715362399241,1
2021-05-01,-1.0386449124582147,0.43727498114946584,1
2021-06-01,-1.1224956067055438,0.4704254114587958,1
2021-07-01,-1.3807770421453962,0.329602539966511,1
2021-08-01,-1.6054061679868648,0.2227882001428223,1
2021-09-01,-1.809594867349969,0.13666674831753944,1
2021-10-01,-2.0946007873467756,-0.030124942216328776,0
2021-11-01,-2.2905189851378918,-0.10778846274169362,0
2021-12-01,-2.7122077757832037,-0.4112884299952033,0
2022-01-01,-3.0623374710662,-0.6434006257360081,0
2022-02-01,-3.3706756945545946,-0.833994969985647,0
2022-03-01,-3.53283858822671,-0.878784936665268,0
2022-04-01,-3.6265919027346993,-0.8556271732234748,0
2022-05-01,-3.804200387688895,-0.9168705453190835,0
2022-06-01,-4.0704093870268,-1.0673379108765584,0
2022-07-01,-4.41296063728651,-1.294841445802553,0
2022-08-01,-4.820076518622365,-1.5876657339879356,0
2022-09-01,-4.974337933084701,-1.6284438901590343,0
2022-10-01,-5.061246315101329,-1.6027173109124426,0
2022-11-01,-4.946572457908756,-1.37628418649998,0
2022-12-01,-4.750131454998564,-1.068974640782618,0
2023-01-01,-4.834069937772605,-1.0429397160548541,0
2023-02-01,-4.917228777965844,-1.017016446683178,0
2023-03-01,-4.977929779182969,-0.9695147515294495,0
2023-04-01,-4.982170716889689,-0.8664126739674254,0
2023-05-01,-5.078990346231254,-0.8567217562267038,0
