,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
미국_대두유(-1~-5),0.009451122773218143,0.005081697513114488,0.008771345,0.017434791028571428,0.007624994295825923,0.016205623500000002,0.007983668255353285,84.47322553016434,-1.4570528334441097,1.0520714316996851e-12
알루미늄(-1~-5),0.0075890701058315335,0.003927040520280592,0.006722992,0.014157130714285714,0.007322808013360005,0.0133069495,0.006568060608454181,86.54631617393024,-1.454701866205447,2.0574346594073856e-10
미국_원면(-6~-10),0.010967080168466523,0.005917038003857369,0.009384788,0.021540922985714285,0.013709973298573465,0.0205005945,0.010573842817247762,96.41438427386143,-1.4272506026834562,1.5426403735867994e-08
미국_원면(-1~-5),0.009717637421166308,0.00527306074344111,0.008802035,0.017730098057142856,0.007618962301011862,0.0191853945,0.008012460635976548,82.45276386340925,-1.4223154845628205,9.129944933386423e-13
런던_소맥(-6~-10),0.007850796116630669,0.005129586938170111,0.006940832,0.01797524774285714,0.01517054030563218,0.012604905,0.010124451626226471,128.9608273583799,-1.3933398699462511,4.837828054740178e-07
알루미늄(-16~-20),0.007894606384449243,0.003896926743656158,0.007385386,0.014009955385714284,0.00727852979128475,0.012457224999999999,0.006115349001265041,77.46236738681519,-1.3641388431111559,1.5365476140230811e-09
런던_가스오일(-1~-5),0.013614766174946004,0.008227201322642852,0.011628436,0.026262572371428573,0.015623623618927274,0.020364193000000003,0.012647806196482569,92.89771145506089,-1.328698598648902,4.46800185700348e-09
미국_원면(-16~-20),0.010087983870410367,0.005693535672186064,0.008966063,0.019779162057142856,0.014084675511590426,0.017674512000000003,0.009691178186732489,96.06655116844733,-1.3190221920986098,2.553569513007226e-07
주석(-1~-5),0.008177521354211665,0.005866534544643333,0.006808051,0.01725964411428571,0.011849044285962463,0.013766075,0.009082122760074045,111.06204883704136,-1.3083303553509524,1.9301434240634e-08
런던_소맥(-1~-5),0.007250792382289416,0.0047142160847176194,0.00626692,0.014515607328571425,0.009514324565128698,0.0115257875,0.007264814946282009,100.1933935389854,-1.3027253004217012,2.135459783271139e-08
