"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2023.12",113.3,3.3,92.0,108.6,13039.4,90.3,2468.2,0.20,111.6,109.6,119.5,11640.4,104.3,97.8,42570.1,26993.2,114.7,115.1,2.8,8821.4,28487.7,4.3
"2024.01",113.7,7.8,91.8,107.8,12926.0,90.9,2510.4,-0.06,111.9,109.2,119.5,12119.3,104.1,97.5,42638.5,27027.9,114.8,113.3,2.7,8694.5,28505.2,4.3
"2024.02",114.1,8.9,92.4,107.2,13714.7,91.4,2567.5,-0.21,112.1,109.1,120.1,12377.7,102.8,96.9,42537.4,27100.2,114.9,111.9,2.6,8569.6,28569.4,4.3
"2024.03",114.3,6.3,92.7,105.4,11883.9,91.7,2616.2,-0.16,112.0,108.7,120.1,12537.3,102.0,95.9,42592.0,27121.1,115.1,111.1,2.5,8588.1,28605.5,4.3
"2024.04",114.9,8.0,93.7,105.0,12404.3,92.0,2668.1,-0.11,112.2,109.9,120.6,12025.8,101.2,96.1,43305.0,27129.6,115.4,110.8,2.3,8770.4,28631.7,4.3
"2024.05",115.2,8.5,93.8,102.9,11954.0,92.3,2694.8,-0.07,112.0,109.9,120.1,11605.6,101.7,95.5,43631.9,27087.9,115.6,110.6,2.3,8854.1,28597.8,4.2
"2024.06",115.7,8.6,94.6,101.7,13655.6,92.8,2711.0,-0.11,112.1,110.7,120.1,11509.3,101.7,95.6,43637.2,27071.9,115.8,110.5,2.2,8842.1,28581.2,4.2
"2024.07",115.9,6.1,95.1,100.8,13605.4,93.1,2756.0,-0.24,111.8,109.4,120.0,11315.6,101.8,94.1,43735.1,27061.0,115.9,110.2,2.2,8718.8,28550.9,4.2
"2024.08",116.2,6.7,95.3,100.3,14223.3,93.5,2735.1,-0.42,111.9,109.7,120.2,11196.5,102.0,94.2,43397.7,27075.3,116.1,110.2,2.2,8796.5,28555.2,4.0
"2024.09",116.5,7.4,94.9,102.1,13748.8,93.9,2683.6,-0.53,112.1,110.1,120.0,11076.2,102.4,94.4,43724.9,27099.9,116.3,110.2,2.2,8850.8,28576.8,3.8
"2024.10",116.8,6.6,93.8,104.4,13742.4,93.9,2612.6,-0.51,112.6,111.8,119.9,10908.1,102.5,95.5,44300.5,27116.3,116.5,110.8,2.2,8885.1,28589.8,3.6
"2024.11",117.1,3.5,93.3,104.6,15036.7,93.9,2564.6,-0.43,112.3,111.1,120.0,10704.6,102.3,94.2,44240.0,27122.8,116.7,111.0,2.1,8803.4,28594.8,3.6
"2024.12",117.2,3.2,89.7,102.8,14880.5,93.9,2514.6,-0.35,112.4,111.8,120.7,10511.1,102.0,94.0,44539.2,27071.0,116.9,110.8,2.1,8748.1,28539.0,3.5
"2025.01 p)",117.1,2.1,87.7,98.6,13291.7,93.8,2483.9,-0.36,112.2,111.2,121.0,10179.5,101.7,92.8,44391.5,27102.4,117.0,109.8,2.1,8486.0,28580.4,3.5
"2025.02 p)",117.5,3.7,86.7,99.7,12529.7,93.7,2508.8,-0.33,112.5,112.0,121.3,10040.7,102.3,93.7,43995.2,27172.8,117.4,108.3,2.1,8993.3,28649.3,3.4
"2025.03 p)",118.0,4.6,88.0,100.1,11109.6,93.8,2556.2,-0.24,113.0,112.5,121.2,9875.2,102.7,93.4,45166.7,27306.0,117.8,106.8,2.2,9322.4,28764.1,3.2
