"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2016.05",86.7,-3.8,95.6,98.8,11914.8,106.5,1979.8,0.09,91.4,95.6,94.7,10645.9,92.0,98.6,34479.7,24987.2,89.0,91.8,2.4,5427.8,26268.0,1.7
"2016.06",86.9,-1.6,95.9,99.4,11573.3,105.5,1980.0,0.09,91.8,95.9,95.2,10866.8,92.5,98.7,34510.6,25054.9,89.2,91.0,2.4,5533.4,26307.7,1.6
"2016.07",87.3,0.8,95.6,100.8,11970.9,105.2,1982.1,0.07,92.3,96.5,95.6,11137.9,92.4,99.1,34537.5,25124.6,89.4,90.5,2.3,5426.2,26361.3,1.6
"2016.08",87.7,1.0,96.5,101.7,14331.7,105.2,2005.4,0.06,92.7,95.8,96.0,11405.5,92.3,99.2,34903.8,25193.2,89.5,89.7,2.3,5420.4,26436.8,1.5
"2016.09",88.1,1.0,97.5,102.9,14745.1,105.6,2027.3,0.05,92.7,95.4,96.3,11543.0,91.1,99.6,34818.8,25215.6,89.7,89.3,2.2,5403.6,26469.2,1.5
"2016.10",88.5,0.0,97.6,105.9,15019.1,105.5,2038.4,0.11,92.8,94.8,96.1,11764.1,91.8,99.3,34551.0,25234.4,89.9,88.6,2.2,5551.4,26497.3,1.5
"2016.11",88.9,1.5,97.0,108.0,13355.1,105.8,2020.1,0.27,93.3,96.0,95.7,12020.2,91.8,100.7,35107.7,25235.4,90.1,88.5,2.1,5594.7,26505.6,1.5
"2016.12",89.3,3.7,95.7,110.7,13042.4,105.6,2013.2,0.45,93.8,96.8,95.6,12158.1,93.1,101.5,34733.4,25281.2,90.3,87.5,2.1,5617.7,26564.2,1.6
"2017.01",89.7,7.3,95.6,112.2,11468.8,105.3,2021.7,0.58,94.3,98.7,96.0,12061.1,92.9,103.2,34963.5,25305.4,90.6,86.8,2.1,5626.1,26593.7,1.6
"2017.02",90.2,8.9,96.2,112.6,13330.4,104.9,2055.4,0.62,94.6,98.8,96.3,12139.3,93.4,102.1,35578.2,25343.4,90.8,86.4,2.2,5648.9,26627.1,1.7
"2017.03",90.6,9.3,98.4,113.5,12175.2,105.1,2093.6,0.63,95.0,99.8,96.5,12338.5,93.0,101.7,36219.8,25374.9,91.1,86.9,2.2,5749.4,26646.1,1.7
"2017.04",91.0,7.5,99.7,113.7,14386.1,105.7,2126.4,0.65,95.2,99.4,96.6,12650.8,93.3,100.8,36743.4,25412.4,91.4,87.9,2.2,5830.6,26677.4,1.6
"2017.05",91.3,4.3,100.8,114.9,12370.8,106.2,2199.4,0.66,95.6,99.4,97.0,12630.2,93.0,101.4,37477.4,25432.1,91.6,89.2,2.1,5807.8,26688.2,1.6
"2017.06",91.8,2.2,100.8,116.5,13468.5,106.7,2278.1,0.64,95.8,98.3,97.2,12535.1,93.5,101.6,38318.2,25422.3,91.8,89.8,2.0,5824.8,26680.2,1.6
"2017.07",92.1,1.0,100.6,117.0,11036.7,107.3,2362.3,0.67,95.9,98.2,97.5,12590.8,93.5,102.2,37850.9,25439.1,92.1,90.0,1.9,5970.6,26697.3,1.6
"2017.08",92.5,1.5,100.6,117.4,12490.0,107.5,2385.8,0.69,96.2,97.9,97.9,12604.2,93.4,102.8,38347.0,25437.7,92.4,89.6,1.9,6218.7,26711.4,1.6
"2017.09",92.7,1.8,100.2,114.9,12712.9,107.2,2385.6,0.73,96.7,98.4,98.4,13124.3,93.8,103.2,38068.0,25464.1,92.6,89.6,1.9,6271.4,26746.0,1.6
"2017.10",93.0,1.3,101.2,113.1,12915.8,106.6,2409.0,0.84,96.7,98.7,98.5,12851.9,94.1,103.7,37705.5,25470.4,92.8,90.4,1.9,6116.2,26762.6,1.6
"2017.11",93.1,-0.3,101.8,110.4,11205.3,105.9,2462.7,0.95,97.1,99.0,98.3,12846.7,95.7,103.9,37810.8,25498.0,93.0,91.0,1.9,6039.4,26787.1,1.6
"2017.12",93.2,-5.5,102.8,108.1,11053.3,105.1,2494.7,0.97,96.8,98.5,98.0,12343.3,95.8,102.8,37745.7,25519.1,93.4,92.6,1.8,6076.5,26828.8,1.7
"2018.01",93.5,-8.5,101.9,111.5,13724.6,104.0,2507.4,0.95,97.2,98.5,98.3,12839.8,96.8,102.1,37904.9,25550.1,93.7,93.2,1.6,6258.4,26880.0,1.8
"2018.02",93.8,-10.7,101.5,113.6,14057.3,103.6,2475.9,0.93,97.5,98.6,98.8,12825.2,96.9,101.5,38638.3,25528.7,93.9,93.8,1.5,6376.2,26858.8,1.8
"2018.03",94.0,-10.8,100.0,115.5,13997.8,102.9,2470.5,1.00,97.7,98.9,99.1,12662.9,98.1,101.1,38690.1,25512.7,94.1,94.2,1.5,6420.3,26821.8,1.8
"2018.04",94.0,-10.5,100.2,112.8,11374.6,102.1,2449.6,1.01,97.7,99.5,99.5,12348.2,98.6,101.1,38701.9,25483.5,94.4,94.9,1.7,6430.5,26780.4,1.8
"2018.05",94.3,-7.7,100.5,113.1,12025.6,100.7,2457.0,1.00,97.9,100.1,99.5,12240.3,98.4,101.6,38825.1,25479.4,94.7,95.3,1.7,6408.1,26788.1,1.8
"2018.06",94.5,-5.7,101.2,111.9,11532.4,99.9,2438.0,0.98,98.1,101.1,99.8,12209.5,98.0,102.9,38450.8,25463.6,94.9,95.7,1.8,6516.9,26785.1,1.8
"2018.07",94.7,-4.8,99.7,111.3,11927.7,99.7,2380.0,0.94,98.2,101.3,100.0,12115.3,98.0,103.1,38557.8,25438.6,95.1,95.5,1.7,6581.2,26766.6,1.8
"2018.08",94.6,-5.5,98.0,108.4,11031.9,100.0,2320.9,0.85,98.4,101.5,100.1,12101.7,98.2,103.5,38442.9,25410.1,95.3,95.8,1.6,6549.1,26754.7,1.8
"2018.09",94.7,-5.0,97.8,105.6,11432.8,100.0,2291.8,0.73,98.3,101.2,100.3,12056.2,97.7,103.4,37843.4,25415.9,95.4,95.2,1.5,6428.4,26768.7,1.8
"2018.10",94.8,-4.1,97.5,103.9,11028.1,99.2,2248.2,0.66,98.4,101.3,100.6,11911.1,97.5,103.9,37741.9,25439.6,95.7,95.5,1.6,6635.8,26800.0,1.8
"2018.11",94.7,-6.0,96.6,102.1,11048.9,98.9,2181.4,0.59,98.5,100.5,100.4,11647.4,97.7,103.4,38272.2,25521.4,96.1,96.7,1.6,6684.9,26878.9,1.8
"2018.12",94.7,-6.5,95.0,100.0,11370.7,99.4,2102.3,0.43,98.5,99.8,100.2,11469.1,98.5,103.0,38532.6,25536.9,96.5,98.5,1.6,6865.0,26917.7,1.9
"2019.01",94.9,-6.7,93.9,98.2,11734.2,100.0,2085.1,0.26,98.9,98.7,100.2,11754.5,99.8,103.3,39001.9,25547.9,96.8,98.9,1.5,6844.8,26955.1,1.9
"2019.02",95.0,-5.7,95.0,95.7,11588.4,99.3,2127.4,0.12,98.5,97.2,100.3,11760.8,99.0,101.9,38425.5,25550.4,96.9,98.5,1.4,6694.1,26963.6,2.0
"2019.03",95.4,-3.4,95.6,96.5,12723.6,97.8,2158.0,0.11,98.6,97.1,100.5,11857.7,99.8,101.5,37509.3,25597.3,97.0,97.2,1.3,6759.5,26993.3,2.0
"2019.04",95.7,-3.8,97.5,96.2,13622.3,96.4,2194.7,0.07,98.6,97.7,100.7,11602.3,99.1,100.7,37541.5,25638.6,97.2,97.7,1.1,6719.1,27003.2,2.0
"2019.05",95.7,-4.9,96.5,96.6,13418.6,95.8,2153.6,0.02,99.2,99.0,101.3,11835.3,100.4,100.9,37419.0,25657.9,97.5,98.4,0.9,7010.1,27012.9,2.0
"2019.06",95.8,-6.5,95.9,96.2,11498.9,96.0,2134.8,-0.08,99.4,99.6,101.2,11944.2,99.6,101.1,37775.6,25669.3,97.7,99.3,0.9,6860.6,27023.8,2.0
"2019.07",95.7,-7.1,94.0,95.1,9685.5,96.3,2090.6,-0.16,99.6,100.1,101.3,11929.3,99.2,101.1,38196.9,25674.2,98.0,100.1,0.9,6861.2,27047.2,1.9
"2019.08",95.9,-5.6,93.0,95.1,9790.2,96.6,2043.0,-0.25,99.9,100.3,101.6,11860.9,99.8,102.0,38192.1,25697.9,98.2,100.0,1.0,6906.2,27096.4,1.8
"2019.09",96.3,-5.9,92.8,94.9,11654.7,96.3,2023.0,-0.23,100.2,101.3,102.1,11732.1,100.0,102.6,38018.3,25718.3,98.5,100.6,0.9,7071.1,27133.3,1.8
"2019.10",96.9,-5.8,93.1,97.7,13790.9,96.4,2018.4,-0.13,100.5,101.2,102.4,11765.0,100.5,102.4,37824.7,25779.8,98.7,100.1,0.8,7031.4,27201.6,1.7
"2019.11",97.4,-4.9,94.2,97.5,14607.9,95.9,2079.9,0.08,100.5,101.8,102.4,11574.5,100.7,102.0,37499.6,25835.6,98.8,100.5,0.6,6828.8,27243.4,1.7
"2019.12",98.0,-0.2,94.5,99.8,14501.1,95.3,2113.9,0.20,101.1,102.4,102.8,11626.0,102.2,102.3,37509.6,25926.4,99.1,99.6,0.7,6919.9,27343.2,1.7
"2020.01",98.3,0.0,96.0,99.5,13772.5,94.7,2159.7,0.24,101.4,101.8,104.0,11581.9,102.3,101.6,37879.5,25995.9,99.3,99.8,0.6,6810.6,27439.5,1.7
"2020.02",98.6,-0.8,94.4,100.8,14094.3,95.2,2172.5,0.18,100.9,100.3,104.0,11870.0,99.6,98.7,37706.5,26035.7,99.5,100.2,0.5,6750.6,27501.4,1.7
"2020.03",98.5,-4.1,85.5,100.3,12998.2,97.3,2052.4,0.21,99.9,99.5,101.9,11940.7,96.3,97.2,38834.4,25798.5,99.4,100.7,0.3,6548.9,27282.5,1.7
