회사명,상장일,소비자심리지수,경기국면
바이오노트,2022-12,90.1,0
쏘카,2022-08,89.0,0
수산인더스트리,2022-08,89.0,0
LG에너지솔루션,2022-01,104.9,1
카카오페이,2021-11,108.2,1
케이카,2021-10,107.3,1
현대중공업,2021-09,104.1,1
일진하이솔루스,2021-09,104.1,1
아주스틸,2021-08,102.8,1
롯데렌탈,2021-08,102.8,1
한컴라이프케어,2021-08,102.8,1
크래프톤,2021-08,102.8,1
에스디바이오센서,2021-07,103.6,1
SK아이이테크놀로지,2021-05,105.5,1
SK바이오사이언스,2021-03,100.6,1
솔루엠,2021-02,97.4,0
명신산업,2020-12,91.0,0
에이플러스에셋,2020-11,99.1,0
교촌에프앤비,2020-11,99.1,0
빅히트,2020-10,92.7,0
에스케이바이오팜,2020-07,85.4,0
센트랄모텍,2019-11,102.0,1
현대에너지솔루션,2019-11,102.0,1
한화시스템,2019-11,102.0,1
자이에스앤디,2019-11,102.0,1
지누스,2019-10,99.7,0
현대오토에버,2019-03,100.8,1
드림텍,2019-03,100.8,1
에어부산,2018-12,97.8,0
아시아나IDT,2018-11,96.6,0
하나제약,2018-10,100.2,1
우진아이엔에스,2018-09,101.0,1
티웨이항공,2018-08,100.1,1
롯데정보통신,2018-07,102.1,1
애경산업,2018-03,109.5,1
동양피스톤,2017-12,112.1,1
진에어,2017-12,112.1,1
삼양패키징,2017-11,113.6,1
테이팩스,2017-10,110.3,1
넷마블게임즈,2017-05,109.0,1
덴티움,2017-03,97.0,0
호전실업,2017-02,94.5,0
핸즈코퍼레이션,2016-12,94.3,0
두산밥캣,2016-11,96.0,0
삼성바이오로직스,2016-11,96.0,0
JW생명과학,2016-10,102.7,1
화승엔터프라이즈,2016-10,102.7,1
엘에스전선 아시아,2016-09,102.4,1
두올,2016-07,101.6,1
해성디에스,2016-06,99.3,0
용평리조트,2016-05,99.8,0
해태제과식품,2016-05,99.8,0
대림씨엔에스,2016-03,100.6,1
제이에스코퍼레이션,2016-02,98.3,0
코리아오토글라스,2015-12,103.3,1
잇츠스킨,2015-12,103.3,1
세진중공업,2015-11,106.6,1
금호에이치티,2015-11,106.6,1
제주항공,2015-11,106.6,1
LIG넥스원,2015-10,105.9,1
동일제강,2015-09,103.4,1
아이콘트롤스,2015-09,103.4,1
AJ네트웍스,2015-08,102.2,1
이노션,2015-07,100.8,1
토니모리,2015-07,100.8,1
경보제약,2015-06,98.8,0
에스케이디앤디,2015-06,98.8,0
엔에스쇼핑,2015-03,102.0,1
세화아이엠씨,2015-03,102.0,1
큐라티스,2023-06,100.8,1
마녀공장,2023-06,100.8,1
나라셀라,2023-06,100.8,1
진영,2023-06,100.8,1
기가비스,2023-05,98.1,0
씨유박스,2023-05,98.1,0
모니터랩,2023-05,98.1,0
트루엔,2023-05,98.1,0
에스바이오메딕스,2023-05,98.1,0
마이크로투나노,2023-04,95.2,0
지아이이노베이션,2023-03,92.0,0
LB인베스트먼트,2023-03,92.0,0
금양그린파워,2023-03,92.0,0
자람테크놀로지,2023-03,92.0,0
나노팀,2023-03,92.0,0
바이오인프라,2023-03,92.0,0
제이오,2023-02,90.2,0
샌즈랩,2023-02,90.2,0
꿈비,2023-02,90.2,0
스튜디오미르,2023-02,90.2,0
삼기이브이,2023-02,90.2,0
오브젠,2023-01,90.7,0
미래반도체,2023-01,90.7,0
한주라이트메탈,2023-01,90.7,0
티이엠씨,2023-01,90.7,0
SAMG엔터,2022-12,90.1,0
펨트론,2022-11,86.6,0
인벤티지랩,2022-11,86.6,0
엔젯,2022-11,86.6,0
티쓰리,2022-11,86.6,0
티에프이,2022-11,86.6,0
윤성에프앤씨,2022-11,86.6,0
디티앤씨알오,2022-11,86.6,0
뉴로메카,2022-11,86.6,0
제이아이테크,2022-11,86.6,0
큐알티,2022-11,86.6,0
저스템,2022-10,89.0,0
산돌,2022-10,89.0,0
플라즈맵,2022-10,89.0,0
핀텔,2022-10,89.0,0
