"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 12- 06","255.63","253.88","256.27","253.85","61.48K","1.38%"
"2016- 12- 07","256.34","256.57","257.05","255.96","54.70K","0.28%"
"2016- 12- 08","262.00","258.79","262.00","258.63","74.29K","2.21%"
"2016- 12- 09","260.91","261.24","261.29","260.34","58.35K","-0.42%"
"2016- 12- 12","260.72","261.59","261.69","259.89","56.95K","-0.07%"
"2016- 12- 13","261.63","260.38","261.72","260.08","77.99K","0.35%"
"2016- 12- 14","262.00","262.64","262.86","261.12","55.93K","0.14%"
"2016- 12- 15","261.45","259.90","262.08","259.82","55.04K","-0.21%"
"2016- 12- 16","262.56","261.59","262.91","261.16","60.48K","0.42%"
"2016- 12- 19","261.93","262.03","263.22","261.86","46.96K","-0.24%"
"2016- 12- 20","262.59","262.78","263.26","262.14","51.20K","0.25%"
"2016- 12- 21","262.10","263.76","264.42","262.10","62.17K","-0.19%"
"2016- 12- 22","261.97","262.71","262.92","261.66","53.38K","-0.05%"
"2016- 12- 23","261.61","262.10","262.26","261.30","46.54K","-0.14%"
"2016- 12- 26","261.90","261.83","262.27","261.36","45.26K","0.11%"
"2016- 12- 27","262.49","262.35","262.85","261.79","52.54K","0.23%"
"2016- 12- 28","259.70","259.65","260.59","259.52","54.26K","-1.06%"
"2016- 12- 29","260.01","259.02","260.04","258.62","48.69K","0.12%"
"2017- 01- 02","260.36","259.42","261.21","258.64","36.91K","0.13%"
"2017- 01- 03","262.97","261.55","263.00","260.72","61.84K","1.00%"
"2017- 01- 04","263.12","263.19","263.27","262.47","68.77K","0.06%"
"2017- 01- 05","261.98","262.88","262.94","261.64","78.82K","-0.43%"
"2017- 01- 06","263.20","263.01","263.61","262.66","56.57K","0.47%"
"2017- 01- 09","263.74","263.83","264.55","263.34","59.18K","0.21%"
"2017- 01- 10","263.73","263.15","263.88","262.83","60.75K","0.00%"
"2017- 01- 11","268.15","264.24","268.91","264.18","76.59K","1.68%"
"2017- 01- 12","269.95","268.48","269.95","267.93","70.69K","0.67%"
"2017- 01- 13","267.91","268.34","268.68","267.66","61.59K","-0.76%"
"2017- 01- 16","266.15","267.71","268.53","265.37","63.88K","-0.66%"
"2017- 01- 17","267.37","266.65","268.53","266.33","64.80K","0.46%"
"2017- 01- 18","267.08","267.64","267.96","265.37","56.66K","-0.11%"
"2017- 01- 19","267.70","269.30","270.01","266.39","59.53K","0.23%"
"2017- 01- 20","266.52","266.45","267.35","266.18","55.38K","-0.44%"
"2017- 01- 23","267.12","266.77","267.84","265.53","56.74K","0.23%"
"2017- 01- 24","267.30","267.79","268.25","266.24","54.35K","0.07%"
"2017- 01- 25","268.15","268.65","269.04","267.28","63.44K","0.32%"
"2017- 01- 26","270.48","269.15","271.21","268.47","70.10K","0.87%"
"2017- 01- 31","268.09","269.61","270.00","268.09","69.68K","-0.88%"
"2017- 02- 01","269.56","269.16","269.97","268.87","65.87K","0.55%"
"2017- 02- 02","268.49","269.63","271.25","268.01","76.73K","-0.40%"
"2017- 02- 03","268.85","269.10","269.62","267.37","71.59K","0.13%"
"2017- 02- 06","269.49","270.65","271.08","268.75","71.64K","0.24%"
"2017- 02- 07","268.97","269.52","269.68","268.51","71.25K","-0.19%"
"2017- 02- 08","267.72","268.51","268.56","265.76","64.57K","-0.46%"
"2017- 02- 09","267.69","267.99","268.91","267.21","72.70K","-0.01%"
"2017- 02- 10","268.66","269.04","269.72","268.43","83.14K","0.36%"
"2017- 02- 13","268.81","268.48","268.85","267.88","71.07K","0.06%"
"2017- 02- 14","267.90","268.82","269.34","267.05","68.62K","-0.34%"
"2017- 02- 15","268.81","267.64","269.47","267.06","75.72K","0.34%"
"2017- 02- 16","268.93","269.48","270.22","268.32","65.40K","0.04%"
"2017- 02- 17","268.84","267.60","269.02","267.60","59.75K","-0.03%"
"2017- 02- 20","269.73","269.41","269.92","268.57","54.54K","0.33%"
"2017- 02- 21","272.11","269.90","273.13","269.70","61.71K","0.88%"
"2017- 02- 22","272.85","272.61","273.15","271.96","64.58K","0.27%"
"2017- 02- 23","272.89","272.61","273.18","272.18","64.49K","0.01%"
"2017- 02- 24","270.38","272.61","272.84","269.76","116.67K","-0.92%"
"2017- 02- 27","268.97","270.35","270.62","268.72","81.08K","-0.52%"
"2017- 02- 28","270.06","269.27","270.62","269.10","88.89K","0.41%"
