,count,missing_pct,mean,median,std,var,SEM,min,5%,25%,75%,95%,max,IQR,MAD,CV,skew,kurt,outliers
1~5일 수익률 표준편차,510.0,0.0,0.23826045812156862,0.1563281995,0.21519228780189387,0.04630772072941312,0.009528874666539275,0.002236068,0.034306118749999996,0.0742872855,0.3342769675,0.7219898242499999,0.780604917,0.25998968200000006,0.09714447799999999,0.9031808697861876,1.1809146769430439,0.2057936207509634,24
6~10일 수익률 표준편차,510.0,0.0,0.050172451092156865,0.040494301499999996,0.03367829167859616,0.001134227330388599,0.001491299821506294,0.001369306,0.015256219399999956,0.02725407225,0.061869295,0.12315371904999997,0.18444237,0.034615222749999994,0.016320146499999993,0.6712506753304877,1.5972541756515952,2.605490929954714,33
11~15일 수익률 표준편차,510.0,0.0,0.04182017172745098,0.034348078000000004,0.029290523242943237,0.0008579347518453981,0.0012970061694604338,0.004744154,0.0125852505,0.023678323,0.047978881,0.10305475434999989,0.179438229,0.024300558,0.011927192500000001,0.7003922277946263,2.041341279683703,4.889666779057116,40
16~20일 수익률 표준편차,510.0,0.0,0.043047087872549024,0.0358013995,0.0334758289567485,0.001120631124341481,0.0014823346214945315,0.002483345,0.01222024885,0.02340790725,0.0502506515,0.11217676924999997,0.375108068,0.02684274425,0.013416835000000002,0.7776560648158483,3.3471549454188607,21.19593048673357,37
stock_code,510.0,0.0,254882.88235294117,257545.0,128551.85552326097,16525579558.473362,5692.371840759982,2690.0,59981.00000000001,179442.5,326072.5,410098.9999999999,900310.0,146630.0,73780.0,0.5043565669712287,1.4241451660573639,6.917377234283002,7
kospi200(-20),510.0,0.0,0.034157086053881056,-0.01393566412444295,0.2353956107450723,0.0554110935580456,0.010423492843331902,-0.3955654101995565,-0.228312695046341,-0.10863311063862238,0.10474162323157103,0.4346524473924976,2.1386946386946386,0.2133747338701934,0.1017575662042875,6.891560081376607,2.583708092252259,14.909036748955357,28
nasdaq(-20),510.0,0.0,0.010728769844500639,0.0147439146566932,0.049549102282073876,0.002455113536959419,0.0021940711273076667,-0.1907579414109447,-0.07928365228360985,-0.018592738650508426,0.0437073781866537,0.08253190297789273,0.1839433176726874,0.06230011683716212,0.0306847436994511,4.618339567370978,-0.5007710705448586,0.9755234249179625,10
putcall(-20),510.0,0.0,0.01393439437751393,0.0,0.21857751415283327,0.047776129693232035,0.009678775008905,-0.5,-0.3247532206792705,-0.14512694512694524,0.15326340326340326,0.3837209302325581,0.8468468468468466,0.2983903483903485,0.1473684210526316,15.686186871928497,0.4081080035342478,0.26346299094850734,3
VIXCLS,510.0,0.0,18.981294117647057,17.5,7.441281174135205,55.37266551253901,0.3295054687651708,9.51,10.327,13.3825,22.555,30.64299999999999,82.69,9.1725,4.574999999999999,0.3920323413152841,2.56126002817565,16.09003445635749,10
미국10년물국채금리수익률(-20),510.0,0.0,0.020176428654990156,0.0157374100719422,0.10795379243997226,0.01165402130217261,0.004780274276767262,-0.458307597282273,-0.13076594179284343,-0.04156403184331678,0.08123836276083468,0.1873839147053979,0.3818965517241379,0.12280239460415146,0.06139569573010541,5.3504906287403085,-0.023236540617675577,2.1668020206628715,23
시장금리국고채3년,510.0,0.0,1.8457745098039215,1.7115,0.7960227201896986,0.6336521710582071,0.03524847851140576,0.796,0.915,1.3607500000000001,2.0622499999999997,3.7093499999999984,4.548,0.7014999999999996,0.3514999999999999,0.43126758765037926,1.4308862139696135,1.7537725946331313,60
환율변동률(-20),510.0,0.0,0.0016309149396632999,0.00179389171206665,0.02208458894579341,0.00048772906890466047,0.0009779220355714442,-0.0754354781372199,-0.031604520624968775,-0.012102345505285826,0.0172644323663058,0.03380779967102896,0.0713009582588923,0.02936677787159163,0.0144638206328563,13.541226711892616,-0.16620721298375077,0.5900762607945707,10
코스피변동률(-20),510.0,0.0,0.0012139598236410745,0.0007838728577186,0.04668758029321,0.0021797301536349307,0.0020673608038757592,-0.2099439382384029,-0.07588779509271655,-0.022563042674650327,0.0260339102735321,0.08428843192630256,0.139325012437447,0.04859695294818243,0.02399436734196505,38.458917160189216,-0.0846985690459767,1.3052140944035044,30
코스닥변동률(-20),510.0,0.0,-0.0033705025267899997,-0.0036711963753153,0.06283315963036365,0.0039480059491347605,0.002782299073708352,-0.2434196277740077,-0.11389478482060646,-0.0393800365608723,0.03813417144978335,0.09346517973437986,0.1548328188182093,0.07751420801065564,0.0402891954323779,-18.642074625650768,-0.42294968705122665,0.4465654687738101,12
6개월 확약,510.0,0.0,3.6145441176470587,0.0,8.100413715241306,65.61670235806946,0.35869234826254237,0.0,0.0,0.0,2.5524999999999998,23.71999999999998,46.4,2.5524999999999998,0.0,2.241060961379105,2.8849755199074294,8.44222294940407,84
3개월 확약,510.0,0.0,6.876471142474991,0.745,10.011928944325051,100.23872118621375,0.4433356653031999,0.0,0.0,0.0,10.575,27.58849999999998,56.3,10.575,0.745,1.4559690191212729,1.7290711045678464,3.0438586458139434,27
1개월 확약,510.0,0.0,4.873827945587843,0.8050000000000002,8.111409836198478,65.79496953077741,0.3591792646826859,0.0,0.0,0.0,6.72,19.328999999999983,67.48,6.72,0.8050000000000002,1.6642790690921985,2.942797766660952,13.00815583896046,40
15일 확약,510.0,0.0,1.4605651396421517,0.0,3.626369386805834,13.150554929562519,0.16057833547110772,0.0,0.0,0.0,1.4475,7.32649999999999,51.15,1.4475,0.0,2.4828535806998095,6.748194934082155,73.73359614791939,63
