,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20),cluster_k4
27,0.295842614,0.025248406,0.024265881,0.028007642,15.94,1.533,0.023128037,0.024646742,0.017914406,0.027615045,0.002886343,0.007285813,0.004426146,0.00461552,0.010244233,0.004955098,0.006269472,0.007657156,0.033451538,0.013016261,0.017398084,0.025702811,0.006621084,0.009873111,0.016884159,0.013983108,0.014418542,0.009601254,0.022995434,0.018727137,0.005374092,0.007857892,0.0034231,0.008917631,0.0158629642497754,0.0072246250618146,0.0108405930133075,0.0194701789448169,0.0037836129286853,0.0038967015182161,0.0029763950276691,0.0059724859773407,0
28,0.700899403,0.103044786,0.134770676,0.112355966,20.71,3.401,0.016193042,0.018895743,0.009566445,0.011246498,0.001469774,0.012612845,0.003678077,0.001608257,0.008149572,0.011787975,0.005789639,0.002450407,0.009417746,0.03984935,0.012370964,0.010348499,0.003317903,0.012198685,0.007016092,0.008259019,0.005080285,0.005204028,0.005649794,0.010967976,0.011545054,0.013118828,0.008996044,0.003242891,0.022574505108254,0.0163827639637296,0.0157996612123995,0.0109207748357347,0.0109263791387705,0.0016168405104151,0.0027494351048607,0.0026581219070733,1
29,0.043501816,0.078059548,0.047689234,0.022465752,16.88,1.093,0.015832342,0.019988514,0.027924754,0.043502938,0.005241758,0.0031857,0.011619955,0.008958787,0.006601282,0.009268667,0.009094673,0.014559298,0.01054462,0.022815732,0.014845906,0.013769746,0.079294497,0.009853596,0.011771538,0.015822249,0.017005453,0.030298241,0.007319516,0.017304535,0.007586959,0.011742983,0.00806415,0.008519491,0.0206504074495032,0.0224232115304538,0.0046464433757047,0.0083287237648396,0.0077845304333395,0.0066937090303785,0.0037116917860507,0.0023419498846321,0
31,0.602509249,0.099865444,0.03282921,0.125282872,18.49,3.791,0.009964142,0.018899935,0.013886575,0.007073641,0.004670646,0.003347598,0.001657801,0.005056789,0.016591067,0.01672027,0.012782595,0.009898905,0.01103528,0.025402061,0.019758849,0.026541075,0.008757951,0.026576076,0.003974941,0.064237623,0.014036591,0.010768712,0.001209698,0.005690106,0.007850692,0.013820663,0.007606607,0.011545054,0.0099972113659542,0.0133149588360188,0.0104985672491339,0.022574505108254,0.0089408501244367,0.0036020694777742,0.0035752221522508,0.0086827790838303,2
35,0.4383118489999999,0.164434555,0.080896063,0.056698563,18.79,1.889,0.016941679,0.040293695,0.004705132,0.030321156,0.005596155,0.003905454,0.003474407,0.005628452,0.018410145,0.008550242,0.007988453,0.008860403,0.010334994,0.01201918,0.021604248,0.014649433,0.014219942,0.020309505,0.024066917,0.006851083,0.006965161,0.003428893,0.00371443,0.00725331,0.007638257,0.00691509,0.004439848,0.017906374,0.0141805168804206,0.0177079133501626,0.0203890373792121,0.0132080340483497,0.0045909192500385,0.0044020124022592,0.006674530818507,0.0075228007732007,2
37,0.064525499,0.022353792,0.029264005,0.02880703,16.68,1.13,0.013102263,0.027699296,0.032929203,0.020293222,0.004034574,0.005893714,0.011575192,0.007794629,0.004833882,0.011405396,0.007677976,0.015994083,0.012045762,0.02450239,0.002679969,0.015396122,0.021528595,0.079253945,0.010398634,0.01176288,0.010646609,0.037199546,0.005397501,0.00934954,0.006203024,0.007107964,0.008627439,0.008201698,0.0098790802615718,0.0224615404883618,0.0184287646787744,0.0090545774518563,0.0056933852504921,0.0063650292796155,0.005299630029131,0.0025410480369959,0
38,0.125856374,0.093732721,0.048416547,0.043744794,18.49,1.92,0.032674422,0.033264745,0.033527235,0.006500766,0.003231949,0.003905454,0.003974859,0.005539979,0.007223022,0.007744217,0.007164234,0.007869921,0.018403462,0.006319027,0.022559849,0.017784313,0.016310641,0.018231072,0.023447235,0.005614378,0.004354664,0.003160045,0.006360178,0.005638256,0.008022524,0.006756349,0.004837272,0.016985672,0.0142105019958501,0.0171970509261517,0.0209487172077762,0.0139312645535327,0.0046388083032338,0.0046405574653315,0.0056856946501707,0.0074650166332295,2
39,0.199775191,0.034492869,0.0264795769999999,0.037462955,22.71,0.96,0.019325301,0.035973624,0.03280108,0.023431841,0.003476033,0.023808737,0.012453131,0.008770943,0.006334601,0.003220846,0.005005487,0.003976823,0.026714846,0.007409611,0.016438333,0.007678567,0.010413746,0.006957069,0.022089495,0.008569779,0.013143386,0.019344083,0.007835236,0.015103207,0.009309028,0.009252221,0.015259112,0.006205587,0.0135703449931263,0.0212460828205195,0.0227923117534951,0.00840668909457,0.003521479350987,0.0022805577890883,0.0046077861994995,0.0029074630743975,1
40,0.085333434,0.035792695,0.022059873,0.018204807,26.7,3.439,0.025018827,0.030071296,0.032217258,0.012827419,0.002375307,0.00217037,0.008347246,0.010855274,0.009688724,0.024663976,0.010828444,0.00936315,0.024991343,0.024623524,0.011929713,0.014949847,0.002575092,0.020290667,0.006845096,0.002196135,0.021539387,0.018791618,0.009004285,0.004589751,0.019260372,0.01366877,0.014204363,0.008560101,0.0233103475414479,0.026122564710171,0.0293544920674201,0.0192185673679652,0.0062996433387813,0.0032837418934507,0.008582922392073,0.0046248360415819,2
41,0.066421631,0.033027216,0.01651687,0.028125469,26.36,0.907,0.030680616,0.029664366,0.005727944,0.02044889,0.006124253,0.008558782,0.009714374,0.01256698,0.011218524,0.034604045,0.009864653,0.015883357,0.012205913,0.025904184,0.009954043,0.015573476,0.008789216,0.008762791,0.014834542,0.020991378,0.006967654,0.01881344,0.006858262,0.011845644,0.003934195,0.013253899,0.009591564,0.008140878,0.0210310901620239,0.0105755572872349,0.0172928252063832,0.0163878835400852,0.0056926644506798,0.0047637649689042,0.0023502706013119,0.0030363055733368,1
43,0.337547663,0.056104884,0.029664575,0.020351364,17.66,1.827,0.020701053,0.013734732,0.017746579,0.011949154,0.005851134,0.00160911,0.004220865,0.002075372,0.018945595,0.003453996,0.00770036,0.007576294,0.019919069,0.011913151,0.014521099,0.00517855,0.010026936,0.008427798,0.018467219,0.011202537,0.00546078,0.003259898,0.013081483,0.007726448,0.005920097,0.004364643,0.010553632,0.011905085,0.0100126116280019,0.0137698163820475,0.0082550728347514,0.0259813287753037,0.0039035678901197,0.0036087312684325,0.0028727909843238,0.0058395405936452,0
44,0.040360042,0.062024269,0.0066245749999999,0.009294515,21.25,1.922,0.030321156,0.00709275,0.009047722,0.005769855,0.005628452,0.002642319,0.010677648,0.003301886,0.008860403,0.009514827,0.022154332,0.002098814,0.014649433,0.022612692,0.02326604,0.02089023,0.006851083,0.029185156,0.00454711,0.013507764,0.00725331,0.004181794,0.008055854,0.013618614,0.004837272,0.016985672,0.011481946,0.014186812,0.0203890373792121,0.0132080340483497,0.0296442612817304,0.0089890428651321,0.0056856946501707,0.0074650166332295,0.0026730823407497,0.0077342317245475,2
45,0.350029674,0.0525268789999999,0.048797869,0.054503147,19.51,1.982,0.009082627,0.019727266,0.008175878,0.013967176,0.010973759,0.005271788,0.001962907,0.00358263,0.01694483,0.004219883,0.008151741,0.002006341,0.032856074,0.016262556,0.015994023,0.022280508,0.009545861,0.026061985,0.026860613,0.075946357,0.006030719,0.013844833,0.007143903,0.007323837,0.012470079,0.012719514,0.01071909,0.01655802,0.0200058377869762,0.0264071840573059,0.0210109544491677,0.0156847260828413,0.0033398880215009,0.0049135156715954,0.0068737391194315,0.0046943278618121,2
48,0.723525322,0.037765633,0.04345569,0.020764465,17.25,1.337,0.014716004,0.027211083,0.017394141,0.012972115,0.006411627,0.005017566,0.005448213,0.010926529,0.008334803,0.016806561,0.006079141,0.018539646,0.005098683,0.014059732,0.035409866,0.017885024,0.009218975,0.030326177,0.004464977,0.002911357,0.026433567,0.019307502,0.007603357,0.009187488,0.008231723,0.007507985,0.005776099,0.005910815,0.006212776466097,0.0052323271727997,0.004505187012954,0.0028402383979736,0.0043715670947215,0.0056339777407392,0.0079990601398989,0.0084257575368253,0
49,0.06924565,0.021429722,0.00799925,0.024771698,14.57,1.281,0.011341735,0.003568863,0.013191254,0.009520806,0.005982526,0.002421259,0.014033844,0.009090975,0.00771833,0.003478334,0.005084387,0.008530794,0.00923824,0.012988041,0.007846254,0.008055561,0.009347637,0.018005072,0.020191684,0.018427671,0.029087713,0.012096032,0.021377646,0.003264563,0.008857031,0.011238028,0.007796665,0.003175647,0.0121262973387017,0.0136277000090875,0.0098803319512814,0.0044326180507211,0.0050069992766182,0.0030867701168523,0.0015107189068911,0.0023144662592115,0
50,0.121802557,0.018043475,0.028725389,0.034761545,24.55,4.118,0.018359848,0.015594113,0.003080884,0.020856822,0.006249385,0.005981801,0.005474827,0.008172051,0.017235142,0.026225126,0.016269469,0.007563149,0.042603032,0.020651373,0.002743619,0.006004207,0.011083616,0.019579882,0.013880513,0.044202363,0.013135505,0.004260919,0.004568992,0.003729331,0.01095644,0.008060998,0.013210709,0.013019709,0.0228842339283395,0.0207952989416592,0.0240724954992574,0.0216897990998338,0.0044436906795768,0.009041310316721,0.0066623906383075,0.0063301356990312,2
51,0.064380176,0.029817411,0.025525419,0.035783907,20.65,1.795,0.015991809,0.02561204,0.016976337,0.032674422,0.002020179,0.005557123,0.004502837,0.003231949,0.011332326,0.012042727,0.015603187,0.007223022,0.016096107,0.00860626,0.021924036,0.018403462,0.005365461,0.011063204,0.009900649,0.016310641,0.00144569,0.007332197,0.008245482,0.004354664,0.011807736,0.010702494,0.007638257,0.00691509,0.0164265475010019,0.0254281811541782,0.0142105019958501,0.0171970509261517,0.004643233765582,0.0046360935435724,0.0045909192500385,0.0044020124022592,2
53,0.10908851,0.040708537,0.018350123,0.055265242,13.33,1.71,0.027304845,0.017241599,0.026338332,0.012146672,0.004705914,0.008460207,0.003901961,0.014190532,0.01606002,0.011139451,0.009266169,0.019768535,0.012562223,0.012688922,0.003617228,0.023372276,0.014197496,0.019599193,0.022850095,0.009461155,0.014469116,0.005445498,0.009064239,0.007272379,0.004483895,0.005726086,0.016379839,0.008322708,0.0037988770927782,0.0052437412772573,0.007701115141009,0.0140092511130522,0.008023789374658,0.0039953485414696,0.0133085682640664,0.0014419460894186,0
56,0.573614003,0.184206886,0.040572503,0.034563391,12.07,1.321,0.005007312,0.012935868,0.020130603,0.00894098,0.001599951,0.003972358,0.004755329,0.006538673,0.01038787,0.004721056,0.014401695,0.003000962,0.011028889,0.029156051,0.01072624,0.01965021,0.017036905,0.050093941,0.009941978,0.013439818,0.012883736,0.012098695,0.016757562,0.004491543,0.008417361,0.00450777,0.011020274,0.003565648,0.0063966048927377,0.0048023035513153,0.0059975842004818,0.0100542630262748,0.0038000140897629,0.0029747832988314,0.0029827303763105,0.002615679221286,0
57,0.36606861,0.0512614079999999,0.058430557,0.062834767,19.91,1.984,0.01066604,0.006655599,0.019800138,0.014620266,0.009422863,0.004177771,0.005718925,0.001846391,0.019533424,0.010880898,0.004857613,0.008068053,0.025980704,0.020112818,0.024363328,0.019124422,0.007424946,0.009137503,0.024448739,0.020891223,0.005621685,0.00244237,0.014280448,0.004972596,0.016983804,0.00774824,0.006987506,0.021402029,0.0139312645535327,0.0270037296495024,0.0179164978708135,0.0230334012220205,0.0067788532759259,0.002830993677933,0.0079645836268811,0.0061762791748848,2
58,0.280746517,0.063800094,0.025211565,0.142161925,23.8,3.245,0.012347246,0.015086393,0.012805187,0.020393051,0.003134526,0.005519553,0.004280001,0.010391999,0.009381875,0.007092012,0.008308832,0.013096352,0.007431286,0.014361549,0.014076611,0.028224765,0.024161545,0.074471261,0.003292925,0.005599363,0.004625501,0.017010224,0.007128215,0.017125644,0.004216179,0.009559962,0.005600488,0.005542723,0.0108254582848898,0.017718564555879,0.0124757159171799,0.0225976484486321,0.0060871095354536,0.0066841746275474,0.0054651227667854,0.0042139107653087,0
61,0.284337537,0.038226195,0.012194876,0.037260341,23.23,1.834,0.024327227,0.016939861,0.032508265,0.033325865,0.005522276,0.006108613,0.001698717,0.00325471,0.011407238,0.018642143,0.003659152,0.007739404,0.007284298,0.02690815,0.01262978,0.006319027,0.01211541,0.010575659,0.015488585,0.018231072,0.007487345,0.008029157,0.00385828,0.003277406,0.012267186,0.006845892,0.004906609,0.005739764,0.0207767912841297,0.0141805168804206,0.0177079133501626,0.0203890373792121,0.0040988218602971,0.0034893747013026,0.0058101246525425,0.0059450212067759,2
