,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20)
14,0.223469714,0.022818041,0.01286981,0.0129916509999999,21.84,1.128,0.006852875,0.009278202,0.017093457,0.012275934,0.007412059,0.008177135,0.001710357,0.00540245,0.015791962,0.006216042,0.011378793,0.008528038,0.023141516,0.031984643,0.022459218,0.009985184,0.002357957,0.002374323,0.014931126,0.008750296,0.018648861,0.010799005,0.025004254,0.018643368,0.008352284,0.007974054,0.008461737,0.003855069,0.0146196259963495,0.0038862141930765,0.0116716879535852,0.0108543968905766,0.0045979481702352,0.0055248765464098,0.0025434339288022,0.0025518529599295
15,0.063978004,0.026249571,0.048133356,0.064349499,13.37,2.101,0.02962179,0.014439684,0.022241599,0.010395011,0.007242299,0.003832393,0.001362416,0.00170317,0.012802972,0.004063053,0.006115195,0.008532072,0.016150345,0.00909032,0.007271397,0.002773752,0.004299622,0.007810024,0.010667601,0.019440317,0.019379629,0.013386538,0.009949706,0.006662718,0.010953633,0.00729003,0.010002383,0.010858409,0.0078681243992599,0.0098826650170239,0.0052636091532097,0.0047114419738665,0.0035975593265445,0.0014766924006507,0.0057988000085033,0.0018325739428739
16,0.4263570039999999,0.015198947,0.090664695,0.159238956,29.43,3.011,0.024901332,0.035364702,0.029918669,0.028184062,0.006087494,0.008886649,0.006844442,0.011705204,0.014472108,0.017679877,0.007377191,0.016917665,0.036670665,0.041056484,0.014223221,0.015934795,0.017432573,0.00381543,0.006087195,0.014518156,0.015957097,0.016692737,0.008400601,0.006286094,0.012809789,0.005963738,0.007000268,0.009489914,0.0339125806683455,0.0219201172988835,0.0359977203530693,0.028382320425839,0.0094837032107677,0.0054241340734541,0.0059796304164375,0.0032041893734314
17,0.270315366,0.063683648,0.042719141,0.0573822879999999,18.7,1.658,0.020493437,0.022910434,0.023694386,0.02890354,0.016244743,0.005630283,0.003909067,0.011594391,0.017516364,0.016619784,0.007609512,0.013403118,0.005401501,0.017651137,0.008176311,0.015183124,0.019895484,0.028681217,0.019167659,0.019111613,0.011553014,0.014284042,0.013041374,0.010793694,0.010706882,0.00380438,0.012775841,0.005818685,0.0137389061510624,0.0106511683329872,0.0145906333039279,0.0026263185108341,0.0080784422019567,0.0052829361921906,0.0062312269401524,0.005748841276494
21,0.091781055,0.071518753,0.158954311,0.076562001,14.41,1.352,0.005406154,0.017400831,0.013913494,0.007325153,0.002506497,0.004081563,0.014033349,0.003369015,0.00226336,0.014571287,0.005671054,0.006354956,0.007452908,0.016648674,0.008343526,0.014537805,0.092323688,0.008589426,0.021566657,0.026435893,0.006245851,0.022124211,0.01023681,0.013860361,0.005849358,0.006921364,0.008855106,0.003983569,0.005134278494063,0.0087403305782002,0.0064301569909609,0.0093770842506649,0.0064508899662399,0.006964861341695,0.0074176014913981,0.005645084893703
22,0.147098528,0.068991065,0.1113754549999999,0.064613157,23.57,2.426,0.029932975,0.05830684,0.063737015,0.036781123,0.003290152,0.013630023,0.018597884,0.007701649,0.005147485,0.018029654,0.016699278,0.029080425,0.012107817,0.023099688,0.023832984,0.0131602,0.007962947,0.008883412,0.020355878,0.019329127,0.013092242,0.039963399,0.020408771,0.009700086,0.008943832,0.013702005,0.01573323,0.014764776,0.0149997908129921,0.0278018761112091,0.019353128390496,0.0239219433808259,0.0090849411157851,0.0057917936521242,0.0057331785130982,0.0067769563888283
25,0.05424028,0.012299309,0.023251516,0.024475804,16.06,1.798,0.010720292,0.027642848,0.030664249,0.009454887,0.006767402,0.007557945,0.01239866,0.002072198,0.00319615,0.013255503,0.00703758,0.008674665,0.011595589,0.010493227,0.00680955,0.005456886,0.009616773,0.014269766,0.013198896,0.01768599,0.009903871,0.011250548,0.009868851,0.006993945,0.006269432,0.004252021,0.006861203,0.006389421,0.0050187683956822,0.008985351382904,0.0129798800942266,0.0090853221118764,0.0073690291503239,0.0049864594151451,0.006511700852034,0.009334838064958
30,0.106335798,0.03245047,0.020762153,0.026478897,24.03,1.206,0.024775908,0.016062896,0.027992976,0.014439969,0.005624727,0.005986784,0.015909881,0.006805623,0.023171766,0.016239548,0.026612743,0.020134341,0.010023606,0.007786127,0.026540864,0.007417252,0.003325315,0.020376863,0.02312805,0.0064437,0.01385586,0.016791186,0.008823272,0.006182184,0.011835199,0.025095215,0.012331828,0.009989189,0.0172858295476852,0.0239239216659734,0.00971074847347,0.0044265427635103,0.014498485719553,0.0052683912929802,0.0025081885902607,0.0030034026865887
32,0.158394296,0.064318986,0.035783334,0.035325161,14.6,3.436,0.027613701,0.020209359,0.006722565,0.013711051,0.008126325,0.004594401,0.008452388,0.006600008,0.010346486,0.019090774,0.011438989,0.016553114,0.017905538,0.012213454,0.008466721,0.019675531,0.025821298,0.010154552,0.013061705,0.058903345,0.007205321,0.008820945,0.015423104,0.026941722,0.006249432,0.003747629,0.004481721,0.00532437,0.011304976304909,0.0106438729136115,0.0066164510352201,0.0119471612808102,0.0060237661537544,0.0054399876912437,0.0073085802504987,0.0063532282980014
33,0.1118418839999999,0.028334555,0.039693413,0.018424657,21.44,2.303,0.012770608,0.00542698,0.018414338,0.009977588,0.004132221,0.002654101,0.011243272,0.008658793,0.003792932,0.010615012,0.019322751,0.015696232,0.011158401,0.005156027,0.022296227,0.015561114,0.007194951,0.005619025,0.009596247,0.013214509,0.012271585,0.013476551,0.008525686,0.00801637,0.022693889,0.012223265,0.00375568,0.012106732,0.0207083114208897,0.0259313907724528,0.0135581105699395,0.0147369568972002,0.0011835897141865,0.0014191404861678,0.0029915341963649,0.0037996401892154
34,0.058412944,0.059118085,0.044009465,0.083910178,18.37,1.787,0.014141533,0.028061609,0.027200359,0.00903396,0.001572073,0.007252898,0.012426443,0.002041046,0.003399078,0.01293575,0.006720592,0.006979914,0.006861723,0.015334842,0.006614214,0.005378407,0.026632089,0.012913865,0.011414526,0.018317901,0.012678479,0.011031671,0.007933411,0.008726439,0.005785271,0.004224185,0.006849959,0.005237637,0.0049079892569553,0.0077515899548756,0.0102557586083146,0.0103044168640974,0.0047304042679202,0.0059526254636469,0.0068526902257918,0.0085379029330929
36,0.069592191,0.010554051,0.016881143,0.018288603,16.85,1.752,0.020718718,0.016332226,0.028400924,0.007558776,0.006551856,0.002032578,0.00828837,0.010148497,0.009971945,0.008366119,0.012908816,0.006721045,0.01615644,0.00804352,0.013829483,0.010052738,0.036811556,0.026690465,0.014330439,0.010713223,0.006364668,0.012603536,0.009497688,0.009670176,0.009981484,0.006269432,0.004252021,0.006861203,0.0106962416982901,0.0050187683956822,0.008985351382904,0.0129798800942266,0.0049052236152847,0.0073690291503239,0.0049864594151451,0.006511700852034
42,0.044378339,0.023265275,0.019212314,0.035755909,10.4,1.71,0.015838221,0.025075506,0.007803414,0.006369616,0.005076339,0.007079646,0.004933164,0.003857981,0.00734026,0.014274201,0.009065918,0.004246943,0.012763244,0.01058053,0.01596606,0.006725195,0.00386879,0.006670143,0.01765605,0.011994712,0.013763464,0.013935429,0.015924304,0.011824009,0.01185346,0.004719778,0.004737304,0.007297913,0.002443695274517,0.0039911797990661,0.0054849382394239,0.0063276657873243,0.0042543025337083,0.0051246447369484,0.0049256752023386,0.0043845584755387
46,0.038908701,0.017334994,0.022871554,0.017734373,30.48,2.195,0.035126007,0.010446693,0.01499353,0.026076094,0.01240808,0.010868184,0.00751918,0.007963143,0.015543203,0.007735911,0.00145039,0.01523839,0.017670812,0.017940472,0.008279683,0.01348832,0.011781205,0.023466933,0.009565024,0.059583288,0.032572938,0.031699016,0.005818349,0.015715769,0.014854496,0.012015154,0.009588771,0.009796213,0.018249181886758,0.0112739849881887,0.0239195520726141,0.0214979563203513,0.0066594191978929,0.001734095703286,0.0025628577250694,0.0013059379920561
47,0.440494249,0.06726039,0.047407774,0.015971287,11.75,1.456,0.007638572,0.025498683,0.008591108,0.007288273,0.00251967,0.003792444,0.004884688,0.0074789,0.005831176,0.008737059,0.005286825,0.014803357,0.016773029,0.040260978,0.014308023,0.016139188,0.005269884,0.011932472,0.01732052,0.005488818,0.004666842,0.00734023,0.009068281,0.006784053,0.01024895,0.00802336,0.005286999,0.007543087,0.0070009214624814,0.0031905438452818,0.0031809975157636,0.00501181438709,0.0045399921052465,0.0035429100681644,0.0042455007250271,0.0030446281190984
52,0.177701849,0.033023885,0.068453539,0.06397716,17.86,1.748,0.022910434,0.023694386,0.02890354,0.00903229,0.005630283,0.003909067,0.011594391,0.007695834,0.016619784,0.007609512,0.013403118,0.002566764,0.017651137,0.008176311,0.015183124,0.014243327,0.028681217,0.019167659,0.019111613,0.00228634,0.014284042,0.013041374,0.010793694,0.012197548,0.005355738,0.001575924,0.01333358,0.005530247,0.0135920276235461,0.0140694342126215,0.0047431728501779,0.0078649880871777,0.0037970110871172,0.0079152679874874,0.0067074868767911,0.0050060998248496
54,0.086741674,0.023980471,0.015938224,0.038351701,13.56,1.45,0.012427791,0.028734405,0.037239642,0.019067634,0.005915879,0.009114501,0.015871492,0.00963327,0.007943438,0.010908127,0.012618863,0.005459919,0.005846299,0.020659558,0.016957167,0.013316614,0.002476892,0.015124957,0.003691819,0.006507971,0.002925664,0.00411859,0.003168624,0.005010453,0.003940292,0.002813262,0.003723197,0.008359377,0.009968756091323,0.0044094819465577,0.0114291416163606,0.0126027220279651,0.0050713362775266,0.0119612075441807,0.0083009866095359,0.0063496038815169
55,0.150557122,0.0593207129999999,0.032574637,0.067287086,27.47,3.046,0.026629593,0.030526606,0.027981578,0.015965174,0.008825122,0.007079492,0.012165386,0.006940109,0.01703398,0.007210799,0.017104317,0.00424261,0.040118702,0.014268616,0.016700792,0.016851707,0.003413012,0.006094457,0.014428907,0.01321773,0.016735399,0.007316212,0.008008327,0.006215499,0.014718449,0.008071186,0.011609562,0.006292313,0.0326842293740935,0.0313977367553741,0.0320966972984388,0.0187070681791216,0.0037373257409004,0.0091533686070088,0.0030703452672315,0.0048790886345434
59,0.044141307,0.010863149,0.025962666,0.020595339,11.43,2.081,0.006800906,0.006981834,0.012098502,0.008224883,0.005803107,0.004715249,0.010862416,0.003093974,0.007780314,0.005549379,0.004447778,0.010519883,0.017077587,0.003477068,0.009876762,0.002026181,0.015543555,0.020279537,0.014380454,0.0204153,0.008535107,0.003979405,0.00940882,0.00640331,0.008896722,0.002467534,0.004533206,0.003234289,0.0079242199400729,0.0065278535197903,0.0029443075633714,0.003846726298391,0.0042719644147422,0.0074344557444725,0.0024230711375656,0.0037579175839639
60,0.2082912579999999,0.031474164,0.091911653,0.083544401,13.16,2.04,0.015629461,0.01470744,0.010347298,0.013033937,0.002511453,0.003927479,0.002383039,0.003403052,0.007544093,0.016956617,0.002526595,0.010737988,0.007384742,0.011185363,0.008793453,0.005457004,0.014459413,0.01309419,0.010760203,0.009217564,0.003254573,0.012693119,0.006191806,0.012701211,0.003650292,0.008312283,0.006429477,0.006496628,0.0023783190490668,0.0122854299122618,0.0078032526822466,0.0038918674807235,0.0064154266364483,0.006187567889862,0.0065009267451929,0.0046694871814035
62,0.072866707,0.021387683,0.028822786,0.009929904,12.82,1.205,0.032285385,0.029237381,0.026565614,0.031125926,0.008116988,0.00763645,0.007280415,0.02152962,0.012544426,0.007287959,0.004171423,0.016643612,0.018313048,0.012218959,0.011311132,0.026258313,0.003644858,0.004412759,0.001364303,0.00463672,0.023810131,0.027467141,0.017606706,0.003497426,0.007505016,0.011059214,0.016087847,0.008231723,0.0071230922814955,0.0101586314904886,0.0264445988418941,0.0061831647331452,0.0037446008015069,0.0059129545775904,0.0144426917469779,0.0043715670947215
64,0.075296899,0.035276579,0.043802568,0.021508068,15.51,1.677,0.01844475,0.032790128,0.00814039,0.017195991,0.007874195,0.01276912,0.004699005,0.005594464,0.00250133,0.007515164,0.008471912,0.007405813,0.010607891,0.009577384,0.013504901,0.02413038,0.007802528,0.01319647,0.025620953,0.048713027,0.009666403,0.011371418,0.007199465,0.006023539,0.004252021,0.006861203,0.006389421,0.003964235,0.008985351382904,0.0129798800942266,0.0090853221118764,0.0065617389547384,0.0049864594151451,0.006511700852034,0.009334838064958,0.0018879541804141
67,0.014132127,0.016151532,0.036245234,0.021329862,11.32,1.758,0.01370865,0.019128192,0.013116009,0.011052667,0.002631447,0.002960997,0.005859023,0.005584439,0.00816039,0.005859105,0.012668707,0.008442098,0.013527038,0.005231857,0.013674594,0.015639482,0.005576184,0.009327507,0.068784814,0.002685019,0.005814207,0.005741827,0.009840557,0.020155963,0.002456419,0.009922427,0.005625512,0.011731361,0.0067672521310106,0.0117686599239411,0.0110662374802153,0.0029843623961974,0.0031267072313494,0.0032691943990532,0.0049960360622609,0.0045952262720314
68,0.337562562,0.035736424,0.03051144,0.012904534,10.44,1.737,0.011547987,0.009811503,0.013305349,0.008515564,0.00243198,0.005400483,0.003219833,0.003831138,0.003536199,0.016260009,0.003930999,0.00605169,0.010489456,0.023396332,0.008504117,0.008792963,0.015304431,0.010181711,0.015622844,0.057181519,0.011270417,0.01269148,0.019503766,0.011134681,0.009820434,0.003947484,0.002765154,0.0034903,0.0034102629428411,0.0015469917795674,0.002634565614073,0.008460154999579,0.005860025020331,0.003391662940338,0.0043759361640107,0.0035235369734115
69,0.483062022,0.08276489,0.030805811,0.088045233,16.6,1.672,0.007070106,0.029983465,0.022358832,0.028453794,0.016314165,0.009196912,0.004639226,0.011426605,0.017846901,0.012753034,0.012285403,0.012351695,0.005800453,0.004803413,0.019502978,0.015548621,0.019197028,0.030802408,0.01910844,0.009969266,0.0068105,0.016363168,0.01410097,0.011149342,0.007755161,0.005228714,0.010658449,0.011071381,0.0143615078350313,0.0119450920153707,0.0150162738039255,0.0025202959490256,0.0073798296512488,0.0051056256091408,0.006530721668583,0.0068137643427524
71,0.729418218,0.09854329,0.0574419269999999,0.022768465,24.97,2.278,0.014127073,0.011126403,0.01218244,0.007402219,0.004088084,0.004823422,0.005596391,0.008284657,0.011758344,0.016021342,0.004318151,0.018070726,0.003364352,0.0119361,0.007940716,0.006398372,0.00257838,0.009405832,0.008739849,0.005720702,0.008557369,0.007657111,0.003888312,0.007129559,0.014488061,0.00795308,0.005032426,0.005313888,0.0250055017481693,0.0155530383378231,0.0081290263385529,0.0066669526994544,0.0102992113209903,0.007797240422138,0.0044950019953894,0.0033958621608725
72,0.063094556,0.018862343,0.018076725,0.048075077,14.09,1.458,0.02063035,0.012623851,0.028029253,0.023735986,0.006604483,0.007193618,0.009203378,0.015217561,0.005152296,0.008326555,0.010147302,0.012109872,0.014792504,0.006349273,0.02090103,0.013590386,0.003397879,0.010020232,0.006656683,0.013410324,0.003486794,0.01990864,0.002935161,0.003908126,0.00652364,0.003940292,0.002813262,0.003723197,0.0074705669702654,0.009968756091323,0.0044094819465577,0.0114291416163606,0.007797544178817,0.0050713362775266,0.0119612075441807,0.0083009866095359
73,0.064859564,0.026937836,0.014540736,0.013519726,9.58,2.094,0.016298528,0.010077291,0.008391967,0.009639471,0.005294426,0.005407075,0.00332434,0.009456517,0.021565219,0.010500914,0.007496055,0.005072596,0.012374836,0.017362861,0.002612015,0.005853935,0.003811274,0.014367439,0.008793043,0.021963901,0.006632713,0.007099983,0.005208732,0.002546052,0.009295522,0.008896722,0.002467534,0.004533206,0.0060705630901332,0.0079242199400729,0.0065278535197903,0.0029443075633714,0.0045717270728609,0.0042719644147422,0.0074344557444725,0.0024230711375656
75,0.036857794,0.01561099,0.007882068,0.006337744,23.47,1.63,0.028289955,0.038537595,0.030696863,0.019280654,0.004965289,0.010185082,0.008816194,0.001202947,0.016944938,0.016668103,0.001836802,0.029770161,0.012381375,0.016798809,0.017601941,0.00745985,0.006514388,0.024371287,0.008068579,0.002673302,0.010935276,0.01930282,0.01491216,0.006831895,0.013512587,0.012710407,0.016558674,0.01085488,0.0079583447421724,0.0055437132295528,0.0191364365865945,0.0283187483013069,0.0056264770482281,0.0037292619746959,0.0059367720300108,0.0056197273932247
77,0.072305809,0.035525723,0.014316599,0.011789826,11.87,1.216,0.011030676,0.008340725,0.013041386,0.032285385,0.005314192,0.007207348,0.00400964,0.008116988,0.011753126,0.008039589,0.002336378,0.012544426,0.004985085,0.02128732,0.02221663,0.018313048,0.021115398,0.013180883,0.012055743,0.003644858,0.008606471,0.017992677,0.015192257,0.023810131,0.003830868,0.002662386,0.006953821,0.011754896,0.0025045585633848,0.0061839976049661,0.0070127957811283,0.0078461896563997,0.005122522064071,0.0074344615088481,0.0039867454734497,0.00252319518947
79,0.0933602,0.032425715,0.008662967,0.016690476,13.5,1.793,0.010656917,0.009794245,0.017653483,0.014981965,0.005737814,0.007028818,0.005267717,0.002311707,0.003887931,0.006438743,0.004235751,0.007995183,0.01275049,0.023554027,0.012571558,0.013672601,0.016958762,0.022559575,0.004705173,0.022428967,0.006389685,0.008805072,0.004816423,0.006505751,0.008016004,0.007946644,0.005254561,0.009586471,0.0115966234051522,0.0063611192482155,0.0049104135233921,0.0023765708099589,0.0034671246124269,0.0036872732134952,0.002590547853535,0.0031644420182993
80,0.062894141,0.046918994,0.048679493,0.038179733,9.72,2.087,0.003318472,0.011346728,0.01681849,0.011131702,0.00293186,0.004677713,0.005285651,0.004224277,0.008495056,0.004556815,0.022211708,0.004489764,0.017015091,0.013069861,0.012880829,0.013136533,0.034770918,0.001717564,0.004853329,0.010222996,0.014996906,0.004941731,0.002124737,0.009672357,0.005015183,0.006684847,0.009155084,0.007566722,0.0069652059429797,0.0029803349784834,0.0078983292062608,0.004617711052977,0.0043241763926355,0.0038164946215215,0.0050416499553917,0.0043540761657066
81,0.069588842,0.024264851,0.030555081,0.011257309,10.93,2.082,0.008782228,0.015053932,0.014262135,0.00436932,0.003508981,0.002644234,0.004097359,0.003241756,0.007747932,0.015922817,0.011582311,0.016350861,0.009086976,0.010541559,0.009470922,0.024162597,0.014178653,0.014422046,0.01467216,0.006249628,0.003457958,0.013784743,0.012643796,0.005865949,0.009224189,0.004095219,0.004193,0.006791598,0.0040598363613457,0.0111559099182715,0.0037947351735425,0.0074505462768542,0.0058289078738095,0.0076250131546988,0.0045275534655957,0.0068627286961698
83,0.184311565,0.026241132,0.022444665,0.017166159,10.09,1.733,0.005708419,0.013546885,0.014767422,0.006189759,0.004894347,0.001012691,0.003002496,0.003993127,0.002481673,0.016829039,0.006927749,0.007123091,0.006073673,0.021962798,0.007739185,0.012572438,0.007283345,0.008315516,0.060316818,0.002397315,0.004949168,0.012267187,0.022104694,0.024888973,0.008066044,0.001925304,0.003570126,0.003587467,0.0032480365601971,0.0027946428562559,0.0041969084328564,0.0084412162397531,0.0056941868036591,0.0016995629583615,0.003794573151571,0.002364657403547
84,0.670681178,0.0589218379999999,0.047582476,0.0519046429999999,18.73,1.877,0.014048632,0.018210796,0.012117872,0.014057348,0.005557161,0.011570714,0.006136046,0.004266764,0.007151081,0.005692529,0.012044845,0.017458935,0.021817764,0.011125234,0.023656943,0.011713427,0.009460218,0.020460009,0.025305877,0.018848203,0.006208796,0.013549826,0.009066985,0.008430104,0.005866371,0.009618065,0.005803399,0.006488821,0.0064780891603535,0.0052705492172357,0.0066892157808221,0.0047799552579199,0.0078121479340996,0.0038813435529625,0.0047543795072155,0.0046018287471937
