,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
85,디자인,0.2386076209999999,0.052968746,0.039879845,0.069108733,227100
86,디케이앤디,0.050631235,0.01602083,0.032298344,0.039223424,263020
87,디케이티,0.225292366,0.111437292,0.048204792,0.035525808,290550
88,디티앤씨알오,0.084638602,0.018746066,0.026669121,0.018848554,383930
89,딥노이드,0.116252247,0.10077655,0.038504675,0.026555357,315640
90,라닉스,0.166957923,0.103040201,0.046397284,0.048869551,317120
91,라온피플,0.078498885,0.086616136,0.019559652,0.048966243,300120
92,라이프시맨틱스,0.201748705,0.038573657,0.023707024,0.019080697,347700
93,라파스,0.049900852,0.0285533359999999,0.038082568,0.063396514,214260
94,레몬,0.230206559,0.142828411,0.068683601,0.080376259,294140
95,레이,0.136639405,0.029572994,0.041498771,0.040507999,228670
96,레이언스,0.040419711,0.018508701,0.019836658,0.040527707,228850
97,레이저쎌,0.0537777559999999,0.094342286,0.033796198,0.037062609,412350
98,레인보우로보틱스,0.707546608,0.06335369,0.0282826799999999,0.03570675,277810
99,로고스바이오,0.091492404,0.059549878,0.026639294,0.050405039,238120
100,로보티즈,0.189007526,0.049850958,0.044879873,0.017643072,108490
101,로스웰,0.033996367,0.023159555,0.033828982,0.028229152,900260
102,로지시스,0.517254718,0.03006172,0.057986611,0.166022718,67730
103,롯데렌탈,0.04923253,0.009004055,0.018604919,0.014497689,89860
104,롯데정보통신,0.02545718,0.014296258,0.017246246,0.041446327,286940
105,루닛,0.159049756,0.084901578,0.01817545,0.01824837,328130
106,리파인,0.148695437,0.028583474,0.035613789,0.084746723,377450
107,린드먼아시아,0.739025006,0.060115655,0.035139052,0.035356923,277070
108,마녀공장,0.71873864,0.068762548,0.025316437,0.014493792,439090
109,마니커에프앤지,0.341673294,0.056618301,0.025483132,0.128093571,195500
110,마이크로디지탈,0.336896613,0.038285271,0.033558799,0.062368486,305090
111,마이크로투나노,0.156986805,0.04032162,0.020255863,0.074106592,424980
112,마이크로프랜드,0.124062492,0.048545103,0.026454433,0.06510705,147760
113,마인즈랩,0.149559453,0.0531912399999999,0.014154964,0.034439614,377480
114,마크로밀엠브레인,0.652208481,0.043593497,0.0264373409999999,0.024085265,169330
115,맥스트,0.676637475,0.138286756,0.057684634,0.049096975,377030
116,머큐리,0.152847417,0.143405132,0.040250255,0.0521046349999999,100590
117,메가엠디,0.118522719,0.040266574,0.04118728,0.049327041,133750
118,메드팩토,0.071451998,0.074344031,0.043404228,0.031523436,235980
119,메카로,0.082022296,0.037667599,0.026636873,0.034302084,241770
120,메탈라이프,0.739404383,0.061404373,0.033639753,0.028753817,327260
121,멕아이씨에스,0.211247966,0.036942022,0.121141929,0.173648884,58110
122,명성티엔에스,0.234599663,0.033293498,0.058482031,0.060281357,257370
123,명신산업,0.71422682,0.153646357,0.16172975,0.060059121,9900
124,모니터랩,0.209984714,0.024684509,0.032221685,0.033054848,434480
125,모델솔루션,0.112091026,0.036372352,0.036228552,0.031730663,417970
126,모바일어플라이언스,0.303569243,0.062066964,0.125137936,0.042149057,87260
127,모비릭스,0.744683699,0.085901211,0.029969117,0.023848228,348030
128,모아데이타,0.090594012,0.021386281,0.006067125,0.017489625,288980
129,모트렉스,0.062358135,0.042332175,0.010685177,0.020903708,118990
130,미래반도체,0.694383797,0.025824833,0.036600137,0.017395775,254490
131,미래테크놀로지,0.068351116,0.028642137,0.039324509,0.027757972,213090
132,미투온,0.125146914,0.144780568,0.072514433,0.165811302,201490
133,민앤지,0.27840771,0.039104245,0.030886615,0.0538046,214180
134,바이브컴퍼니,0.076009427,0.163771054,0.069679933,0.050276585,301300
135,바이오노트,0.102111199,0.024616356,0.012770474,0.019105889,377740
136,바이오다인,0.188610074,0.052873746,0.037372209,0.037429267,314930
