1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,상장일,VIXCLS,시장금리국고채3년,회사명,WTI유(1~5),WTI유(6~10),WTI유(11~15),WTI유(16~20),금(1~5),금(6~10),금(11~15),금(16~20),구리_미국(1~5),구리_미국(6~10),구리_미국(11~15),구리_미국(16~20),미국_커피(1~5),미국_커피(6~10),미국_커피(11~15),미국_커피(16~20),돈육(1~5),돈육(6~10),돈육(11~15),돈육(16~20),코스피수익률표준편차(1~5),코스피수익률표준편차(6~10),코스피수익률표준편차(11~15),코스피수익률표준편차(16~20),나스닥수익률표준편차(1~5),나스닥수익률표준편차(6~10),나스닥수익률표준편차(11~15),나스닥수익률표준편차(16~20),원달러환율수익률표준편차(1~5),원달러환율수익률표준편차(6~10),원달러환율수익률표준편차(11~15),원달러환율수익률표준편차(16~20),위치
0.089380356,0.064986022,0.0299257749999999,0.042214038,95570,2015-08-21,28.03,1.709,AJ네트웍스,0.0303903281152944,0.0483869217557726,0.0381807651362807,0.0333315782928358,0.0063602897532419,0.0049518951948717,0.0055690640225838,0.0087815658529441,0.0202266519914871,0.0179691237043772,0.0213612464084746,0.0226840329613959,0.0191414236487626,0.0090913966355072,0.0155830360138543,0.0202927027020404,0.0229932292888206,0.0125279102077645,0.0131829243747138,0.003410012754615,0.0189029039042894,0.0085855019508868,0.0160252297793937,0.0094746402282667,0.0207860552107306,0.0141957533991391,0.0112200614782824,0.0115224625061131,0.0071947772011766,0.003073997512418,0.0081469907202994,0.0038219907826224,1.0
0.055183304,0.027243862,0.010926939,0.014312477,211270,2016-03-04,16.86,1.522,AP위성통신,0.0384194310548881,0.0190676338998186,0.0372396418264166,0.028734405207907,0.0025240582010855,0.009633269647511,0.0158714916786705,0.0091145009851619,0.0131977845084511,0.0054599187569854,0.0126188626042877,0.0109081265749054,0.0035660947513067,0.013316613613305,0.0169571673129226,0.0206595583181354,0.0170423942331576,0.0065079711189679,0.0036918190682022,0.0151249572480233,0.0051960572110325,0.002919884356513,0.0028907494227937,0.0067416250760369,0.0071494627223302,0.0050464137777815,0.0055853336474797,0.0062706094830287,0.0045724713621856,0.0099345549200438,0.0030973302047831,0.0068771962789758,1.0
0.494997682,0.05474742,0.020483213,0.047154713,241520,2016-12-19,11.71,1.694,DSC인베스트먼트,0.0034925901194776,0.0068182517160662,0.0148525199935229,0.0074934092658649,0.0039472513380188,0.0063089697303891,0.0052006577133257,0.0074461029351377,0.0040309737614954,0.0081151973382448,0.0048167050377392,0.0131887521319242,0.020295012880358,0.0100336135834332,0.0052003882673413,0.0150912540638486,0.0185724774869439,0.0119637282736962,0.0228381518120961,0.0111710623238307,0.0014868612880934,0.0043072752014347,0.0041438073950667,0.0086920530179086,0.0046976458295136,0.005325779723946,0.0029564042035244,0.0042913767577512,0.0032357237781851,0.0028842989228309,0.007889930968669,0.0062879251968341,-2.6666666666666665
0.358087632,0.053057167,0.021487601,0.044339621,245620,2018-06-26,15.92,2.148,EDGC,0.0116938546128285,0.0307323655795597,0.024602355730467,0.0205643230474103,0.0024816579045452,0.0073775097000358,0.0044887288232034,0.0022640791430468,0.0035701571613709,0.0126741647625439,0.0164419419399716,0.006189090902977,0.0077238357713568,0.0302223270066337,0.0123962107993913,0.0073144164225722,0.0093741255592271,0.0116825502497314,0.0073902680228458,0.0016409524185155,0.0112791986671661,0.0049121743178366,0.0067803583735273,0.005454681980937,0.0066887608268488,0.0070898745890086,0.0043202566222856,0.0050432354469815,0.0027119088507316,0.0038878837744372,0.0043480923616419,0.003612328414874,1.8
0.207570222,0.075021577,0.079149214,0.022591547,900290,2016-10-25,13.46,1.398,GRT,0.0128325265353317,0.0133545051423217,0.0078320084003761,0.0121466718663271,0.0040994711831491,0.0088366850578793,0.0082414378220185,0.0141905323094094,0.006585342032084,0.0036958023673886,0.0158847675473729,0.0197685352111835,0.004114398025657,0.0195795067749365,0.0221807909316253,0.02337227558529,0.0180869846122699,0.0276691115449319,0.0111604547734276,0.0094611554760603,0.0061250725917543,0.0083227084099635,0.0163798387077972,0.0057260862614284,0.0029347723335977,0.0111780708547636,0.0086242999540762,0.0017000429650712,0.0050802815213289,0.0041400538482046,0.0059590096090242,0.0048063345415529,0.5
0.089290778,0.022640605,0.0306036439999999,0.032308621,195940,2021-08-09,16.72,1.436,HK이노엔,0.0144908649425128,0.0096841343576799,0.0285549357510307,0.0132146737676133,0.0073513336820162,0.0034274637699837,0.0054055563693509,0.0083149165236516,0.0068163047951573,0.0101639393488239,0.0111010791349644,0.0080833065530074,0.0148162630806763,0.0112645213594348,0.0083051701054725,0.0086258412732936,0.0040550253224273,0.0833410370855384,0.012077309912285,0.0171067370934846,0.0030459144039841,0.0148387973221101,0.0084598356682932,0.0068172710563111,0.0024710108745678,0.0095419538230068,0.0036861117425281,0.0029857471025152,0.0033684016255816,0.0061511398218052,0.0040683948649419,0.0030844641929642,1.0
0.287325552,0.02307893,0.030618344,0.056473153,403870,2022-07-15,24.23,3.205,HPSP,0.023725115302557,0.0308983250590324,0.0183751188979476,0.0233774588280163,0.0036052163496092,0.0055980504967275,0.0089544223699921,0.009100532638771,0.0187986776667521,0.0084950627938711,0.009812513293265,0.0073499985642999,0.0347761053346968,0.0218003254168846,0.014143717298826,0.0196119544472401,0.015456288270143,0.012745786301228,0.0073207570400624,0.0056568075996472,0.0099878986862309,0.0027310805550087,0.0056818430365627,0.0094367850869714,0.0062409928460364,0.0215208086974039,0.0067170977885786,0.0164507285856922,0.0032652295565489,0.0025833336147519,0.0033771045946632,0.0038392640361061,1.0
0.248351833,0.049901232,0.039769272,0.012931435,234080,2016-10-27,15.36,1.418,JW생명과학,0.0164867748955528,0.0119212705123385,0.0181332861550888,0.0266095035624285,0.0058323290804971,0.0075460834855416,0.0135657337153149,0.0015797217667215,0.0067866991213176,0.0041413518835501,0.0217249606681954,0.0074364256457433,0.0077141983757579,0.0140439247252889,0.0295623545452178,0.0075013841421051,0.024701786379749,0.019392552838511,0.0138917546290533,0.021888350005724,0.0063911021576776,0.0163199474866899,0.0057871025026029,0.0066631467004693,0.0031583227425712,0.0077922755939302,0.0076596489394314,0.0026670166026836,0.0041982020166975,0.0069298551159576,0.0029567829785358,0.004806337443269,0.5454545454545454
0.306137007,0.041399312,0.021280508,0.020321983,309960,2023-03-29,19.12,3.249,LB인베스트먼트,0.0250238877238986,0.001729219388292,0.0164135156486524,0.0095141493527502,0.0066229603318859,0.0094115417305587,0.0096739381747628,0.0096091893622286,0.0057456201189687,0.0098736994875409,0.0096970592169109,0.0056196434089396,0.0146561113523518,0.0158420019910599,0.0220456335315751,0.0208879370868341,0.0067381880697724,0.0182213705106025,0.0045983097540065,0.042752865184434,0.0041855282716489,0.0117157767828772,0.0024488398260757,0.0044640636222422,0.0101853038429724,0.002063260622438,0.0049334129008281,0.009435771078945,0.0053756244566317,0.0023774449037131,0.0109080320772319,0.0030590968268681,1.0
0.304972446,0.035250135,0.012433704,0.026895818,373220,2022-01-27,30.49,2.217,LG에너지솔루션,0.0054593367682382,0.0109543908904632,0.019584227628306,0.0227606492552824,0.0036269926981512,0.0030499478128046,0.0027263907274977,0.0084532871071879,0.0175215807268192,0.0070679354030947,0.0231673842998802,0.0026978050312804,0.0079536458037742,0.0112939715633593,0.024209176256265,0.0119192114807451,0.0055608767832558,0.0070963106863791,0.0128504116310754,0.0587527591571218,0.009796212647446,0.0095887713833586,0.0120151544396391,0.0148544963685149,0.0196700789191383,0.0080531479555851,0.0156330410070253,0.0126331683900383,0.004171531634679,0.0020629474092317,0.0017390152804194,0.0071357730617477,1.0
