변환,주식시장,잠정치
"2018/09/14","2,048","1,288"
"2018/09/17","1,767","-295"
"2018/09/18","-830","75"
"2018/09/19","3,861","-1,480"
"2018/09/20","2,953","-257"
"2018/09/21","8,246","808"
"2018/09/27","2,294","206"
"2018/09/28","-2,246","-859"
"2018/10/01","-535","-156"
"2018/10/02","-2,421","-973"
"2018/10/04","-5,320","-13"
"2018/10/05","-3,318","-993"
"2018/10/08","-1,789","104"
"2018/10/10","-2,305","-592"
"2018/10/11","-4,867","798"
"2018/10/12","742","226"
"2018/10/15","210","-1,561"
"2018/10/16","-673","43"
"2018/10/17","62","-1,274"
"2018/10/18","-536","-961"
"2018/10/19","-1,727","-339"
"2018/10/22","-1,109","-416"
"2018/10/23","-5,654","-1,051"
"2018/10/24","-3,286","-521"
"2018/10/25","-3,615","1,086"
"2018/10/26","-1,761","-516"
"2018/10/29","-1,608","1,049"
"2018/10/30","-1,834","1,075"
"2018/10/31","1,353","-1,151"
"2018/11/01","2,928","294"
"2018/11/02","4,407","1,275"
"2018/11/05","-638","-811"
"2018/11/06","20","-803"
"2018/11/07","-654","-92"
"2018/11/08","4,916","240"
"2018/11/09","481","-908"
"2018/11/12","402","-485"
"2018/11/13","-3,036","-142"
"2018/11/14","-1,322","45"
"2018/11/15","-1,697","-136"
"2018/11/16","-209","647"
"2018/11/19","-924","471"
"2018/11/20","-2,529","-851"
"2018/11/21","-3,905","100"
"2018/11/22","-437","-359"
"2018/11/23","368","-98"
"2018/11/26","-358","1,263"
"2018/11/27","1,951","291"
"2018/11/28","942","-567"
"2018/11/29","3,260","-109"
"2018/11/30","-366","846"
"2018/12/03","3,250","281"
"2018/12/04","1,230","600"
"2018/12/05","-1,973","-440"
"2018/12/06","-3,841","-860"
"2018/12/07","284","706"
"2018/12/10","-2,720","-270"
"2018/12/11","-1,750","-91"
"2018/12/12","-413","897"
"2018/12/13","4,831","723"
"2018/12/14","-922","-1,278"
"2018/12/17","660","78"
"2018/12/18","-1,705","856"
"2018/12/19","108","887"
"2018/12/20","-415","-161"
"2018/12/21","-2,225","644"
"2018/12/24","64","-166"
"2018/12/26","610","171"
"2018/12/27","2,394","-1,187"
"2018/12/28","2,026","696"
"2018/12/31","",""
"2019/01/02","-276","-449"
"2019/01/03","1,016","-866"
"2019/01/04","-1,261","176"
"2019/01/07","560","-53"
"2019/01/08","-255","-500"
"2019/01/09","3,849","258"
"2019/01/10","2,729","-32"
"2019/01/11","1,776","-36"
"2019/01/14","948","-452"
"2019/01/15","1,230","314"
"2019/01/16","1,009","-460"
"2019/01/17","2,353","-721"
"2019/01/18","1,141","637"
"2019/01/21","661","-87"
"2019/01/22","1,349","-223"
"2019/01/23","-977","367"
"2019/01/24","4,954","516"
"2019/01/25","8,214","708"
"2019/01/28","3,577","331"
"2019/01/29","1,940","-267"
"2019/01/30","3,138","816"
"2019/01/31","2,824","684"
"2019/02/01","2,657","597"
"2019/02/07","1,614","1,649"
"2019/02/08","-2,769","115"
"2019/02/11","-582","36"
"2019/02/12","-379","-421"
"2019/02/13","-288","1,539"
"2019/02/14","-475","133"
"2019/02/15","-1,792","-29"
"2019/02/18","457","333"
"2019/02/19","-67","588"
"2019/02/20","4,363","31"
"2019/02/21","2,079","171"
"2019/02/22","-43","-206"
"2019/02/25","-796","767"
"2019/02/26","536","-526"
"2019/02/27","-573","502"
"2019/02/28","-2,533","303"
"2019/03/04","-1,321","1,655"
"2019/03/05","-1,578","-385"
"2019/03/06","56","-768"
"2019/03/07","-6","-606"
"2019/03/08","-1,745","-17"
"2019/03/11","-1,792","-43"
"2019/03/12","-23","1,273"
"2019/03/13","1,000","-371"
"2019/03/14","2,858","514"
"2019/03/15","-1,337","-612"
"2019/03/18","-491","560"
"2019/03/19","-124","-485"
"2019/03/20","-1,218","26"
"2019/03/21","4,864","-667"
"2019/03/22","5,031","-438"
"2019/03/25","-721","-378"
"2019/03/26","365","865"
"2019/03/27","-1,558","-472"
"2019/03/28","-141","52"
"2019/03/29","892","276"
"2019/04/01","2,488","-52"
"2019/04/02","2,743","-67"
"2019/04/03","1,447","422"
"2019/04/04","2,462","208"
"2019/04/05","1,003","-33"
"2019/04/08","2,735","110"
"2019/04/09","2,099","-48"
"2019/04/10","-35","254"
"2019/04/11","3,245","521"
"2019/04/12","2,447","223"
"2019/04/15","1,780","-129"
"2019/04/16","1,539","-286"
"2019/04/17","760","349"
"2019/04/18","-1,338","-735"
"2019/04/19","-576","1,308"
"2019/04/22","-136","-152"
"2019/04/23","399","43"
"2019/04/24","235","-87"
"2019/04/25","-178","-317"
"2019/04/26","347","-95"
"2019/04/29","36","540"
"2019/04/30","418","-73"
"2019/05/02","676","673"
"2019/05/03","1,509","101"
"2019/05/07","2,018","-63"
"2019/05/08","91","-729"
"2019/05/09","-2,037","-431"
"2019/05/10","-3,233","419"
"2019/05/13","-1,392","-432"
"2019/05/14","-2,851","1,078"
"2019/05/15","-792","90"
"2019/05/16","-4,687","-1,616"
"2019/05/17","-1,993","-352"
"2019/05/20","-197","-536"
"2019/05/21","746","-657"
"2019/05/22","41","-562"
"2019/05/23","820","-812"
"2019/05/24","-3,098","-439"
"2019/05/27","-1,947","-495"
"2019/05/28","-7,189","384"
"2019/05/29","-3,830","-1,066"
"2019/05/30","480","-624"
"2019/05/31","2,058","370"
"2019/06/03","2,939","-257"
"2019/06/04","-2,015","-303"
"2019/06/05","-1,544","149"
"2019/06/07","-344","586"
"2019/06/10","1,831","-558"
"2019/06/11","1,108","119"
"2019/06/12","-23","-621"
"2019/06/13","-1,670","1,721"
"2019/06/14","-688","-1,217"
"2019/06/17","-1,511","-307"
"2019/06/18","2,610","-461"
"2019/06/19","3,050","-253"
"2019/06/20","-169","523"
"2019/06/21","135","-673"
"2019/06/24","-990","-690"
"2019/06/25","-17","-659"
"2019/06/26","176","87"
"2019/06/27","1,572","-856"
"2019/06/28","3,133","-105"
"2019/07/01","1,552","739"
"2019/07/02","337","-177"
"2019/07/03","-860","-566"
"2019/07/04","398","-376"
"2019/07/05","-242","-258"
"2019/07/08","5","-979"
"2019/07/09","230","406"
"2019/07/10","2,028","690"
"2019/07/11","3,657","-196"
"2019/07/12","-58","317"
"2019/07/15","141","-1,196"
"2019/07/16","2,515","70"
"2019/07/17","228","-421"
"2019/07/18","691","93"
"2019/07/19","1,329","-214"
"2019/07/22","2,336","-232"
"2019/07/23","2,858","-1,038"
"2019/07/24","585","2"
"2019/07/25","1,130","338"
"2019/07/26","1,176","64"
"2019/07/29","-639","3"
"2019/07/30","1,413","1,500"
"2019/07/31","-493","273"
"2019/08/01","-45","-1,075"
"2019/08/02","-3,986","697"
"2019/08/05","-3,142","-373"
"2019/08/06","-6,051","2,867"
"2019/08/07","-991","733"
"2019/08/08","-1,018","-473"
"2019/08/09","-48","-998"
"2019/08/12","-34","-482"
"2019/08/13","-1,745","-715"
"2019/08/14","-503","-655"
"2019/08/16","-936","-121"
"2019/08/19","-1,390","-172"
"2019/08/20","1,136","4"
"2019/08/21","-1,281","-260"
"2019/08/22","-1,236","-1,167"
"2019/08/23","77","350"
"2019/08/26","-1,188","-1,136"
"2019/08/27","-1,186","60"
"2019/08/28","-511","617"
"2019/08/29","-1,126","-1,147"
"2019/08/30","2,271","446"
"2019/09/02","-1,245","420"
"2019/09/03","-3,048","-470"
"2019/09/04","-3,503","609"
"2019/09/05","1,891","-45"
"2019/09/06","484","-381"
"2019/09/09","2,355","-528"
"2019/09/10","153","-217"
"2019/09/11","-2,828","302"
"2019/09/16","-1,592","233"
"2019/09/17","-798","-334"
"2019/09/18","591","-552"
"2019/09/19","2,199","329"
"2019/09/20","447","330"
"2019/09/23","-697","-550"
"2019/09/24","-2,156","203"
"2019/09/25","-3,670","-513"
"2019/09/26","3,160","125"
"2019/09/27","-249","-237"
"2019/09/30","-9","-536"
"2019/10/01","-1,434","154"
"2019/10/02","-1,149","-178"
"2019/10/04","-1,490","-231"
"2019/10/07","-220","708"
"2019/10/08","-456","2,376"
"2019/10/10","-1,388","-891"
"2019/10/11","1,115","-466"
"2019/10/14","231","344"
"2019/10/15","-567","594"
"2019/10/16","47","665"
"2019/10/17","-945","-838"
"2019/10/18","-1,300","26"
"2019/10/21","-1,229","-179"
"2019/10/22","914","1,495"
"2019/10/23","1,180","1,335"
"2019/10/24","1,747","-1,386"
"2019/10/25","586","-599"
"2019/10/28","-552","224"
"2019/10/29","-993","375"
"2019/10/30","82","-579"
"2019/10/31","367","298"
"2019/11/01","1,387","-119"
"2019/11/04","702","-424"
"2019/11/05","3,254","287"
"2019/11/06","2,375","-401"
"2019/11/07","-1,549","-664"
"2019/11/08","-1,044","-692"
"2019/11/11","-1,734","-371"
"2019/11/12","-404","71"
"2019/11/13","-272","-497"
"2019/11/14","-2,073","-176"
"2019/11/15","-1,373","981"
"2019/11/18","-1,630","207"
"2019/11/19","-130","-1,081"
"2019/11/20","-3,343","-182"
"2019/11/21","-5,730","42"
"2019/11/22","-1,864","140"
"2019/11/25","-2,586","449"
"2019/11/26","-8,576","10"
"2019/11/27","-1,437","-918"
"2019/11/28","-1,166","-334"
"2019/11/29","-4,517","-68"
"2019/12/02","-3,937","755"
"2019/12/03","-2,690","-525"
"2019/12/04","-3,965","826"
"2019/12/05","-688","-361"
"2019/12/06","427","2,001"
"2019/12/09","652","-649"
"2019/12/10","-199","-251"
"2019/12/11","-57","248"
"2019/12/12","5,554","218"
"2019/12/13","5,170","109"
"2019/12/16","-1,899","77"
"2019/12/17","5,159","259"
"2019/12/18","3,839","-229"
"2019/12/19","2,491","-216"
"2019/12/20","1,588","1,011"
"2019/12/23","-472","-626"
"2019/12/24","-1,683","-10"
"2019/12/26","-363","2,328"
"2019/12/27","661","437"
"2019/12/30","-3,404","481"
"2019/12/31","",""
"2020/01/02","-64","-648"
"2020/01/03","2,618","-1,336"
"2020/01/06","994","-750"
"2020/01/07","1,960","-314"
"2020/01/08","2,709","-414"
"2020/01/09","926","1,614"
"2020/01/10","3,792","-556"
"2020/01/13","2,580","-264"
"2020/01/14","2,629","-323"
"2020/01/15","-863","-98"
"2020/01/16","-270","13"
"2020/01/17","934","133"
"2020/01/20","627","-713"
"2020/01/21","-2,054","-527"
"2020/01/22","-749","675"
"2020/01/23","-1,379","-554"
"2020/01/28","-5,262","-46"
"2020/01/29","1,000","-378"
"2020/01/30","-2,802","-847"
"2020/01/31","-4,277","-152"
"2020/02/03","-3,071","1,539"
"2020/02/04","4,876","-325"
"2020/02/05","4,578","-417"
"2020/02/06","1,586","645"
"2020/02/07","223","-613"
"2020/02/10","-3,039","-549"
"2020/02/11","-934","187"
"2020/02/12","-2,163","-82"
"2020/02/13","2,795","-628"
"2020/02/14","945","321"
"2020/02/17","-2,287","-338"
"2020/02/18","-3,069","-1,246"
"2020/02/19","-2,212","493"
"2020/02/20","1,107","-188"
"2020/02/21","2,150","-204"
"2020/02/24","-7,860","419"
"2020/02/25","-7,696","1,206"
"2020/02/26","-8,762","-1,826"
"2020/02/27","-3,985","-2,351"
"2020/02/28","-6,312","689"
"2020/03/02","-7,832","1,202"
"2020/03/03","-3,123","-2,209"
"2020/03/04","1,534","1,000"
"2020/03/05","-1,473","-803"
"2020/03/06","-5,641","-1,482"
"2020/03/09","-13,125","-1,385"
"2020/03/10","-9,876","375"
"2020/03/11","-6,879","-2,615"
"2020/03/12","-8,910","1,469"
"2020/03/13","-11,650","1,752"
"2020/03/16","-6,814","149"
"2020/03/17","-10,030","2,491"
"2020/03/18","-5,106","-1,229"
"2020/03/19","-6,179","1,646"
"2020/03/20","-5,844","597"
"2020/03/23","-6,428","-1,302"
"2020/03/24","-818","826"
"2020/03/25","-3,262","-858"
"2020/03/26","-5,350","-897"
"2020/03/27","-3,751","-1,093"
"2020/03/30","-4,272","390"
"2020/03/31","-721","-997"
"2020/04/01","-5,782","-907"
"2020/04/02","-6,234","-962"
"2020/04/03","-2,901","-314"
"2020/04/06","-1,973","1,090"
"2020/04/07","-1,969","-1,397"
"2020/04/08","-1,360","-1,016"
"2020/04/09","-1,806","-776"
"2020/04/10","-562","-1,372"
"2020/04/13","-2,954","-938"
"2020/04/14","-300","1,769"
"2020/04/16","-5,677","729"
"2020/04/17","3,229","-371"
"2020/04/20","-4,935","-260"
"2020/04/21","-5,296","-617"
"2020/04/22","-367","-249"
"2020/04/23","-1,063","-331"
"2020/04/24","-2,322","-1,039"
"2020/04/27","192","741"
"2020/04/28","-1,268","-1,175"
"2020/04/29","2,349","-223"
"2020/05/04","-9,463","78"
"2020/05/06","-3,191","773"
"2020/05/07","-3,126","191"
"2020/05/08","468","776"
"2020/05/11","-1,746","-1,080"
"2020/05/12","-3,111","-496"
"2020/05/13","-3,207","8"
"2020/05/14","-5,541","-210"
"2020/05/15","-4,722","-519"
"2020/05/18","-864","-112"
"2020/05/19","3,707","193"
"2020/05/20","808","649"
"2020/05/21","736","286"
"2020/05/22","-4,768","-1,320"
"2020/05/25","-1,407","1,000"
"2020/05/26","144","-318"
"2020/05/27","-2,176","-3,021"
"2020/05/28","609","-370"
"2020/05/29","-1,990","1,729"
"2020/06/01","1,089","563"
"2020/06/02","-502","-92"
"2020/06/03","2,102","-912"
"2020/06/04","465","1,349"
"2020/06/05","-720","1,003"
"2020/06/08","114","140"
"2020/06/09","-231","936"
"2020/06/10","-477","622"
"2020/06/11","-1,206","-502"
"2020/06/12","-2,623","1,292"
"2020/06/15","-4,786","-1,346"
"2020/06/16","1,081","4,306"
"2020/06/17","-531","-1,149"
"2020/06/18","-1,622","-961"
"2020/06/19","468","-673"
"2020/06/22","-2,520","-215"
"2020/06/23","-547","-794"
"2020/06/24","3,516","676"
"2020/06/25","-2,802","-692"
"2020/06/26","602","194"
"2020/06/29","-2,328","-949"
"2020/06/30","-733","1,395"
"2020/07/01","-1,637","-220"
"2020/07/02","-171","1,479"
"2020/07/03","148","423"
"2020/07/06","-2,617","-609"
"2020/07/07","-3,859","-2,390"
"2020/07/08","-3,399","240"
"2020/07/09","65","-77"
"2020/07/10","-3,476","-467"
"2020/07/13","1,053","-456"
"2020/07/14","71","-118"
"2020/07/15","2,743","416"
"2020/07/16","-1,322","-1,442"
"2020/07/17","1,167","1,162"
"2020/07/20","-739","-957"
"2020/07/21","4,483","1,035"
"2020/07/22","-3","497"
"2020/07/23","-2,008","503"
"2020/07/24","841","-1,253"
"2020/07/27","1,677","855"
"2020/07/28","13,113","-95"
"2020/07/29","2,980","741"
"2020/07/30","2,228","-112"
"2020/07/31","-548","-862"
"2020/08/03","-2,719","467"
"2020/08/04","-615","-709"
"2020/08/05","-456","1,348"
"2020/08/06","1,685","-535"
"2020/08/07","-730","291"
"2020/08/10","-1,330","-915"
"2020/08/11","1,512","-376"
"2020/08/12","-1,550","-1,160"
"2020/08/13","-3,476","1,887"
"2020/08/14","-4,641","-781"
"2020/08/18","745","-890"
"2020/08/19","-2,662","1,252"
"2020/08/20","-2,805","-1,888"
"2020/08/21","1,982","182"
"2020/08/24","1,992","1,647"
"2020/08/25","1,572","345"
"2020/08/26","1,896","-782"
"2020/08/27","-257","-1,263"
"2020/08/28","-2,250","634"
"2020/08/31","-16,362","2,499"
"2020/09/01","-2,084","-1,041"
"2020/09/02","-2,541","1,502"
"2020/09/03","1,921","-51"
"2020/09/04","-4,715","-320"
"2020/09/07","-2,513","-259"
"2020/09/08","-337","-696"
"2020/09/09","-1,136","-353"
"2020/09/10","3,821","154"
"2020/09/11","-1,513","-1,893"
"2020/09/14","1,439","-107"
"2020/09/15","2,504","-297"
"2020/09/16","1,751","-70"
"2020/09/17","-1,256","-314"
"2020/09/18","1,453","1,367"
"2020/09/21","-737","-1,521"
"2020/09/22","-171","306"
"2020/09/23","-559","114"
"2020/09/24","-1,915","-393"
"2020/09/25","-899","641"
"2020/09/28","-580","818"
"2020/09/29","-712","-595"
"2020/10/05","1,743","-28"
"2020/10/06","1,701","-573"
"2020/10/07","-975","423"
"2020/10/08","7,610","28"
"2020/10/12","1,396","-195"
"2020/10/13","2,127","-599"
"2020/10/14","-367","-293"
"2020/10/15","-162","-101"
"2020/10/16","-1,713","-92"
"2020/10/19","377","266"
"2020/10/20","431","947"
"2020/10/21","-239","-721"
"2020/10/22","-738","-388"
"2020/10/23","386","591"
"2020/10/26","-1,454","321"
"2020/10/27","1,059","2,373"
"2020/10/28","93","790"
"2020/10/29","-5,386","-817"
"2020/10/30","-9,825","-2,895"
"2020/11/02","492","1,237"
"2020/11/03","2,177","708"
"2020/11/04","-2,174","100"
"2020/11/05","11,411","2,700"
"2020/11/06","7,950","-3,351"
"2020/11/09","3,337","1,460"
"2020/11/10","1,602","-1,865"
"2020/11/11","8,377","-131"
"2020/11/12","4,898","63"
"2020/11/13","5,263","-393"
"2020/11/16","4,655","1,144"
"2020/11/17","3,515","-1,301"
"2020/11/18","667","2,751"
"2020/11/19","1,056","128"
"2020/11/20","1,038","1,399"
"2020/11/23","9,888","-431"
"2020/11/24","7,269","1,806"
"2020/11/25","-419","-865"
"2020/11/26","2,517","1,230"
"2020/11/27","797","2,658"
"2020/11/30","-24,378","-576"
"2020/12/01","748","200"
"2020/12/02","5,181","285"
"2020/12/03","2,103","-279"
"2020/12/04","7,622","446"
"2020/12/07","-652","1,002"
"2020/12/08","-8,521","-916"
"2020/12/09","1,633","713"
"2020/12/10","-13,663","103"
"2020/12/11","-1,540","-90"
"2020/12/14","-3,670","778"
"2020/12/15","-3,724","-514"
"2020/12/16","932","995"
"2020/12/17","-2,587","649"
"2020/12/18","-1,939","643"
"2020/12/21","-99","805"
"2020/12/22","-1,471","-1,757"
"2020/12/23","833","1,811"
"2020/12/24","1,244","3,179"
"2020/12/28","710","2,821"
"2020/12/29","-3,172","1,147"
"2020/12/30","2,494","-629"
"2020/12/31","",""
"2021/01/04","843","-794"
"2021/01/05","-2,089","-1,332"
"2021/01/06","-4,022","-1,020"
"2021/01/07","1,113","140"
"2021/01/08","16,479","-135"
"2021/01/11","-7,259","337"
"2021/01/12","-6,284","-879"
"2021/01/13","1,886","246"
"2021/01/14","6,719","507"
"2021/01/15","-7,553","-1,431"
"2021/01/18","-2,113","263"
"2021/01/19","4,098","2,578"
"2021/01/20","-2,386","2,682"
"2021/01/21","3,664","-1,164"
"2021/01/22","-2,728","-786"
"2021/01/25","2,862","904"
"2021/01/26","-19,848","-2,092"
"2021/01/27","-6,290","-1,514"
"2021/01/28","-15,775","-1,946"
"2021/01/29","-14,312","-773"
"2021/02/01","1,328","3,691"
"2021/02/02","1,946","-362"
"2021/02/03","4,283","70"
"2021/02/04","-6,487","-1,199"
"2021/02/05","1,911","-375"
"2021/02/08","-3,558","211"
"2021/02/09","-2,275","93"
"2021/02/10","7,513","34"
"2021/02/15","7,296","1,097"
"2021/02/16","2,371","-922"
"2021/02/17","-4,866","688"
"2021/02/18","-8,607","-1,049"
"2021/02/19","-2,982","-193"
"2021/02/22","-3,207","-894"
"2021/02/23","-2,993","-448"
"2021/02/24","6,314","301"
"2021/02/25","9,749","1,293"
"2021/02/26","-28,300","-2,172"
"2021/03/02","2,104","568"
"2021/03/03","-114","-141"
"2021/03/04","-9,320","-1,075"
"2021/03/05","-3,750","-947"
"2021/03/08","-1,296","-1,778"
"2021/03/09","-5,292","903"
"2021/03/10","4,799","-1,083"
"2021/03/11","17,080","2,117"
"2021/03/12","4,068","1,683"
"2021/03/15","-2,183","-737"
"2021/03/16","-271","482"
"2021/03/17","-5,289","-523"
"2021/03/18","4,863","-15"
"2021/03/19","-5,860","885"
"2021/03/22","-5,483","-986"
"2021/03/23","-4,762","-470"
"2021/03/24","-4,871","864"
"2021/03/25","-794","-872"
"2021/03/26","2,955","-910"
"2021/03/29","490","-377"
"2021/03/30","3,435","511"
"2021/03/31","-2,916","-731"
"2021/04/01","5,723","1,345"
"2021/04/02","5,667","-109"
"2021/04/05","1,679","49"
"2021/04/06","5,812","-1,577"
"2021/04/07","3,268","559"
"2021/04/08","1,102","-47"
"2021/04/09","-1,551","549"
"2021/04/12","-3,281","364"
"2021/04/13","4,441","-265"
"2021/04/14","1,063","236"
"2021/04/15","2,628","-556"
"2021/04/16","2,749","165"
"2021/04/19","-3,224","907"
"2021/04/20","3,259","-629"
"2021/04/21","-14,325","-1,039"
"2021/04/22","-1,551","216"
"2021/04/23","-246","384"
"2021/04/26","3,907","-455"
"2021/04/27","-1,628","-1,467"
"2021/04/28","-5,943","-1,482"
"2021/04/29","-182","133"
"2021/04/30","-5,652","-168"
"2021/05/03","-4,472","-1,815"
"2021/05/04","-747","337"
"2021/05/06","-1,009","-1,927"
"2021/05/07","-1,907","-447"
"2021/05/10","2,352","-195"
"2021/05/11","-20,349","-2,184"
"2021/05/12","-27,046","-1,689"
"2021/05/13","-14,343","-299"
"2021/05/14","-4,198","822"
"2021/05/17","-6,022","-1,597"
"2021/05/18","-3,500","989"
"2021/05/20","-5,158","1,014"
"2021/05/21","-1,304","-712"
"2021/05/24","-2,207","117"
"2021/05/25","714","2,162"
"2021/05/26","-175","-15"
"2021/05/27","-2,429","1,070"
"2021/05/28","1,429","-858"
"2021/05/31","5,204","179"
"2021/06/01","-531","-169"
"2021/06/02","336","-956"
"2021/06/03","2,420","1,463"
"2021/06/04","1,754","-770"
"2021/06/07","-1,873","-992"
"2021/06/08","-2,037","-195"
"2021/06/09","-3,248","-1,040"
"2021/06/10","7,172","420"
"2021/06/11","1,765","-1,087"
"2021/06/14","-101","-320"
"2021/06/15","-1,211","-1,368"
"2021/06/16","2,875","-339"
"2021/06/17","-3,217","1,241"
"2021/06/18","-7,111","2,698"
"2021/06/21","-9,019","-772"
"2021/06/22","3,629","-1,767"
"2021/06/23","-96","949"
"2021/06/24","-1,016","-1,489"
"2021/06/25","2,485","377"
"2021/06/28","-868","872"
"2021/06/29","679","370"
"2021/06/30","70","865"
"2021/07/01","-4,088","56"
"2021/07/02","-1,216","-910"
"2021/07/05","15","1,837"
"2021/07/06","2,238","-484"
"2021/07/07","-3,405","1,717"
"2021/07/08","-4,983","-2,087"
"2021/07/09","-13,421","693"
"2021/07/12","372","-852"
"2021/07/13","2,652","1,657"
"2021/07/14","-2,740","226"
"2021/07/15","1,006","1,187"
"2021/07/16","-925","-117"
"2021/07/19","-4,582","-350"
"2021/07/20","-1,730","900"
"2021/07/21","-4,985","-1,091"
"2021/07/22","599","2,564"
"2021/07/23","1,117","700"
"2021/07/26","-3,780","-1,820"
"2021/07/27","461","-597"
"2021/07/28","-4,222","-712"
"2021/07/29","-2,292","936"
"2021/07/30","-7,184","-1,242"
"2021/08/02","-1,456","836"
"2021/08/03","6,667","-385"
"2021/08/04","9,122","762"
"2021/08/05","681","2,391"
"2021/08/06","524","28"
"2021/08/09","-2,032","-744"
"2021/08/10","-6,376","-969"
"2021/08/11","-16,215","533"
"2021/08/12","-18,842","-321"
"2021/08/13","-26,990","984"
"2021/08/17","-4,165","-683"
"2021/08/18","-2,623","1,809"
"2021/08/19","-2,710","-1,491"
"2021/08/20","-2,570","-667"
"2021/08/23","-279","3,278"
"2021/08/24","1,546","885"
"2021/08/25","1,619","-1,124"
"2021/08/26","-3,642","-1,108"
"2021/08/27","-3,718","-815"
"2021/08/30","-2,339","208"
"2021/08/31","11,230","-465"
"2021/09/01","775","569"
"2021/09/02","5,482","-830"
"2021/09/03","5,882","1,122"
"2021/09/06","620","-1,145"
"2021/09/07","-3,111","373"
"2021/09/08","-2,232","-1,795"
"2021/09/09","-3,196","-470"
"2021/09/10","-5,178","1,178"
"2021/09/13","1,424","-961"
"2021/09/14","2,984","2,160"
"2021/09/15","2,981","951"
"2021/09/16","207","-1,203"
"2021/09/17","539","873"
"2021/09/23","5,769","553"
"2021/09/24","826","-787"
"2021/09/27","3,427","424"
"2021/09/28","40","-2,073"
"2021/09/29","-6,625","808"
"2021/09/30","372","-632"
"2021/10/01","-3,035","-965"
"2021/10/05","-6,206","1,162"
"2021/10/06","-2,769","-538"
"2021/10/07","-1,050","3,368"
"2021/10/08","-485","-2,217"
"2021/10/12","-8,242","-1,650"
"2021/10/13","-2,711","2,308"
"2021/10/14","-3,845","1,869"
"2021/10/15","869","-1,113"
"2021/10/18","359","-671"
"2021/10/19","1,487","-99"
"2021/10/20","-695","-952"
"2021/10/21","538","-1,545"
"2021/10/22","-1,088","1,519"
"2021/10/25","384","-406"
"2021/10/26","1,073","1,399"
"2021/10/27","-2,885","-778"
"2021/10/28","-2,481","-697"
"2021/10/29","-8,058","361"
"2021/11/01","-3,562","664"
"2021/11/02","3,224","1,561"
"2021/11/03","-4,470","557"
"2021/11/04","3,542","136"
"2021/11/05","1,165","1,019"
"2021/11/08","-1,168","144"
"2021/11/09","-1,355","1,288"
"2021/11/10","-208","-2,199"
"2021/11/11","863","1,661"
"2021/11/12","4,324","2,227"
"2021/11/15","3,997","722"
"2021/11/16","6,478","1,295"
"2021/11/17","1,032","-668"
"2021/11/18","-472","-1,204"
"2021/11/19","2,323","778"
"2021/11/22","7,970","-1,345"
"2021/11/23","2,824","549"
"2021/11/24","3,186","825"
"2021/11/25","-925","-817"
"2021/11/26","-1,808","1,946"
"2021/11/29","455","2,393"
"2021/11/30","-1,340","-829"
"2021/12/01","9,439","418"
"2021/12/02","8,888","578"
"2021/12/03","1,547","1,611"
"2021/12/06","47","-2,588"
"2021/12/07","2,121","-869"
"2021/12/08","-798","1,550"
"2021/12/09","3,260","390"
"2021/12/10","-2,807","-2,579"
"2021/12/13","-1,339","-623"
"2021/12/14","1,815","455"
"2021/12/15","-223","101"
"2021/12/16","1,872","102"
"2021/12/17","5,318","-309"
"2021/12/20","-5,596","-1,109"
"2021/12/21","329","974"
"2021/12/22","4,233","261"
"2021/12/23","2,351","859"
"2021/12/24","1,950","1,797"
"2021/12/27","516","599"
"2021/12/28","4,528","3,437"
"2021/12/29","-1,278","-4,690"
"2021/12/30","-2,184","-272"
"2021/12/31","",""
"2022/01/03","2,615","-2,143"
"2022/01/04","883","-2,319"
"2022/01/05","6,203","-2,343"
"2022/01/06","1,794","-1,262"
"2022/01/07","6,548","573"
"2022/01/10","-879","-1,194"
"2022/01/11","4,820","-1,390"
"2022/01/12","4,579","358"
"2022/01/13","3,735","-2,547"
"2022/01/14","-2,457","-1,106"
"2022/01/17","-2,527","-1,150"
"2022/01/18","134","-503"
"2022/01/19","344","-115"
"2022/01/20","-2,784","1,555"
"2022/01/21","-2,225","-3,238"
"2022/01/24","-4,357","-1,400"
"2022/01/25","-4,411","-425"
"2022/01/26","-2,425","554"
"2022/01/27","-17,142","-3,646"
"2022/01/28","-7,067","760"
"2022/02/03","839","295"
"2022/02/04","1,945","-430"
"2022/02/07","-69","-2,770"
"2022/02/08","-939","-1,278"
"2022/02/09","2,355","127"
"2022/02/10","8,365","-2,732"
"2022/02/11","6,081","-1,205"
"2022/02/14","684","950"
"2022/02/15","-2,209","-113"
"2022/02/16","-437","2,803"
"2022/02/17","6,515","-214"
"2022/02/18","-1,507","449"
"2022/02/21","-649","-393"
"2022/02/22","-3,304","-481"
"2022/02/23","-2,668","-206"
"2022/02/24","-6,742","-1,530"
"2022/02/25","-1,242","3,432"
"2022/02/28","965","146"
"2022/03/02","-3,074","375"
"2022/03/03","1,327","-531"
"2022/03/04","-5,890","-2,206"
"2022/03/07","-11,907","-1,086"
"2022/03/08","-4,774","-746"
"2022/03/10","-4,278","-56"
"2022/03/11","-6,894","-395"
"2022/03/14","-6,391","-3,299"
"2022/03/15","-6,790","-374"
"2022/03/16","-1,319","1,491"
"2022/03/17","4,635","3,284"
"2022/03/18","-1,031","631"
"2022/03/21","-4,915","-663"
"2022/03/22","2,195","49"
"2022/03/23","571","823"
"2022/03/24","10,219","-800"
"2022/03/25","-5,549","241"
"2022/03/28","-2,643","-665"
"2022/03/29","-2,832","1,615"
