변환,주식시장,잠정치
"2015/11/05","-289","277"
"2015/11/06","-512","-175"
"2015/11/09","53","-532"
"2015/11/10","-691","43"
"2015/11/11","-2,227","459"
"2015/11/12","-2,208","365"
"2015/11/13","-2,109","21"
"2015/11/16","-2,362","-174"
"2015/11/17","-1,646","422"
"2015/11/18","-1,429","437"
"2015/11/19","2,899","527"
"2015/11/20","-1,748","234"
"2015/11/23","-1,040","169"
"2015/11/24","-1,818","202"
"2015/11/25","-1,994","200"
"2015/11/26","661","186"
"2015/11/27","-294","-48"
"2015/11/30","-5,383","-48"
"2015/12/01","1,134","198"
"2015/12/02","-3,029","190"
"2015/12/03","-2,548","112"
"2015/12/04","-3,648","-289"
"2015/12/07","-1,474","65"
"2015/12/08","-1,830","140"
"2015/12/09","-2,429","106"
"2015/12/10","-3,568","-16"
"2015/12/11","-2,312","13"
"2015/12/14","-2,622","-71"
"2015/12/15","-3,527","494"
"2015/12/16","-1,591","-192"
"2015/12/17","-655","705"
"2015/12/18","-1,430","332"
"2015/12/21","-1,141","-49"
"2015/12/22","-66","-83"
"2015/12/23","-63","108"
"2015/12/24","-36","347"
"2015/12/28","-304","502"
"2015/12/29","-928","572"
"2015/12/30","-382","-139"
"2015/12/31","",""
"2016/01/04","-1,572","-228"
"2016/01/05","-1,897","64"
"2016/01/06","1,631","-46"
"2016/01/07","-2,693","-157"
"2016/01/08","-1,492","245"
"2016/01/11","-1,136","-464"
"2016/01/12","-2,198","331"
"2016/01/13","-499","1,145"
"2016/01/14","-3,724","-173"
"2016/01/15","-2,182","-221"
"2016/01/18","-3,498","538"
"2016/01/19","-2,798","-520"
"2016/01/20","-2,283","663"
"2016/01/21","-2,974","83"
"2016/01/22","-1,564","-321"
"2016/01/25","-827","575"
"2016/01/26","-1,888","-147"
"2016/01/27","330","-493"
"2016/01/28","-158","575"
"2016/01/29","1,761","214"
"2016/02/01","1,856","318"
"2016/02/02","-300","-114"
"2016/02/03","-1,905","-279"
"2016/02/04","1,498","167"
"2016/02/05","4","-96"
"2016/02/11","-1,677","-1,132"
"2016/02/12","-2,978","-769"
"2016/02/15","-1,240","-73"
"2016/02/16","858","-428"
"2016/02/17","-196","-607"
"2016/02/18","864","537"
"2016/02/19","1,712","146"
"2016/02/22","355","-229"
"2016/02/23","-48","-669"
"2016/02/24","-166","349"
"2016/02/25","203","-100"
"2016/02/26","2,431","206"
"2016/02/29","1,732","96"
"2016/03/02","3,778","633"
"2016/03/03","4,965","512"
"2016/03/04","1,620","404"
"2016/03/07","2,016","-642"
"2016/03/08","-957","-306"
"2016/03/09","-183","61"
"2016/03/10","6,510","-173"
"2016/03/11","1,477","-61"
"2016/03/14","829","43"
"2016/03/15","625","119"
"2016/03/16","984","259"
"2016/03/17","7,346","278"
"2016/03/18","2,774","865"
"2016/03/21","1,345","-122"
"2016/03/22","1,355","363"
"2016/03/23","118","-40"
"2016/03/24","480","-30"
"2016/03/25","-402","-9"
"2016/03/28","-112","-91"
"2016/03/29","1,485","1,165"
"2016/03/30","369","47"
"2016/03/31","-2,105","-214"
"2016/04/01","-2,111","663"
"2016/04/04","582","63"
"2016/04/05","-1,926","-306"
"2016/04/06","1,166","-227"
"2016/04/07","2,258","546"
"2016/04/08","1,654","138"
"2016/04/11","-167","-170"
"2016/04/12","1,130","320"
"2016/04/14","5,509","266"
"2016/04/15","979","372"
"2016/04/18","1,998","53"
"2016/04/19","290","374"
"2016/04/20","1,118","117"
"2016/04/21","1,609","139"
"2016/04/22","1,549","-109"
"2016/04/25","2,077","-75"
"2016/04/26","1,289","-517"
"2016/04/27","1,824","-48"
"2016/04/28","-2,025","-30"
"2016/04/29","638","-216"
"2016/05/02","-329","-530"
"2016/05/03","870","509"
"2016/05/04","1,723","-284"
"2016/05/09","-979","-559"
"2016/05/10","367","232"
"2016/05/11","699","161"
"2016/05/12","245","-98"
"2016/05/13","-1,428","-151"
"2016/05/16","170","-279"
"2016/05/17","-534","-267"
"2016/05/18","365","-391"
"2016/05/19","-213","-211"
"2016/05/20","-1,276","396"
"2016/05/23","42","-60"
"2016/05/24","-586","-352"
"2016/05/25","1,249","353"
"2016/05/26","68","-154"
"2016/05/27","1,494","20"
"2016/05/30","1,217","-64"
"2016/05/31","-1,312","944"
"2016/06/01","2,429","248"
"2016/06/02","3,868","-8"
"2016/06/03","-1,273","-197"
"2016/06/07","2,615","176"
"2016/06/08","3,095","28"
"2016/06/09","4,140","5"
"2016/06/10","-283","186"
"2016/06/13","-1,469","-483"
"2016/06/14","-1,053","-216"
"2016/06/15","-211","124"
"2016/06/16","423","-695"
"2016/06/17","-981","297"
"2016/06/20","207","547"
"2016/06/21","-1,100","-652"
"2016/06/22","300","61"
"2016/06/23","291","-533"
"2016/06/24","-1,498","867"
"2016/06/27","-2,372","1,126"
"2016/06/28","-3,680","-269"
"2016/06/29","583","-503"
"2016/06/30","4,034","-16"
"2016/07/01","2,525","354"
"2016/07/04","1,794","-397"
"2016/07/05","129","-68"
"2016/07/06","-4,300","-427"
"2016/07/07","1,695","635"
"2016/07/08","413","-552"
"2016/07/11","2,683","366"
"2016/07/12","1,929","-169"
"2016/07/13","5,810","383"
"2016/07/14","3,684","140"
"2016/07/15","4,909","-84"
"2016/07/18","2,317","46"
"2016/07/19","3,149","-231"
"2016/07/20","1,795","107"
"2016/07/21","440","927"
"2016/07/22","721","126"
"2016/07/25","1,934","74"
"2016/07/26","1,942","257"
"2016/07/27","2,438","-179"
"2016/07/28","1,965","529"
"2016/07/29","2,126","229"
"2016/08/01","3,078","-201"
"2016/08/02","516","3"
"2016/08/03","-866","113"
"2016/08/04","384","321"
"2016/08/05","2,503","-287"
"2016/08/08","810","105"
"2016/08/09","2,093","366"
"2016/08/10","3,084","954"
"2016/08/11","-177","-515"
"2016/08/12","605","123"
"2016/08/16","347","-550"
"2016/08/17","143","-24"
"2016/08/18","1,903","407"
"2016/08/19","2,205","182"
"2016/08/22","-119","-313"
"2016/08/23","459","134"
"2016/08/24","-415","59"
"2016/08/25","-3,188","-66"
"2016/08/26","-1,296","-83"
"2016/08/29","841","-51"
"2016/08/30","524","530"
"2016/08/31","215","-235"
"2016/09/01","-1,394","403"
"2016/09/02","2,179","119"
"2016/09/05","2,720","-286"
"2016/09/06","2,699","-193"
"2016/09/07","839","-228"
"2016/09/08","1,816","193"
"2016/09/09","-505","547"
"2016/09/12","-2,190","276"
"2016/09/13","2,474","696"
"2016/09/19","470","30"
"2016/09/20","984","11"
"2016/09/21","882","-60"
"2016/09/22","1,283","484"
"2016/09/23","-425","440"
"2016/09/26","-152","1,628"
"2016/09/27","255","-124"
"2016/09/28","-1,146","35"
"2016/09/29","1,832","328"
"2016/09/30","-1,579","-372"
"2016/10/04","1,814","803"
"2016/10/05","-22","-78"
"2016/10/06","916","260"
"2016/10/07","373","-234"
"2016/10/10","-393","145"
"2016/10/11","-3,359","-63"
"2016/10/12","-5,524","-36"
"2016/10/13","1,923","-573"
"2016/10/14","323","52"
"2016/10/17","2,912","-577"
"2016/10/18","1,899","-354"
"2016/10/19","2,299","-84"
"2016/10/20","1,093","-518"
"2016/10/21","459","-47"
"2016/10/24","970","-91"
"2016/10/25","-614","74"
"2016/10/26","-828","170"
"2016/10/27","289","601"
"2016/10/28","-334","-658"
"2016/10/31","101","114"
"2016/11/01","140","531"
"2016/11/02","-220","-329"
"2016/11/03","-2,057","512"
"2016/11/04","-1,916","-221"
"2016/11/07","-2,178","225"
"2016/11/08","-555","-651"
"2016/11/09","-2,139","49"
"2016/11/10","479","516"
"2016/11/11","-4,495","-292"
"2016/11/14","-3,345","-115"
"2016/11/15","-2,059","-424"
"2016/11/16","-80","551"
"2016/11/17","618","-190"
"2016/11/18","615","-671"
"2016/11/21","683","-117"
"2016/11/22","3,449","51"
"2016/11/23","1,647","-486"
"2016/11/24","-1,414","57"
"2016/11/25","199","441"
"2016/11/28","2,087","-576"
"2016/11/29","4,508","197"
"2016/11/30","2,740","-374"
"2016/12/01","309","-241"
"2016/12/02","-9","-203"
