일자,거래량_PUT,거래량_CALL,P/C Ratio
2016/06/21,389838,450357,0.87
2016/06/20,571647,701785,0.81
2016/06/17,799482,722322,1.11
2016/06/16,678901,612752,1.11
2016/06/15,612720,556369,1.1
2016/06/14,871724,587554,1.48
2016/06/13,790016,529754,1.49
2016/06/10,351275,340644,1.03
2016/06/09,1841715,2006061,0.92
2016/06/08,1054008,1146967,0.92
2016/06/07,984435,941356,1.05
2016/06/03,571323,491258,1.16
2016/06/02,645652,608645,1.06
2016/06/01,745755,682942,1.09
2016/05/31,860448,1055829,0.81
2016/05/30,625231,638656,0.98
2016/05/27,652734,628509,1.04
2016/05/26,529402,476941,1.11
2016/05/25,614346,589494,1.04
2016/05/24,421839,437402,0.96
2016/05/23,483273,472259,1.02
2016/05/20,430467,450481,0.96
2016/05/19,361961,294379,1.23
2016/05/18,591798,615931,0.96
2016/05/17,376731,363286,1.04
2016/05/16,435752,377495,1.15
2016/05/13,572293,465017,1.23
2016/05/12,1455651,1440927,1.01
2016/05/11,1006571,1038215,0.97
2016/05/10,708844,694107,1.02
2016/05/09,553233,583844,0.95
2016/05/04,627769,639609,0.98
2016/05/03,517593,478957,1.08
2016/05/02,460709,556018,0.83
2016/04/29,653246,779097,0.84
2016/04/28,884874,803778,1.1
2016/04/27,260403,304377,0.86
2016/04/26,556560,557163,1.0
2016/04/25,385764,419507,0.92
2016/04/22,403555,403515,1.0
2016/04/21,516195,495783,1.04
2016/04/20,505022,504625,1.0
2016/04/19,358610,420302,0.85
2016/04/18,399774,345949,1.16
2016/04/15,429696,351561,1.22
2016/04/14,1414083,1419305,1.0
2016/04/12,1015571,974804,1.04
2016/04/11,805478,703706,1.14
2016/04/08,833952,834286,1.0
2016/04/07,743402,636632,1.17
2016/04/06,626873,614934,1.02
2016/04/05,673040,646813,1.04
2016/04/04,444155,454034,0.98
2016/04/01,909543,947876,0.96
2016/03/31,628134,547805,1.15
2016/03/30,481720,423357,1.14
2016/03/29,480724,556016,0.86
2016/03/28,362481,339282,1.07
2016/03/25,304253,330136,0.92
2016/03/24,495346,493538,1.0
2016/03/23,450671,395041,1.14
2016/03/22,422471,373278,1.13
2016/03/21,495424,450165,1.1
2016/03/18,384241,383223,1.0
2016/03/17,689846,715055,0.96
2016/03/16,371755,428963,0.87
2016/03/15,325511,296430,1.1
2016/03/14,329671,312020,1.06
2016/03/11,407901,341642,1.19
2016/03/10,1468843,1416886,1.04
