일자,거래량_PUT,거래량_CALL,P/C Ratio
2023/11/21,557600,587528,0.95
2023/11/20,517431,527748,0.98
2023/11/17,489040,601714,0.81
2023/11/16,431902,592738,0.73
2023/11/15,667551,809581,0.82
2023/11/14,490358,518081,0.95
2023/11/13,539868,574009,0.94
2023/11/10,414070,414893,1.0
2023/11/09,2316499,2675719,0.87
2023/11/08,2724376,3214161,0.85
2023/11/07,3318775,3275591,1.01
2023/11/06,1877366,3088105,0.61
2023/11/03,1065658,1168175,0.91
2023/11/02,1171428,1112847,1.05
2023/11/01,1022234,1159967,0.88
2023/10/31,1225942,1167985,1.05
2023/10/30,899910,966801,0.93
2023/10/27,864639,851723,1.02
2023/10/26,1132299,1004508,1.13
2023/10/25,754462,739334,1.02
2023/10/24,1128189,1065679,1.06
2023/10/23,649313,771528,0.84
2023/10/20,1003891,867317,1.16
2023/10/19,795133,672234,1.18
2023/10/18,648691,538463,1.2
2023/10/17,848048,732163,1.16
2023/10/16,720552,729240,0.99
2023/10/13,457029,416248,1.1
2023/10/12,1925836,1866490,1.03
2023/10/11,1860352,2041509,0.91
2023/10/10,1440207,1542565,0.93
2023/10/06,903713,936041,0.97
2023/10/05,1069077,975627,1.1
2023/10/04,1209225,998267,1.21
2023/09/27,843785,867982,0.97
2023/09/26,706640,679956,1.04
2023/09/25,492896,709991,0.69
2023/09/22,737177,698107,1.06
2023/09/21,592424,722694,0.82
2023/09/20,416015,460882,0.9
2023/09/19,495677,534010,0.93
2023/09/18,549967,475143,1.16
2023/09/15,856395,715436,1.2
2023/09/14,1802942,1641812,1.1
2023/09/13,1547876,1680871,0.92
2023/09/12,1410587,1604118,0.88
2023/09/11,1074082,1095486,0.98
2023/09/08,1058794,1085231,0.98
2023/09/07,750098,822331,0.91
2023/09/06,767516,714880,1.07
2023/09/05,648588,676826,0.96
2023/09/04,812196,748312,1.09
2023/09/01,921261,841003,1.1
2023/08/31,505233,576968,0.88
2023/08/30,731183,578138,1.26
2023/08/29,700504,599434,1.17
2023/08/28,595376,493892,1.21
2023/08/25,666413,589266,1.13
2023/08/24,822689,553196,1.49
2023/08/23,593286,585395,1.01
2023/08/22,773188,608396,1.27
2023/08/21,567025,558971,1.01
2023/08/18,636681,648631,0.98
2023/08/17,950916,919255,1.03
2023/08/16,653262,694355,0.94
2023/08/14,559252,624673,0.9
2023/08/11,633870,548077,1.16
2023/08/10,1634721,1569855,1.04
2023/08/09,1819892,1734395,1.05
2023/08/08,2266067,2220185,1.02
2023/08/07,1369101,1498301,0.91
2023/08/04,1388555,1315638,1.06
2023/08/03,1329227,1402826,0.95
2023/08/02,1390679,1125809,1.24
2023/08/01,1159201,1176633,0.99
2023/07/31,948852,978503,0.97
2023/07/28,940554,833769,1.13
2023/07/27,894252,904618,0.99
2023/07/26,1074935,1077167,1.0
2023/07/25,593439,549679,1.08
2023/07/24,869088,909603,0.96
2023/07/21,860740,870424,0.99
2023/07/20,620565,659296,0.94
2023/07/19,649624,655029,0.99
2023/07/18,590562,582941,1.01
2023/07/17,544174,548007,0.99
2023/07/14,948601,712432,1.33
2023/07/13,1920631,1958511,0.98
2023/07/12,1863714,1830813,1.02
2023/07/11,1709923,1616627,1.06
2023/07/10,2274148,1924416,1.18
2023/07/07,1912677,1774815,1.08
2023/07/06,1249860,1196657,1.04
2023/07/05,782251,868265,0.9
2023/07/04,665034,739631,0.9
2023/07/03,843683,909514,0.93
2023/06/30,797912,906437,0.88
2023/06/29,716555,757082,0.95
2023/06/28,509773,590777,0.86
2023/06/27,512449,569084,0.9
2023/06/26,395293,498612,0.79
2023/06/23,518990,607106,0.85
2023/06/22,493464,613267,0.8
2023/06/21,451051,544851,0.83
2023/06/20,401031,522490,0.77
2023/06/19,349445,485481,0.72
2023/06/16,479439,594311,0.81
2023/06/15,554087,687520,0.81
2023/06/14,501499,614771,0.82
2023/06/13,431959,537101,0.8
2023/06/12,540874,528485,1.02
2023/06/09,696942,592664,1.18
2023/06/08,1616956,1727615,0.94
2023/06/07,1234540,1316034,0.94
2023/06/05,1248210,1343678,0.93
2023/06/02,1069521,1286586,0.83
2023/06/01,905954,942989,0.96
2023/05/31,714152,844371,0.85
2023/05/30,764920,944974,0.81
2023/05/26,528902,655661,0.81
2023/05/25,767536,792956,0.97
2023/05/24,514159,685328,0.75
2023/05/23,572788,748125,0.77
2023/05/22,691948,1095112,0.63
2023/05/19,574740,1014841,0.57
2023/05/18,568967,690129,0.82
2023/05/17,426403,462610,0.92
2023/05/16,663277,562026,1.18
2023/05/15,499588,508470,0.98
2023/05/12,499359,515365,0.97
2023/05/11,1587745,1691784,0.94
2023/05/10,1195811,1228849,0.97
2023/05/09,963235,1082494,0.89
2023/05/08,1027714,1014542,1.01
2023/05/04,681809,801970,0.85
2023/05/03,653601,589445,1.11
2023/05/02,740900,755190,0.98
2023/04/28,789573,855672,0.92
2023/04/27,663400,773025,0.86
2023/04/26,523278,638753,0.82
2023/04/25,909144,901622,1.01
2023/04/24,423430,497157,0.85
2023/04/21,436274,505320,0.86
2023/04/20,451866,535887,0.84
2023/04/19,452923,455683,0.99
2023/04/18,444207,492513,0.9
2023/04/17,352060,438842,0.8
2023/04/14,536410,516155,1.04
2023/04/13,1898024,1939633,0.98
2023/04/12,1790887,2129872,0.84
2023/04/11,1685531,2063736,0.82
2023/04/10,1299853,1648031,0.79
2023/04/07,1001495,1145711,0.87
2023/04/06,894001,926795,0.96
2023/04/05,655137,579209,1.13
2023/04/04,678443,628500,1.08
2023/04/03,685618,641175,1.07
2023/03/31,731422,724353,1.01
2023/03/30,806068,753920,1.07
2023/03/29,541285,467248,1.16
2023/03/28,646195,535574,1.21
2023/03/27,663878,734951,0.9
2023/03/24,526249,566208,0.93
2023/03/23,644938,534584,1.21
2023/03/22,456843,425962,1.07
2023/03/21,425808,453611,0.94
2023/03/20,485583,489855,0.99
2023/03/17,550728,561102,0.98
2023/03/16,697775,638899,1.09
2023/03/15,542658,559410,0.97
2023/03/14,635868,564420,1.13
2023/03/13,617174,600483,1.03
2023/03/10,575169,568206,1.01
2023/03/09,1419682,1597019,0.89
2023/03/08,1263538,1442752,0.88
2023/03/07,1007314,1172302,0.86
2023/03/06,1253651,1436156,0.87
2023/03/03,1148441,1206545,0.95
2023/03/02,856989,984699,0.87
2023/02/28,695522,760321,0.91
2023/02/27,731300,787315,0.93
2023/02/24,614939,676994,0.91
2023/02/23,567804,673830,0.84
2023/02/22,559313,658124,0.85
2023/02/21,507162,490407,1.03
2023/02/20,609364,712712,0.85
2023/02/17,585688,586190,1.0
2023/02/16,563315,713063,0.79
2023/02/15,566747,715489,0.79
2023/02/14,485514,533457,0.91
2023/02/13,517843,529237,0.98
2023/02/10,615362,562480,1.09
2023/02/09,1627072,2112155,0.77
2023/02/08,1528890,1767039,0.87
2023/02/07,1584007,1743402,0.91
2023/02/06,1594869,2067986,0.77
2023/02/03,1304223,1634880,0.8
2023/02/02,1175113,1289174,0.91
2023/02/01,766177,850556,0.9
2023/01/31,895861,1095082,0.82
2023/01/30,802672,1022679,0.78
2023/01/27,692450,1033532,0.67
2023/01/26,614882,650673,0.94
2023/01/25,453049,373673,1.21
2023/01/20,574287,635510,0.9
2023/01/19,501401,592092,0.85
2023/01/18,606104,667256,0.91
2023/01/17,516692,554218,0.93
2023/01/16,554438,559740,0.99
2023/01/13,640240,706436,0.91
2023/01/12,1772546,2078721,0.85
2023/01/11,1816024,2111565,0.86
2023/01/10,1909946,2754076,0.69
2023/01/09,1972617,3065520,0.64
2023/01/06,1863698,2216202,0.84
2023/01/05,1076400,1200992,0.9
2023/01/04,1013833,1155652,0.88
2023/01/03,1264326,1168227,1.08
2023/01/02,586550,711020,0.82
2022/12/29,712634,627425,1.14
2022/12/28,445463,492041,0.91
2022/12/27,436466,441796,0.99
2022/12/26,308887,334051,0.92
2022/12/23,578463,483073,1.2
2022/12/22,553524,469262,1.18
2022/12/21,479947,461494,1.04
2022/12/20,674860,636720,1.06
2022/12/19,376183,404351,0.93
2022/12/16,552468,590026,0.94
2022/12/15,416991,506628,0.82
2022/12/14,470135,439508,1.07
2022/12/13,381329,444158,0.86
2022/12/12,367731,379055,0.97
2022/12/09,472606,539539,0.88
2022/12/08,2015720,2190806,0.92
2022/12/07,1968862,2108923,0.93
2022/12/06,1789544,2143009,0.84
2022/12/05,1666168,1992732,0.84
2022/12/02,1567395,1794077,0.87
2022/12/01,1288735,1482030,0.87
2022/11/30,1210904,1265165,0.96
2022/11/29,782573,713493,1.1
2022/11/28,799386,791586,1.01
2022/11/25,650344,559715,1.16
2022/11/24,766101,611677,1.25
2022/11/23,549974,631944,0.87
2022/11/22,578737,627586,0.92
2022/11/21,565723,672307,0.84
2022/11/18,741807,796363,0.93
2022/11/17,752376,637839,1.18
2022/11/16,1212525,964359,1.26
2022/11/15,699201,661332,1.06
2022/11/14,813363,874090,0.93
2022/11/11,953775,923776,1.03
2022/11/10,2518389,2775070,0.91
2022/11/09,2344722,2401973,0.98
2022/11/08,2024773,2125632,0.95
2022/11/07,2060658,2201663,0.94
2022/11/04,1728690,1849600,0.93
2022/11/03,1391562,1633554,0.85
2022/11/02,922753,940484,0.98
2022/11/01,1136085,1087200,1.04
2022/10/31,1019669,944352,1.08
2022/10/28,888764,871321,1.02
2022/10/27,1000253,972966,1.03
2022/10/26,922455,817750,1.13
2022/10/25,1021149,818193,1.25
2022/10/24,888716,711447,1.25
2022/10/21,562567,686212,0.82
2022/10/20,909662,861409,1.06
2022/10/19,822528,783365,1.05
2022/10/18,859456,766793,1.12
2022/10/17,656645,669194,0.98
2022/10/14,636454,674846,0.94
2022/10/13,2024396,2302016,0.88
2022/10/12,2321502,2320209,1.0
2022/10/11,2130482,2171927,0.98
2022/10/07,1581104,1733252,0.91
2022/10/06,1358405,1339569,1.01
2022/10/05,1526898,1169064,1.31
2022/10/04,1300735,1169616,1.11
2022/09/30,1458706,1445756,1.01
2022/09/29,1121021,1202618,0.93
2022/09/28,1780341,1382508,1.29
2022/09/27,1087798,1156314,0.94
2022/09/26,1594279,1218527,1.31
2022/09/23,826305,887717,0.93
2022/09/22,889026,829307,1.07
2022/09/21,652920,622515,1.05
2022/09/20,599665,540459,1.11
2022/09/19,631705,583303,1.08
2022/09/16,701351,679690,1.03
2022/09/15,664712,617898,1.08
2022/09/14,1195770,1013963,1.18
2022/09/13,912209,735654,1.24
2022/09/08,2325649,2545860,0.91
2022/09/07,2278416,2223245,1.02
2022/09/06,1822479,1741973,1.05
2022/09/05,1791269,1908212,0.94
2022/09/02,1802330,1751517,1.03
2022/09/01,1400638,1221182,1.15
2022/08/31,1260734,1319949,0.96
2022/08/30,834908,862832,0.97
2022/08/29,823179,813421,1.01
2022/08/26,747701,681265,1.1
2022/08/25,738146,594808,1.24
2022/08/24,588894,611151,0.96
2022/08/23,677744,727917,0.93
2022/08/22,570180,601515,0.95
2022/08/19,458511,469028,0.98
2022/08/18,648386,595018,1.09
2022/08/17,454787,450227,1.01
2022/08/16,532443,466792,1.14
2022/08/12,530391,407586,1.3
2022/08/11,1873271,2022640,0.93
2022/08/10,1344996,1340617,1.0
2022/08/09,1268912,1287086,0.99
2022/08/08,1198843,924472,1.3
2022/08/05,1222223,1021232,1.2
2022/08/04,994997,831217,1.2
2022/08/03,795745,767336,1.04
2022/08/02,859449,639069,1.34
2022/08/01,812881,761686,1.07
2022/07/29,985702,827828,1.19
2022/07/28,856401,715535,1.2
2022/07/27,696046,511977,1.36
2022/07/26,638030,533038,1.2
2022/07/25,656029,647925,1.01
2022/07/22,660404,655582,1.01
2022/07/21,677445,689788,0.98
2022/07/20,767044,749833,1.02
2022/07/19,663355,504255,1.32
2022/07/18,841641,727897,1.16
2022/07/15,870956,812859,1.07
2022/07/14,2691689,2736517,0.98
2022/07/13,2143660,2097589,1.02
2022/07/12,1652358,1750742,0.94
2022/07/11,1663481,1711612,0.97
2022/07/08,2047421,2056175,1.0
2022/07/07,1290104,1561953,0.83
2022/07/06,1208560,1480417,0.82
2022/07/05,1424039,1502643,0.95
2022/07/04,1149593,1170277,0.98
2022/07/01,1488222,1568193,0.95
2022/06/30,922913,1082885,0.85
2022/06/29,862167,855352,1.01
2022/06/28,1009147,859290,1.17
2022/06/27,1283501,1261727,1.02
2022/06/24,1157783,1144397,1.01
2022/06/23,1290290,1141821,1.13
2022/06/22,1179264,986563,1.2
2022/06/21,891240,831233,1.07
2022/06/20,1079170,924105,1.17
2022/06/17,1212269,969770,1.25
2022/06/16,1059838,1005170,1.05
2022/06/15,1060075,799838,1.33
2022/06/14,1191676,1023384,1.16
2022/06/13,921048,700610,1.31
2022/06/10,664471,623368,1.07
2022/06/09,2237623,2023869,1.11
2022/06/08,1757915,1623859,1.08
2022/06/07,1645859,1527970,1.08
2022/06/03,1254737,1102902,1.14
2022/06/02,975669,766479,1.27
2022/05/31,1119282,846073,1.32
2022/05/30,1090337,694323,1.57
2022/05/27,875875,745184,1.18
2022/05/26,981625,1031331,0.95
2022/05/25,759387,797212,0.95
2022/05/24,707550,695236,1.02
2022/05/23,705941,606336,1.16
2022/05/20,850106,958140,0.89
2022/05/19,870821,853869,1.02
2022/05/18,759964,619463,1.23
2022/05/17,553307,541711,1.02
2022/05/16,748629,674194,1.11
2022/05/13,649261,742471,0.87
2022/05/12,2864969,2512277,1.14
2022/05/11,1725657,1876689,0.92
2022/05/10,2270309,2187880,1.04
2022/05/09,1424373,1391628,1.02
2022/05/06,1230825,1142171,1.08
2022/05/04,880425,797754,1.1
2022/05/03,949562,937463,1.01
2022/05/02,843236,633639,1.33
2022/04/29,1012165,1155527,0.88
2022/04/28,723377,756114,0.96
2022/04/27,760465,799588,0.95
2022/04/26,570850,586290,0.97
2022/04/25,818679,719943,1.14
2022/04/22,601596,601152,1.0
2022/04/21,577640,589624,0.98
2022/04/20,533949,591397,0.9
2022/04/19,515592,581092,0.89
2022/04/18,416764,508113,0.82
2022/04/15,559905,509599,1.1
2022/04/14,1878191,1982947,0.95
2022/04/13,2044207,2036122,1.0
2022/04/12,1759966,1615843,1.09
2022/04/11,1505472,1369647,1.1
2022/04/08,1076962,1066238,1.01
2022/04/07,1153908,1012703,1.14
2022/04/06,752260,682327,1.1
2022/04/05,777855,599555,1.3
2022/04/04,823787,668424,1.23
2022/04/01,787064,619918,1.27
2022/03/31,909235,657420,1.38
2022/03/30,776704,658337,1.18
2022/03/29,716732,628393,1.14
2022/03/28,702372,613244,1.15
2022/03/25,535170,533749,1.0
2022/03/24,598364,444376,1.35
2022/03/23,649320,531577,1.22
2022/03/22,509835,449883,1.13
2022/03/21,545802,472377,1.16
2022/03/18,553684,477181,1.16
2022/03/17,766961,633727,1.21
2022/03/16,464940,421339,1.1
2022/03/15,481260,382695,1.26
2022/03/14,440730,342640,1.29
2022/03/11,710882,411327,1.73
2022/03/10,1967516,1971091,1.0
2022/03/08,2058945,2031848,1.01
2022/03/07,1792435,1751191,1.02
2022/03/04,2237215,1421789,1.57
2022/03/03,1279055,1024326,1.25
2022/03/02,1003688,788073,1.27
2022/02/28,1051006,993245,1.06
2022/02/25,1005381,829290,1.21
2022/02/24,1056575,1076632,0.98
2022/02/23,757496,597055,1.27
2022/02/22,903755,872445,1.04
2022/02/21,736180,882402,0.83
2022/02/18,838039,801133,1.05
2022/02/17,1305088,1046738,1.25
2022/02/16,484770,526120,0.92
2022/02/15,686326,519013,1.32
2022/02/14,892526,589369,1.51
2022/02/11,771501,507320,1.52
2022/02/10,2549099,2596738,0.98
2022/02/09,1840418,1662545,1.11
2022/02/08,2401334,1991752,1.21
2022/02/07,1857852,1921524,0.97
2022/02/04,2003948,1709824,1.17
2022/02/03,1457046,1112165,1.31
2022/01/28,1639481,1464696,1.12
2022/01/27,1891947,1513188,1.25
2022/01/26,977306,924925,1.06
2022/01/25,1847666,1164788,1.59
2022/01/24,888635,780956,1.14
2022/01/21,1133133,916808,1.24
2022/01/20,677771,676941,1.0
2022/01/19,872372,780125,1.12
2022/01/18,801760,702261,1.14
2022/01/17,645369,540803,1.19
2022/01/14,748817,603690,1.24
2022/01/13,1873750,1965978,0.95
2022/01/12,1616998,1522388,1.06
2022/01/11,1918964,1922773,1.0
2022/01/10,1730936,1571904,1.1
2022/01/07,1441444,1570934,0.92
2022/01/06,1173826,1142913,1.03
2022/01/05,1068477,956498,1.12
2022/01/04,846999,802712,1.06
2022/01/03,961024,787735,1.22
2021/12/30,686676,657992,1.04
2021/12/29,709867,704002,1.01
2021/12/28,583199,667028,0.87
2021/12/27,428107,410217,1.04
2021/12/24,476991,595161,0.8
2021/12/23,475697,399220,1.19
2021/12/22,501265,456969,1.1
2021/12/21,588088,567839,1.04
2021/12/20,813320,1033946,0.79
2021/12/17,585084,630753,0.93
2021/12/16,607050,643896,0.94
2021/12/15,424568,426302,1.0
2021/12/14,665745,547365,1.22
2021/12/13,660613,665266,0.99
2021/12/10,476118,411047,1.16
2021/12/09,2632674,2252232,1.17
2021/12/08,2983428,2911660,1.02
2021/12/07,2218105,2232199,0.99
2021/12/06,2133550,2447592,0.87
2021/12/03,2091374,2443289,0.86
2021/12/02,1631998,1770983,0.92
2021/12/01,1464954,1602302,0.91
2021/11/30,2441259,1286139,1.9
2021/11/29,1539842,1006673,1.53
2021/11/26,1427961,1115553,1.28
2021/11/25,669772,572988,1.17
2021/11/24,836214,797231,1.05
2021/11/23,676218,664093,1.02
2021/11/22,897434,984132,0.91
2021/11/19,571174,659031,0.87
2021/11/18,524159,538397,0.97
2021/11/17,568054,506671,1.12
2021/11/16,460606,476623,0.97
2021/11/15,509995,495596,1.03
2021/11/12,614203,535178,1.15
2021/11/11,2362646,2146232,1.1
2021/11/10,2197911,2043952,1.08
2021/11/09,1940812,1836877,1.06
2021/11/08,1822421,1739612,1.05
2021/11/05,1957375,1550503,1.26
2021/11/04,1111263,1059525,1.05
2021/11/03,1241661,861401,1.44
2021/11/02,1144641,1049714,1.09
2021/11/01,682721,621683,1.1
2021/10/29,1037587,937553,1.11
2021/10/28,623158,708317,0.88
2021/10/27,634676,622951,1.02
2021/10/26,702655,683605,1.03
2021/10/25,636914,583826,1.09
2021/10/22,481042,562578,0.86
2021/10/21,528093,480570,1.1
2021/10/20,597734,420619,1.42
2021/10/19,444454,419469,1.06
2021/10/18,584825,476266,1.23
2021/10/15,616599,450279,1.37
2021/10/14,2326173,2070000,1.12
2021/10/13,2188714,2006579,1.09
2021/10/12,2360519,1997471,1.18
2021/10/08,1851473,1608026,1.15
2021/10/07,1362245,1400909,0.97
2021/10/06,1796698,1508182,1.19
2021/10/05,1615579,1443385,1.12
2021/10/01,1367172,1016634,1.34
2021/09/30,958656,923408,1.04
2021/09/29,1332546,991164,1.34
2021/09/28,770502,811157,0.95
2021/09/27,707851,633686,1.12
2021/09/24,603546,599081,1.01
2021/09/23,587726,599802,0.98
2021/09/17,678298,641757,1.06
2021/09/16,664345,563201,1.18
2021/09/15,492984,585716,0.84
2021/09/14,521904,619874,0.84
2021/09/13,581422,561624,1.04
2021/09/10,638059,525191,1.21
2021/09/09,3060879,2848921,1.07
2021/09/08,2370979,2229461,1.06
2021/09/07,1991248,1893104,1.05
2021/09/06,1562129,1804663,0.87
2021/09/03,1815806,2113246,0.86
2021/09/02,1409669,1224186,1.15
2021/09/01,1379418,1693313,0.81
2021/08/31,1686509,1698062,0.99
2021/08/30,1103541,819811,1.35
2021/08/27,1024342,880624,1.16
2021/08/26,1022712,785356,1.3
2021/08/25,1044569,1031753,1.01
2021/08/24,977866,1006560,0.97
2021/08/23,995110,917696,1.08
2021/08/20,1882286,1240614,1.52
2021/08/19,1314598,976290,1.35
2021/08/18,886123,800864,1.11
2021/08/17,1015927,744538,1.36
2021/08/13,1148703,793095,1.45
2021/08/12,2589192,2254810,1.15
2021/08/11,2345206,2194113,1.07
2021/08/10,2259470,1799109,1.26
2021/08/09,1432333,1647442,0.87
2021/08/06,1479888,1567673,0.94
2021/08/05,1147839,1108189,1.04
2021/08/04,1399753,1640972,0.85
2021/08/03,1314972,989974,1.33
2021/08/02,1159422,819800,1.41
2021/07/30,969291,633502,1.53
2021/07/29,819074,601204,1.36
2021/07/28,995495,736636,1.35
2021/07/27,662763,494622,1.34
2021/07/26,606634,481429,1.26
2021/07/23,487670,389857,1.25
2021/07/22,468647,510136,0.92
2021/07/21,653616,524421,1.25
2021/07/20,612486,515137,1.19
2021/07/19,540311,343131,1.57
2021/07/16,447369,340988,1.31
2021/07/15,446732,413233,1.08
2021/07/14,406379,356498,1.14
2021/07/13,378199,328486,1.15
2021/07/12,465144,335499,1.39
2021/07/09,953057,642551,1.48
2021/07/08,2140234,1935108,1.11
2021/07/07,1716820,1098074,1.56
2021/07/06,1029920,1106363,0.93
2021/07/05,929678,881306,1.05
2021/07/02,988296,937941,1.05
2021/07/01,759376,691756,1.1
2021/06/30,568153,621009,0.91
2021/06/29,628328,578991,1.09
2021/06/28,570294,467848,1.22
2021/06/25,654168,812979,0.8
2021/06/24,492713,627659,0.79
2021/06/23,495081,466459,1.06
2021/06/22,419811,393442,1.07
2021/06/21,768963,522325,1.47
2021/06/18,389931,372267,1.05
2021/06/17,435729,364228,1.2
2021/06/16,375919,492316,0.76
2021/06/15,334958,314907,1.06
2021/06/14,308402,269753,1.14
2021/06/11,505071,465849,1.08
2021/06/10,1835113,1723222,1.06
2021/06/09,1768371,1555167,1.14
2021/06/08,1253110,1368795,0.92
2021/06/07,1485138,1556257,0.95
2021/06/04,1173791,1230669,0.95
2021/06/03,749753,1143257,0.66
2021/06/02,757157,754357,1.0
2021/06/01,943150,1152028,0.82
2021/05/31,788024,613520,1.28
2021/05/28,886126,616658,1.44
2021/05/27,743278,593216,1.25
2021/05/26,680129,484770,1.4
2021/05/25,600353,526453,1.14
2021/05/24,700686,512296,1.37
2021/05/21,1146412,852651,1.34
2021/05/20,646307,555272,1.16
2021/05/18,498904,547719,0.91
2021/05/17,783419,586198,1.34
2021/05/14,630917,505364,1.25
2021/05/13,3357840,2623458,1.28
2021/05/12,3061097,2118932,1.44
2021/05/11,2392531,1678062,1.43
2021/05/10,1389236,2153582,0.65
2021/05/07,1104294,1229883,0.9
2021/05/06,934406,882383,1.06
2021/05/04,908275,811088,1.12
2021/05/03,1209086,1047719,1.15
2021/04/30,1083568,729204,1.49
2021/04/29,928353,768271,1.21
2021/04/28,802211,512986,1.56
2021/04/27,465595,396840,1.17
2021/04/26,500193,505302,0.99
2021/04/23,741682,822356,0.9
2021/04/22,655525,569857,1.15
2021/04/21,783138,563879,1.39
2021/04/20,390651,508375,0.77
2021/04/19,430632,524153,0.82
2021/04/16,582334,420914,1.38
2021/04/15,695515,750210,0.93
2021/04/14,507688,582693,0.87
2021/04/13,483629,643508,0.75
2021/04/12,399067,322169,1.24
2021/04/09,505603,358466,1.41
2021/04/08,1564280,1615635,0.97
2021/04/07,1340351,1406226,0.95
2021/04/06,1412470,1339962,1.05
2021/04/05,1044052,935925,1.12
2021/04/02,1066014,1182612,0.9
2021/04/01,790713,843569,0.94
2021/03/31,861126,784619,1.1
2021/03/30,652563,846458,0.77
2021/03/29,804791,723176,1.11
2021/03/26,620462,596361,1.04
2021/03/25,639460,742980,0.86
2021/03/24,662990,696468,0.95
2021/03/23,691373,641319,1.08
2021/03/22,587433,522738,1.12
2021/03/19,647445,576069,1.12
2021/03/18,618876,498114,1.24
2021/03/17,620343,478274,1.3
2021/03/16,440254,395318,1.11
2021/03/15,407993,427702,0.95
2021/03/12,526405,396666,1.33
2021/03/11,2488963,2518089,0.99
2021/03/10,2830231,2102321,1.35
2021/03/09,2492639,2279230,1.09
2021/03/08,2110842,1615007,1.31
2021/03/05,1468320,1732479,0.85
2021/03/04,1149177,1074782,1.07
2021/03/03,839443,904425,0.93
2021/03/02,1389150,936333,1.48
2021/02/26,1270108,831921,1.53
2021/02/25,862194,1155455,0.75
2021/02/24,1177825,1084592,1.09
2021/02/23,812250,937244,0.87
2021/02/22,838648,814361,1.03
2021/02/19,1270443,1077647,1.18
2021/02/18,802322,620910,1.29
2021/02/17,709220,491095,1.44
2021/02/16,805516,604033,1.33
2021/02/15,622993,428739,1.45
2021/02/10,2410275,2337518,1.03
2021/02/09,1948129,2295135,0.85
2021/02/08,2232082,1918905,1.16
2021/02/05,1822562,1796379,1.01
2021/02/04,1592143,1238723,1.29
2021/02/03,1314485,1454167,0.9
2021/02/02,1562384,1871585,0.83
2021/02/01,1372609,1332427,1.03
2021/01/29,2331685,1374301,1.7
2021/01/28,1422726,1307491,1.09
2021/01/27,1250352,1257196,0.99
2021/01/26,1465905,1283405,1.14
2021/01/25,944761,731379,1.29
2021/01/22,1119173,644325,1.74
2021/01/21,926832,533121,1.74
2021/01/20,1203863,588114,2.05
2021/01/19,1003117,1001351,1.0
2021/01/18,1105204,726411,1.52
2021/01/15,1310525,615236,2.13
2021/01/14,2484492,2331647,1.07
2021/01/13,2571319,2891253,0.89
2021/01/12,3014598,3077499,0.98
2021/01/11,3956250,2088005,1.89
2021/01/08,2670016,2737973,0.98
2021/01/07,1762695,1653474,1.07
2021/01/06,2473824,1998979,1.24
2021/01/05,1652263,1614939,1.02
2021/01/04,1670654,1800508,0.93
2020/12/30,1440843,1854691,0.78
2020/12/29,1331560,1479347,0.9
2020/12/28,1439718,1161152,1.24
2020/12/24,1363029,1418864,0.96
2020/12/23,1188161,1022496,1.16
2020/12/22,1205281,807542,1.49
2020/12/21,790468,709741,1.11
2020/12/18,580189,477543,1.21
2020/12/17,772462,771193,1.0
2020/12/16,689398,592441,1.16
2020/12/15,925801,825351,1.12
2020/12/14,709223,518742,1.37
2020/12/11,709093,658919,1.08
2020/12/10,3254641,3225037,1.01
2020/12/09,2070771,2837381,0.73
2020/12/08,2387002,2424053,0.98
2020/12/07,2149063,2115735,1.02
2020/12/04,1944090,2996558,0.65
2020/12/03,1200090,1302952,0.92
2020/12/02,1151266,1608774,0.72
2020/12/01,831916,1057653,0.79
2020/11/30,1319153,994006,1.33
2020/11/27,771948,727373,1.06
2020/11/26,920393,993861,0.93
2020/11/25,1360669,1129130,1.21
2020/11/24,1134326,1193882,0.95
2020/11/23,1045078,1328060,0.79
2020/11/20,825182,726615,1.14
2020/11/19,733221,634400,1.16
2020/11/18,698258,643220,1.09
2020/11/17,753035,696755,1.08
2020/11/16,867377,1053194,0.82
2020/11/13,750430,760411,0.99
2020/11/12,2214212,2325747,0.95
2020/11/11,1776711,2439756,0.73
2020/11/10,1838100,2031050,0.9
2020/11/09,1568108,2340605,0.67
2020/11/06,1467309,1551411,0.95
2020/11/05,1315562,1231598,1.07
2020/11/04,2054768,1486913,1.38
2020/11/03,1019373,1054878,0.97
2020/11/02,1022044,843283,1.21
2020/10/30,1417841,901833,1.57
2020/10/29,1061663,752568,1.41
2020/10/28,576039,601204,0.96
2020/10/27,740225,641308,1.15
2020/10/26,620206,576540,1.08
2020/10/23,727402,686312,1.06
2020/10/22,646637,620841,1.04
2020/10/21,585092,534822,1.09
2020/10/20,740373,851751,0.87
2020/10/19,568163,563488,1.01
2020/10/16,797839,658282,1.21
2020/10/15,681055,664543,1.02
2020/10/14,597076,450636,1.32
2020/10/13,650534,462254,1.41
2020/10/12,553599,422327,1.31
2020/10/08,2153995,2018608,1.07
2020/10/07,1719381,1740027,0.99
2020/10/06,1370198,1242839,1.1
2020/10/05,1516600,1533557,0.99
2020/09/29,889732,868983,1.02
2020/09/28,809859,718148,1.13
2020/09/25,908010,803078,1.13
2020/09/24,1328742,1150389,1.16
2020/09/23,1406346,1296493,1.08
2020/09/22,1256564,1144670,1.1
2020/09/21,765641,711059,1.08
2020/09/18,705555,668433,1.06
2020/09/17,941175,677770,1.39
2020/09/16,520717,444138,1.17
2020/09/15,462124,447963,1.03
2020/09/14,511249,431736,1.18
