지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
섬유·의류,169.98,0.26,0.15,,0.84,0.13,2015-01-08
코스닥,572.99,6.56,1.16,41.96,1.79,0.66,2015-01-09
코스닥 150,945.92,9.95,1.06,,,,2015-01-09
코스닥 150 정보기술,827.17,10.17,1.24,,,,2015-01-09
코스닥 150 헬스케어,1985.01,24.92,1.27,,,,2015-01-09
코스닥 150 커뮤니케이션서비스,1675.17,3.52,0.21,,,,2015-01-09
코스닥 150 소재,711.41,25.25,3.68,,,,2015-01-09
코스닥 150 산업재,411.86,0.48,0.12,,,,2015-01-09
코스닥 150 필수소비재,1230.57,6.48,0.52,,,,2015-01-09
코스닥 150 자유소비재,1263.6,5.74,0.46,,,,2015-01-09
일반서비스,1881.74,8.45,0.45,33.63,2.04,0.85,2015-01-09
제조,1486.91,15.61,1.06,30.52,1.56,0.66,2015-01-09
건설,83.58,0.4,0.48,,0.96,0.85,2015-01-09
유통,421.75,2.25,0.54,122.56,1.99,0.78,2015-01-09
운송·창고,4319.17,93.66,2.22,9.53,0.55,0.74,2015-01-09
금융,695.31,2.76,0.4,25.06,1.36,0.58,2015-01-09
오락·문화,566.39,7.88,1.41,28.71,3.38,0.73,2015-01-09
음식료·담배,7430.94,83.73,1.14,16.47,1.27,0.87,2015-01-09
섬유·의류,171.44,1.46,0.86,,0.84,0.13,2015-01-09
코스닥,574.76,1.77,0.31,42.71,1.79,0.66,2015-01-12
코스닥 150,946.93,1.01,0.11,,,,2015-01-12
코스닥 150 정보기술,821.82,5.35,0.65,,,,2015-01-12
코스닥 150 헬스케어,2002.76,17.75,0.89,,,,2015-01-12
코스닥 150 커뮤니케이션서비스,1688.38,13.21,0.79,,,,2015-01-12
코스닥 150 소재,726.32,14.91,2.1,,,,2015-01-12
코스닥 150 산업재,413.54,1.68,0.41,,,,2015-01-12
코스닥 150 필수소비재,1240.24,9.67,0.79,,,,2015-01-12
코스닥 150 자유소비재,1260.47,3.13,0.25,,,,2015-01-12
일반서비스,1885.63,3.89,0.21,33.7,2.05,0.85,2015-01-12
제조,1496.73,9.82,0.66,31.64,1.57,0.66,2015-01-12
건설,83.87,0.29,0.35,,0.97,0.85,2015-01-12
유통,424.37,2.62,0.62,123.32,2.01,0.77,2015-01-12
운송·창고,4325.14,5.97,0.14,9.54,0.55,0.74,2015-01-12
금융,702.07,6.76,0.97,25.26,1.38,0.57,2015-01-12
오락·문화,570.1,3.71,0.66,28.9,3.4,0.73,2015-01-12
음식료·담배,7634.89,203.95,2.74,16.92,1.31,0.85,2015-01-12
섬유·의류,172.3,0.86,0.5,,0.85,0.13,2015-01-12
코스닥,571.0,3.76,0.65,42.45,1.78,0.66,2015-01-13
코스닥 150,940.97,5.96,0.63,,,,2015-01-13
코스닥 150 정보기술,806.98,14.84,1.81,,,,2015-01-13
코스닥 150 헬스케어,2025.57,22.81,1.14,,,,2015-01-13
코스닥 150 커뮤니케이션서비스,1650.42,37.96,2.25,,,,2015-01-13
코스닥 150 소재,714.28,12.04,1.66,,,,2015-01-13
코스닥 150 산업재,409.18,4.36,1.05,,,,2015-01-13
코스닥 150 필수소비재,1237.22,3.02,0.24,,,,2015-01-13
코스닥 150 자유소비재,1266.95,6.48,0.51,,,,2015-01-13
일반서비스,1877.37,8.26,0.44,33.55,2.04,0.85,2015-01-13
제조,1496.95,0.22,0.01,31.63,1.57,0.66,2015-01-13
건설,83.82,0.05,0.06,,0.97,0.85,2015-01-13
유통,425.64,1.27,0.3,123.72,2.01,0.77,2015-01-13
운송·창고,4324.4,0.74,0.02,9.54,0.55,0.74,2015-01-13
금융,695.45,6.62,0.94,24.93,1.36,0.58,2015-01-13
오락·문화,570.42,0.32,0.06,29.03,3.4,0.73,2015-01-13
음식료·담배,7626.62,8.27,0.11,16.9,1.31,0.85,2015-01-13
섬유·의류,171.78,0.52,0.3,,0.85,0.13,2015-01-13
코스닥,574.17,3.17,0.56,42.69,1.79,0.66,2015-01-14
코스닥 150,944.69,3.72,0.4,,,,2015-01-14
코스닥 150 정보기술,810.63,3.65,0.45,,,,2015-01-14
코스닥 150 헬스케어,2037.74,12.17,0.6,,,,2015-01-14
코스닥 150 커뮤니케이션서비스,1637.07,13.35,0.81,,,,2015-01-14
코스닥 150 소재,714.96,0.68,0.1,,,,2015-01-14
코스닥 150 산업재,409.9,0.72,0.18,,,,2015-01-14
코스닥 150 필수소비재,1259.33,22.11,1.79,,,,2015-01-14
코스닥 150 자유소비재,1262.49,4.46,0.35,,,,2015-01-14
일반서비스,1899.76,22.39,1.19,33.95,2.06,0.84,2015-01-14
제조,1501.32,4.37,0.29,31.73,1.58,0.65,2015-01-14
건설,83.64,0.18,0.21,,0.97,0.85,2015-01-14
유통,427.71,2.07,0.49,125.17,2.02,0.76,2015-01-14
운송·창고,4307.02,17.38,0.4,9.5,0.55,0.74,2015-01-14
금융,707.12,11.67,1.68,25.35,1.38,0.57,2015-01-14
오락·문화,580.5,10.08,1.77,29.55,3.46,0.71,2015-01-14
음식료·담배,7652.96,26.34,0.35,16.96,1.31,0.85,2015-01-14
섬유·의류,173.02,1.24,0.72,,0.85,0.13,2015-01-14
코스닥,581.39,7.22,1.26,43.25,1.81,0.65,2015-01-15
코스닥 150,959.57,14.88,1.58,,,,2015-01-15
코스닥 150 정보기술,830.76,20.13,2.48,,,,2015-01-15
코스닥 150 헬스케어,2054.64,16.9,0.83,,,,2015-01-15
코스닥 150 커뮤니케이션서비스,1687.55,50.48,3.08,,,,2015-01-15
코스닥 150 소재,722.35,7.39,1.03,,,,2015-01-15
코스닥 150 산업재,408.44,1.46,0.36,,,,2015-01-15
코스닥 150 필수소비재,1264.36,5.03,0.4,,,,2015-01-15
코스닥 150 자유소비재,1270.01,7.52,0.6,,,,2015-01-15
일반서비스,1906.64,6.88,0.36,34.08,2.07,0.84,2015-01-15
제조,1517.9,16.58,1.1,32.07,1.6,0.65,2015-01-15
건설,83.65,0.01,0.01,,0.97,0.85,2015-01-15
유통,432.96,5.25,1.23,126.72,2.05,0.76,2015-01-15
운송·창고,4289.5,17.52,0.41,9.46,0.55,0.75,2015-01-15
금융,704.12,3.0,0.42,25.13,1.37,0.57,2015-01-15
오락·문화,589.43,8.93,1.54,30.01,3.51,0.7,2015-01-15
음식료·담배,7752.42,99.46,1.3,17.18,1.33,0.84,2015-01-15
섬유·의류,177.35,4.33,2.5,,0.87,0.12,2015-01-15
코스닥,577.41,3.98,0.68,42.95,1.8,0.65,2015-01-16
코스닥 150,949.88,9.69,1.01,,,,2015-01-16
코스닥 150 정보기술,825.33,5.43,0.65,,,,2015-01-16
코스닥 150 헬스케어,2026.85,27.79,1.35,,,,2015-01-16
코스닥 150 커뮤니케이션서비스,1668.16,19.39,1.15,,,,2015-01-16
코스닥 150 소재,717.26,5.09,0.7,,,,2015-01-16
코스닥 150 산업재,404.12,4.32,1.06,,,,2015-01-16
코스닥 150 필수소비재,1257.75,6.61,0.52,,,,2015-01-16
코스닥 150 자유소비재,1246.39,23.62,1.86,,,,2015-01-16
일반서비스,1893.89,12.75,0.67,33.85,2.06,0.84,2015-01-16
제조,1506.25,11.65,0.77,31.83,1.58,0.65,2015-01-16
건설,82.61,1.04,1.24,,0.95,0.86,2015-01-16
유통,433.44,0.48,0.11,126.9,2.05,0.75,2015-01-16
운송·창고,4234.37,55.13,1.29,9.34,0.54,0.76,2015-01-16
금융,697.26,6.86,0.97,24.74,1.35,0.58,2015-01-16
오락·문화,586.16,3.27,0.55,30.01,3.49,0.71,2015-01-16
음식료·담배,7656.82,95.6,1.23,16.97,1.31,0.85,2015-01-16
섬유·의류,180.7,3.35,1.89,,0.89,0.12,2015-01-16
코스닥,577.94,0.53,0.09,43.02,1.8,0.65,2015-01-19
코스닥 150,947.5,2.38,0.25,,,,2015-01-19
코스닥 150 정보기술,819.12,6.21,0.75,,,,2015-01-19
코스닥 150 헬스케어,2020.75,6.1,0.3,,,,2015-01-19
코스닥 150 커뮤니케이션서비스,1683.12,14.96,0.9,,,,2015-01-19
코스닥 150 소재,720.05,2.79,0.39,,,,2015-01-19
코스닥 150 산업재,407.94,3.82,0.95,,,,2015-01-19
코스닥 150 필수소비재,1256.9,0.85,0.07,,,,2015-01-19
코스닥 150 자유소비재,1244.07,2.32,0.19,,,,2015-01-19
일반서비스,1904.36,10.47,0.55,34.04,2.07,0.84,2015-01-19
제조,1509.82,3.57,0.24,31.91,1.59,0.65,2015-01-19
건설,83.34,0.73,0.88,,0.96,0.85,2015-01-19
유통,434.5,1.06,0.24,127.21,2.05,0.75,2015-01-19
운송·창고,4281.35,46.98,1.11,9.44,0.54,0.75,2015-01-19
금융,697.39,0.13,0.02,24.75,1.35,0.58,2015-01-19
오락·문화,587.47,1.31,0.22,30.08,3.5,0.7,2015-01-19
음식료·담배,7648.9,7.92,0.1,16.95,1.31,0.85,2015-01-19
섬유·의류,181.12,0.42,0.23,,0.89,0.12,2015-01-19
코스닥,582.27,4.33,0.75,43.33,1.81,0.65,2015-01-20
코스닥 150,954.21,6.71,0.71,,,,2015-01-20
코스닥 150 정보기술,826.31,7.19,0.88,,,,2015-01-20
코스닥 150 헬스케어,2031.2,10.45,0.52,,,,2015-01-20
코스닥 150 커뮤니케이션서비스,1697.08,13.96,0.83,,,,2015-01-20
코스닥 150 소재,722.58,2.53,0.35,,,,2015-01-20
코스닥 150 산업재,411.66,3.72,0.91,,,,2015-01-20
코스닥 150 필수소비재,1262.59,5.69,0.45,,,,2015-01-20
코스닥 150 자유소비재,1256.93,12.86,1.03,,,,2015-01-20
일반서비스,1907.92,3.56,0.19,34.1,2.07,0.84,2015-01-20
제조,1519.25,9.43,0.62,32.1,1.6,0.65,2015-01-20
건설,83.84,0.5,0.6,,0.97,0.85,2015-01-20
유통,439.65,5.15,1.19,128.75,2.08,0.74,2015-01-20
운송·창고,4371.92,90.57,2.12,9.64,0.56,0.73,2015-01-20
금융,701.92,4.53,0.65,24.94,1.36,0.58,2015-01-20
오락·문화,584.39,3.08,0.52,29.92,3.48,0.71,2015-01-20
음식료·담배,7698.0,49.1,0.64,17.06,1.32,0.84,2015-01-20
섬유·의류,181.33,0.21,0.12,,0.89,0.12,2015-01-20
코스닥,584.34,2.07,0.36,43.5,1.82,0.64,2015-01-21
코스닥 150,958.33,4.12,0.43,,,,2015-01-21
코스닥 150 정보기술,834.99,8.68,1.05,,,,2015-01-21
코스닥 150 헬스케어,2039.98,8.78,0.43,,,,2015-01-21
코스닥 150 커뮤니케이션서비스,1705.25,8.17,0.48,,,,2015-01-21
코스닥 150 소재,725.84,3.26,0.45,,,,2015-01-21
코스닥 150 산업재,408.12,3.54,0.86,,,,2015-01-21
코스닥 150 필수소비재,1259.37,3.22,0.26,,,,2015-01-21
코스닥 150 자유소비재,1251.3,5.63,0.45,,,,2015-01-21
일반서비스,1928.37,20.45,1.07,34.47,2.09,0.83,2015-01-21
제조,1525.47,6.22,0.41,32.25,1.6,0.64,2015-01-21
건설,83.61,0.23,0.27,,0.97,0.85,2015-01-21
유통,439.22,0.43,0.1,128.63,2.08,0.74,2015-01-21
운송·창고,4389.78,17.86,0.41,9.68,0.56,0.73,2015-01-21
금융,699.88,2.04,0.29,24.84,1.35,0.58,2015-01-21
오락·문화,578.66,5.73,0.98,29.63,3.44,0.72,2015-01-21
음식료·담배,7740.78,42.78,0.56,17.15,1.33,0.84,2015-01-21
섬유·의류,185.63,4.3,2.37,,0.91,0.12,2015-01-21
코스닥,578.42,5.92,1.01,43.06,1.8,0.65,2015-01-22
코스닥 150,945.2,13.13,1.37,,,,2015-01-22
코스닥 150 정보기술,820.93,14.06,1.68,,,,2015-01-22
코스닥 150 헬스케어,2012.72,27.26,1.34,,,,2015-01-22
코스닥 150 커뮤니케이션서비스,1664.8,40.45,2.37,,,,2015-01-22
코스닥 150 소재,723.81,2.03,0.28,,,,2015-01-22
코스닥 150 산업재,407.29,0.83,0.2,,,,2015-01-22
코스닥 150 필수소비재,1257.32,2.05,0.16,,,,2015-01-22
코스닥 150 자유소비재,1236.42,14.88,1.19,,,,2015-01-22
일반서비스,1896.77,31.6,1.64,33.9,2.06,0.84,2015-01-22
제조,1517.99,7.48,0.49,32.1,1.6,0.65,2015-01-22
건설,83.93,0.32,0.38,,0.97,0.85,2015-01-22
유통,437.95,1.27,0.29,128.24,2.07,0.75,2015-01-22
운송·창고,4344.63,45.15,1.03,9.58,0.55,0.74,2015-01-22
금융,693.36,6.52,0.93,24.56,1.34,0.58,2015-01-22
오락·문화,565.27,13.39,2.31,28.94,3.36,0.73,2015-01-22
음식료·담배,7652.23,88.55,1.14,16.96,1.31,0.85,2015-01-22
섬유·의류,190.09,4.46,2.4,,0.94,0.11,2015-01-22
코스닥,589.31,10.89,1.88,43.88,1.84,0.64,2015-01-23
코스닥 150,967.69,22.49,2.38,,,,2015-01-23
코스닥 150 정보기술,851.69,30.76,3.75,,,,2015-01-23
