feature,importance
나스닥수익률표준편차(11~15),0.16778631361128546
나스닥수익률표준편차(6~10),0.13111015226123734
나스닥수익률표준편차(16~20),0.11869993563645563
코스피수익률표준편차(11~15),0.07359520795280097
VIXCLS,0.07007443360770925
시장금리국고채3년,0.06752688291586859
나스닥수익률표준편차(1~5),0.06265646154402539
WTI유(16~20),0.05286541438247171
코스피수익률표준편차(16~20),0.03876997213060976
코스피수익률표준편차(6~10),0.032844634456786495
코스피수익률표준편차(1~5),0.016064427540495526
구리_미국(1~5),0.012121261116130795
WTI유(6~10),0.011821831524063539
WTI유(11~15),0.010156268309696471
금(16~20),0.009635583841073079
금(6~10),0.009006961038858277
금(1~5),0.008454398091224434
WTI유(1~5),0.008122099989849073
원달러환율수익률표준편차(6~10),0.007017393626933671
구리_미국(16~20),0.006905780030006029
구리_미국(11~15),0.0065141294838116925
원달러환율수익률표준편차(1~5),0.0062323079826538605
미국_커피(1~5),0.005943357377181675
11~15일 수익률 표준편차,0.00582323593360496
16~20일 수익률 표준편차,0.005692223382854689
미국_커피(6~10),0.005685091403124306
돈육(6~10),0.005437151003561195
돈육(16~20),0.005093657192074741
미국_커피(16~20),0.004876874150478708
원달러환율수익률표준편차(11~15),0.004833347381874605
돈육(11~15),0.004717764617965855
돈육(1~5),0.004355757570336009
원달러환율수익률표준편차(16~20),0.0038519534686999534
금(11~15),0.003460321073834532
구리_미국(6~10),0.003125767946292384
6~10일 수익률 표준편차,0.0028805112043553192
1~5일 수익률 표준편차,0.0024048037384861412
미국_커피(11~15),0.0020854845355763843
위치,0.001750846945651618
