feature,importance
시장금리국고채3년,0.5031529642083837
난방유(-1~-5),0.12554555912434567
VIXCLS,0.06303535608184772
금(-1~-5),0.06145447036013336
육우(-6~-10),0.05817634734176589
구리_미국(-11~-15),0.045444277002112295
난방유(-6~-10),0.03973538218739072
미국_원면(-11~-15),0.01012736418859857
런던_가스오일(-16~-20),0.009424040772500948
난방유(-16~-20),0.009399907411155218
니켈(-16~-20),0.008866497134394915
WTI유(-16~-20),0.008658717872346145
코스피수익률표준편차(-16~-20),0.008635419244993548
원달러환율수익률표준편차(-1~-5),0.0036242142628715147
돈육(-1~-5),0.0034613180951490606
구리_영국(-16~-20),0.002646908107501461
미국_소맥(-1~-5),0.0024162789673212058
런던_가스오일(-1~-5),0.00240682764132541
미국_설탕(-6~-10),0.0012235415382029944
코스닥변동률(-20),0.0009366894102043228
귀리(-1~-5),0.0008118044406610276
미국_대두박(-11~-15),0.0006969971708251174
코스피변동률(-20),0.000695800306996428
구리_미국(-16~-20),0.0006592481388031557
납(-16~-20),0.0006589791433255656
미국_커피(-1~-5),0.0006336337916591978
미국_소맥(-11~-15),0.0006336337916591977
nasdaq(-20),0.0006301136039277577
환율변동률(-20),0.0006272974537426057
미국_대두(-11~-15),0.0006218411627588738
주석(-1~-5),0.0006184265806593769
미국_원면(-6~-10),0.0006019521020762379
생우(-1~-5),0.0006010016513887488
11~15일 수익률 표준편차,0.0005918332228142575
런던 코코아 선물 과거 데이터(-1~-5),0.000570270412493278
구리_미국(-6~-10),0.0005693199618057892
생우(-16~-20),0.0005608781531139765
탄소배출권(-11~-15),0.0005550632014934573
납(-1~-5),0.0005432001688385046
런던_설탕(-6~-10),0.0005411232580769549
주석(-11~-15),0.0005385887229103181
미국10년물국채금리수익률(-20),0.0005125393336976621
원목(-16~-20),0.0005069070333273581
런던 코코아 선물 과거 데이터(-16~-20),0.0005069070333273581
미국_소맥(-6~-10),0.0004978475313166323
주석(-16~-20),0.0004777598789110351
구리_영국(-1~-5),0.0004752253437443983
나스닥수익률표준편차(-6~-10),0.0004606165646589224
오렌지주스(-11~-15),0.0004568918075272392
런던_소맥(-6~-10),0.0004511472596613489
미국_설탕(-1~-5),0.00044354365416143847
가솔린(-16~-20),0.00044354365416143836
미국_대두박(-1~-5),0.00043720731624484656
알루미늄(-11~-15),0.000435872301652356
귀리(-11~-15),0.00042330257470565857
원달러환율수익률표준편차(-6~-10),0.0004178097534718824
육우(-11~-15),0.00041186196457847863
미국_커피(-6~-10),0.00040429356095588267
런던_소맥(-11~-15),0.0004002453450647266
미국_옥수수(-6~-10),0.0003877838804954291
알루미늄(-16~-20),0.0003841255420001882
미국_대두유(-11~-15),0.0003822007299160916
런던_설탕(-16~-20),0.00038040144905487075
1~5일 수익률 표준편차,0.0003804014490548707
미국_대두박(-16~-20),0.0003801802749955187
주석(-6~-10),0.00037891300741220034
원목(-11~-15),0.0003472313178292405
브렌트유(-6~-10),0.00033121645621028104
런던_설탕(-11~-15),0.00031681689582959896
원달러환율수익률표준편차(-11~-15),0.00030943446438904044
원달러환율수익률표준편차(-16~-20),0.00027909775219403667
천연가스(-1~-5),0.00018259213762979225
WTI유(-6~-10),0.00017519974339376824
코스닥수익률표준편차(-6~-10),0.00017446050397016584
아연(-6~-10),0.00016632887031053947
육우(-1~-5),0.00015745799722731072
런던_커피(-6~-10),0.0001569651709449091
브렌트유(-1~-5),0.00014883353728528277
