회사명,상장일,동행지수_순환변동치_3개월이동평균,경기국면
AJ네트웍스,2015-08,-1.0273750465196798,0
이노션,2015-07,-1.1611598662599316,0
토니모리,2015-07,-1.1611598662599316,0
경보제약,2015-06,-1.0281923786482805,0
에스케이디앤디,2015-06,-1.0281923786482805,0
엔에스쇼핑,2015-03,-0.662371033234327,0
세화아이엠씨,2015-03,-0.662371033234327,0
큐라티스,2023-06,0.9916914283920212,1
마녀공장,2023-06,0.9916914283920212,1
나라셀라,2023-06,0.9916914283920212,1
진영,2023-06,0.9916914283920212,1
기가비스,2023-05,0.8796426501940241,1
씨유박스,2023-05,0.8796426501940241,1
모니터랩,2023-05,0.8796426501940241,1
트루엔,2023-05,0.8796426501940241,1
에스바이오메딕스,2023-05,0.8796426501940241,1
마이크로투나노,2023-04,0.6016216022779778,1
지아이이노베이션,2023-03,0.2909596857743348,1
LB인베스트먼트,2023-03,0.2909596857743348,1
금양그린파워,2023-03,0.2909596857743348,1
자람테크놀로지,2023-03,0.2909596857743348,1
나노팀,2023-03,0.2909596857743348,1
바이오인프라,2023-03,0.2909596857743348,1
제이오,2023-02,0.2476503263382265,1
샌즈랩,2023-02,0.2476503263382265,1
꿈비,2023-02,0.2476503263382265,1
스튜디오미르,2023-02,0.2476503263382265,1
삼기이브이,2023-02,0.2476503263382265,1
오브젠,2023-01,0.6050180378988159,1
미래반도체,2023-01,0.6050180378988159,1
한주라이트메탈,2023-01,0.6050180378988159,1
티이엠씨,2023-01,0.6050180378988159,1
SAMG엔터,2022-12,1.163052090169785,1
펨트론,2022-11,1.5884037511824072,1
인벤티지랩,2022-11,1.5884037511824072,1
엔젯,2022-11,1.5884037511824072,1
티쓰리,2022-11,1.5884037511824072,1
티에프이,2022-11,1.5884037511824072,1
윤성에프앤씨,2022-11,1.5884037511824072,1
디티앤씨알오,2022-11,1.5884037511824072,1
뉴로메카,2022-11,1.5884037511824072,1
제이아이테크,2022-11,1.5884037511824072,1
큐알티,2022-11,1.5884037511824072,1
저스템,2022-10,1.7477153148005584,1
산돌,2022-10,1.7477153148005584,1
플라즈맵,2022-10,1.7477153148005584,1
핀텔,2022-10,1.7477153148005584,1
샤페론,2022-10,1.7477153148005584,1
탑머티리얼,2022-10,1.7477153148005584,1
에스비비테크,2022-10,1.7477153148005584,1
오에스피,2022-10,1.7477153148005584,1
이노룰스,2022-10,1.7477153148005584,1
모델솔루션,2022-10,1.7477153148005584,1
더블유씨피,2022-09,1.640950152019646,1
알피바이오,2022-09,1.640950152019646,1
오픈엣지테크놀로지,2022-09,1.640950152019646,1
대성하이텍,2022-08,1.4013914817107178,1
에이치와이티씨,2022-08,1.4013914817107178,1
새빗켐,2022-08,1.4013914817107178,1
아이씨에이치,2022-07,1.1623098610924292,1
성일하이텍,2022-07,1.1623098610924292,1
에이프릴바이오,2022-07,1.1623098610924292,1
루닛,2022-07,1.1623098610924292,1
HPSP,2022-07,1.1623098610924292,1
영창케미칼,2022-07,1.1623098610924292,1
코난테크놀로지,2022-07,1.1623098610924292,1
넥스트칩,2022-07,1.1623098610924292,1
보로노이,2022-06,0.9902983675108884,1
레이저쎌,2022-06,0.9902983675108884,1
위니아에이드,2022-06,0.9902983675108884,1
범한퓨얼셀,2022-06,0.9902983675108884,1
청담글로벌,2022-06,0.9902983675108884,1
가온칩스,2022-05,1.0186077765386063,1
