회사명,상장일,PC1,cycle_pc1,경기국면
빅히트,2020-10,0.662990200452047,1.3403504289459094,1
에스케이바이오팜,2020-07,0.9796456456136864,1.3296173249422687,1
센트랄모텍,2019-11,0.7342540995068378,0.2616441063279323,1
현대에너지솔루션,2019-11,0.7342540995068378,0.2616441063279323,1
한화시스템,2019-11,0.7342540995068378,0.2616441063279323,1
자이에스앤디,2019-11,0.7342540995068378,0.2616441063279323,1
지누스,2019-10,0.8105239891533883,0.2399609702573223,1
현대오토에버,2019-03,1.409785032593625,0.179084118520733,1
드림텍,2019-03,1.409785032593625,0.179084118520733,1
에어부산,2018-12,1.5066386930537912,0.0044702780048984,1
아시아나IDT,2018-11,1.5861280203651775,-0.0053285029241347,0
하나제약,2018-10,1.7073295271804103,0.0271077612200076,1
우진아이엔에스,2018-09,1.7411939815701076,-0.0273167260891753,0
티웨이항공,2018-08,1.5929348135329495,-0.2634353086149485,0
롯데정보통신,2018-07,1.4805273042532816,-0.4633192681577043,0
애경산업,2018-03,1.6496923711465723,-0.6410658725740519,0
동양피스톤,2017-12,2.4193118595635283,-0.1294073591897846,0
진에어,2017-12,2.4193118595635283,-0.1294073591897846,0
삼양패키징,2017-11,2.520982538678355,-0.1134238900769823,0
테이팩스,2017-10,2.569794096580766,-0.1501757075237595,0
넷마블게임즈,2017-05,2.909161641637996,-0.2372125978332313,0
덴티움,2017-03,3.1099508370207305,-0.2065103915746231,0
호전실업,2017-02,3.2370878482078447,-0.1643401043736667,0
핸즈코퍼레이션,2016-12,3.566840346296445,-0.0043741271922419,0
두산밥캣,2016-11,3.701322343264848,0.0452875796862959,1
삼성바이오로직스,2016-11,3.701322343264848,0.0452875796862959,1
JW생명과학,2016-10,3.7514983228582417,0.0106912785359809,1
화승엔터프라이즈,2016-10,3.7514983228582417,0.0106912785359809,1
엘에스전선 아시아,2016-09,3.854463600662786,0.0289314657672772,1
두올,2016-07,3.997110951901669,0.0022663764539014,1
해성디에스,2016-06,4.111249793670442,0.0318163469275178,1
용평리조트,2016-05,4.2506370397353725,0.0866590749846043,1
해태제과식품,2016-05,4.2506370397353725,0.0866590749846043,1
대림씨엔에스,2016-03,4.472637161989348,0.1396999148456297,1
제이에스코퍼레이션,2016-02,4.5558883710654765,0.1385321720370358,1
코리아오토글라스,2015-12,4.575963466097505,-0.0101289359264287,0
잇츠스킨,2015-12,4.575963466097505,-0.0101289359264287,0
세진중공업,2015-11,4.462699838398085,-0.2077206657517694,0
금호에이치티,2015-11,4.462699838398085,-0.2077206657517694,0
제주항공,2015-11,4.462699838398085,-0.2077206657517694,0
LIG넥스원,2015-10,4.509070918363407,-0.2456587364718938,0
동일제강,2015-09,4.691049525111263,-0.1479744927528088,0
아이콘트롤스,2015-09,4.691049525111263,-0.1479744927528088,0
AJ네트웍스,2015-08,5.004477274316592,0.0811714128115639,1
이노션,2015-07,5.090636818738434,0.0830605064899039,1
토니모리,2015-07,5.090636818738434,0.0830605064899039,1
경보제약,2015-06,5.104933779234029,0.0130966563264571,1
에스케이디앤디,2015-06,5.104933779234029,0.0130966563264571,1
엔에스쇼핑,2015-03,5.211094035781735,-0.133491886188362,0
세화아이엠씨,2015-03,5.211094035781735,-0.133491886188362,0
큐라티스,2023-06,-5.134169125202257,-0.8061885581032486,0
마녀공장,2023-06,-5.134169125202257,-0.8061885581032486,0
나라셀라,2023-06,-5.134169125202257,-0.8061885581032486,0
진영,2023-06,-5.134169125202257,-0.8061885581032486,0
기가비스,2023-05,-5.078990346231254,-0.8567217562267038,0
씨유박스,2023-05,-5.078990346231254,-0.8567217562267038,0
모니터랩,2023-05,-5.078990346231254,-0.8567217562267038,0
트루엔,2023-05,-5.078990346231254,-0.8567217562267038,0
에스바이오메딕스,2023-05,-5.078990346231254,-0.8567217562267038,0
마이크로투나노,2023-04,-4.982170716889689,-0.8664126739674254,0
지아이이노베이션,2023-03,-4.977929779182969,-0.9695147515294495,0
LB인베스트먼트,2023-03,-4.977929779182969,-0.9695147515294495,0
금양그린파워,2023-03,-4.977929779182969,-0.9695147515294495,0
자람테크놀로지,2023-03,-4.977929779182969,-0.9695147515294495,0
나노팀,2023-03,-4.977929779182969,-0.9695147515294495,0
바이오인프라,2023-03,-4.977929779182969,-0.9695147515294495,0
제이오,2023-02,-4.917228777965844,-1.017016446683178,0
샌즈랩,2023-02,-4.917228777965844,-1.017016446683178,0
꿈비,2023-02,-4.917228777965844,-1.017016446683178,0
스튜디오미르,2023-02,-4.917228777965844,-1.017016446683178,0
삼기이브이,2023-02,-4.917228777965844,-1.017016446683178,0
오브젠,2023-01,-4.834069937772605,-1.042939716054854,0
미래반도체,2023-01,-4.834069937772605,-1.042939716054854,0
한주라이트메탈,2023-01,-4.834069937772605,-1.042939716054854,0
티이엠씨,2023-01,-4.834069937772605,-1.042939716054854,0
SAMG엔터,2022-12,-4.750131454998564,-1.068974640782618,0
펨트론,2022-11,-4.946572457908756,-1.37628418649998,0
인벤티지랩,2022-11,-4.946572457908756,-1.37628418649998,0
엔젯,2022-11,-4.946572457908756,-1.37628418649998,0
티쓰리,2022-11,-4.946572457908756,-1.37628418649998,0
티에프이,2022-11,-4.946572457908756,-1.37628418649998,0
윤성에프앤씨,2022-11,-4.946572457908756,-1.37628418649998,0
디티앤씨알오,2022-11,-4.946572457908756,-1.37628418649998,0
뉴로메카,2022-11,-4.946572457908756,-1.37628418649998,0
제이아이테크,2022-11,-4.946572457908756,-1.37628418649998,0
큐알티,2022-11,-4.946572457908756,-1.37628418649998,0
저스템,2022-10,-5.061246315101329,-1.6027173109124426,0
산돌,2022-10,-5.061246315101329,-1.6027173109124426,0
플라즈맵,2022-10,-5.061246315101329,-1.6027173109124426,0
핀텔,2022-10,-5.061246315101329,-1.6027173109124426,0
샤페론,2022-10,-5.061246315101329,-1.6027173109124426,0
탑머티리얼,2022-10,-5.061246315101329,-1.6027173109124426,0
에스비비테크,2022-10,-5.061246315101329,-1.6027173109124426,0
오에스피,2022-10,-5.061246315101329,-1.6027173109124426,0
이노룰스,2022-10,-5.061246315101329,-1.6027173109124426,0
모델솔루션,2022-10,-5.061246315101329,-1.6027173109124426,0
더블유씨피,2022-09,-4.974337933084701,-1.6284438901590343,0
알피바이오,2022-09,-4.974337933084701,-1.6284438901590343,0
오픈엣지테크놀로지,2022-09,-4.974337933084701,-1.6284438901590343,0
대성하이텍,2022-08,-4.820076518622365,-1.5876657339879356,0
에이치와이티씨,2022-08,-4.820076518622365,-1.5876657339879356,0
새빗켐,2022-08,-4.820076518622365,-1.5876657339879356,0
아이씨에이치,2022-07,-4.41296063728651,-1.294841445802553,0
성일하이텍,2022-07,-4.41296063728651,-1.294841445802553,0
에이프릴바이오,2022-07,-4.41296063728651,-1.294841445802553,0
루닛,2022-07,-4.41296063728651,-1.294841445802553,0
HPSP,2022-07,-4.41296063728651,-1.294841445802553,0
영창케미칼,2022-07,-4.41296063728651,-1.294841445802553,0
코난테크놀로지,2022-07,-4.41296063728651,-1.294841445802553,0
넥스트칩,2022-07,-4.41296063728651,-1.294841445802553,0
보로노이,2022-06,-4.0704093870268,-1.0673379108765584,0
레이저쎌,2022-06,-4.0704093870268,-1.0673379108765584,0
위니아에이드,2022-06,-4.0704093870268,-1.0673379108765584,0
범한퓨얼셀,2022-06,-4.0704093870268,-1.0673379108765584,0
청담글로벌,2022-06,-4.0704093870268,-1.0673379108765584,0
가온칩스,2022-05,-3.804200387688895,-0.9168705453190836,0
대명에너지,2022-05,-3.804200387688895,-0.9168705453190836,0
포바이포,2022-04,-3.6265919027346993,-0.8556271732234748,0
지투파워,2022-04,-3.6265919027346993,-0.8556271732234748,0
세아메카닉스,2022-03,-3.53283858822671,-0.878784936665268,0
공구우먼,2022-03,-3.53283858822671,-0.878784936665268,0
유일로보틱스,2022-03,-3.53283858822671,-0.878784936665268,0
모아데이타,2022-03,-3.53283858822671,-0.878784936665268,0
비씨엔씨,2022-03,-3.53283858822671,-0.878784936665268,0
노을,2022-03,-3.53283858822671,-0.878784936665268,0
풍원정밀,2022-02,-3.3706756945545946,-0.833994969985647,0
스톤브릿지벤처스,2022-02,-3.3706756945545946,-0.833994969985647,0
브이씨,2022-02,-3.3706756945545946,-0.833994969985647,0
퓨런티어,2022-02,-3.3706756945545946,-0.833994969985647,0
바이오에프디엔씨,2022-02,-3.3706756945545946,-0.833994969985647,0
나래나노텍,2022-02,-3.3706756945545946,-0.833994969985647,0
아셈스,2022-02,-3.3706756945545946,-0.833994969985647,0
스코넥,2022-02,-3.3706756945545946,-0.833994969985647,0
이지트로닉스,2022-02,-3.3706756945545946,-0.833994969985647,0
케이옥션,2022-01,-3.0623374710662,-0.6434006257360081,0
오토앤,2022-01,-3.0623374710662,-0.6434006257360081,0
케이티비네트워크,2021-12,-2.712207775783204,-0.4112884299952033,0
마인즈랩,2021-11,-2.290518985137892,-0.1077884627416936,0
알비더블유,2021-11,-2.290518985137892,-0.1077884627416936,0
트윔,2021-11,-2.290518985137892,-0.1077884627416936,0
지오엘리먼트,2021-11,-2.290518985137892,-0.1077884627416936,0
아이티아이즈,2021-11,-2.290518985137892,-0.1077884627416936,0
비트나인,2021-11,-2.290518985137892,-0.1077884627416936,0
디어유,2021-11,-2.290518985137892,-0.1077884627416936,0
지니너스,2021-11,-2.290518985137892,-0.1077884627416936,0
피코그램,2021-11,-2.290518985137892,-0.1077884627416936,0
엔켐,2021-11,-2.290518985137892,-0.1077884627416936,0
리파인,2021-10,-2.094600787346776,-0.0301249422163287,0
지앤비에스엔지니어링,2021-10,-2.094600787346776,-0.0301249422163287,0
아이패밀리에스씨,2021-10,-2.094600787346776,-0.0301249422163287,0
차백신연구소,2021-10,-2.094600787346776,-0.0301249422163287,0
지아이텍,2021-10,-2.094600787346776,-0.0301249422163287,0
씨유테크,2021-10,-2.094600787346776,-0.0301249422163287,0
아스플로,2021-10,-2.094600787346776,-0.0301249422163287,0
원준,2021-10,-2.094600787346776,-0.0301249422163287,0
실리콘투,2021-09,-1.809594867349969,0.1366667483175394,1
프롬바이오,2021-09,-1.809594867349969,0.1366667483175394,1
바이오플러스,2021-09,-1.809594867349969,0.1366667483175394,1
와이엠텍,2021-09,-1.809594867349969,0.1366667483175394,1
바이젠셀,2021-08,-1.6054061679868648,0.2227882001428223,1
브레인즈컴퍼니,2021-08,-1.6054061679868648,0.2227882001428223,1
딥노이드,2021-08,-1.6054061679868648,0.2227882001428223,1
플래티어,2021-08,-1.6054061679868648,0.2227882001428223,1
원티드랩,2021-08,-1.6054061679868648,0.2227882001428223,1
HK이노엔,2021-08,-1.6054061679868648,0.2227882001428223,1
맥스트,2021-07,-1.3807770421453962,0.329602539966511,1
큐라클,2021-07,-1.3807770421453962,0.329602539966511,1
오비고,2021-07,-1.3807770421453962,0.329602539966511,1
