회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
케이비제8호스팩,222390,2015-08-05,신규상장,주권,금융 지원 서비스업,대한민국,케이비투자증권(주),100,"2,000","20,000,000",해당사항 없음,"10,310,000"
아시아경제,127710,2015-07-31,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대한민국,한국투자증권(주),500,"3,600","30,600,000",광고 및 콘텐츠,"25,244,030"
아이쓰리시스템,214430,2015-07-30,신규상장,주권,전자부품 제조업,대한민국,키움증권(주),500,"36,000","18,000,000","적외선 영상센서, 엑스레이 영상센서","3,317,400"
로지시스,067730,2015-07-29,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,삼성증권(주),500,"2,500","7,935,125","전산장비 판매 및 유지보수, VAN기기 대행관리","9,340,922"
엘아이지이에스스팩,220260,2015-07-27,신규상장,주권,기타 금융업,대한민국,케이프투자증권주식회사,100,"2,000","5,000,000",,"3,020,000"
파마리서치프로덕트,214450,2015-07-24,신규상장,주권,생활용품 도매업,대한민국,"엔에이치투자증권주식회사,IBK투자증권(주),하나증권주식회사",500,"55,000","123,750,000",재생의약품,"8,814,498"
펩트론,087010,2015-07-22,신규상장,주권,기초 의약물질 제조업,대한민국,엔에이치투자증권주식회사,500,"16,000","13,041,952",약효지속성 의약품 및 펩타이드 소재,"5,092,001"
SK2호스팩,219550,2015-07-22,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","12,500,000",기업인수합병,"6,350,000"
한화에이스스팩2호,219860,2015-07-20,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","13,250,000",기업인수합병,"7,123,000"
유안타제2호스팩,219960,2015-07-17,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","12,000,000",기업인수합병,"6,500,000"
키움스팩3호,218710,2015-07-06,신규상장,주권,금융 지원 서비스업,대한민국,키움증권(주),100,"2,000","13,000,000",기업인수합병,"6,700,000"
동운아나텍,094170,2015-06-30,신규상장,주권,반도체 제조업,대한민국,키움증권(주),500,"10,000","5,000,000",아날로그 반도체,"5,577,000"
유테크,178780,2015-06-30,신규상장,주권,전자부품 제조업,대한민국,대신증권(주),500,"9,000","9,090,000","도광판, 몰드프레임","4,915,300"
민앤지,214180,2015-06-30,신규상장,주권,기타 정보 서비스업,대한민국,신한투자증권 주식회사,500,"28,000","39,530,400",휴대폰부가서비스,"5,682,814"
엔에이치스팩8호,218410,2015-06-30,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","13,000,000",,"6,830,000"
골든브릿지제3호스팩,219580,2015-06-30,신규상장,주권,금융 지원 서비스업,대한민국,(주)상상인증권,100,"2,000","8,800,000",기업인수합병,"4,900,000"
에스엔텍,160600,2015-06-26,신규상장,주권,특수 목적용 기계 제조업,대한민국,케이비투자증권(주),500,"6,500","7,150,000","진공합착기, NPS","5,813,000"
코아스템,166480,2015-06-26,신규상장,주권,의약품 제조업,대한민국,한국투자증권(주),500,"16,000","40,000,000",줄기세포 치료제,"15,717,440"
이베스트스팩2호,217600,2015-06-26,신규상장,주권,금융 지원 서비스업,대한민국,엘에스증권 주식회사,100,"2,000","13,000,000",기업인수합병,"7,000,000"
세미콘라이트,214310,2015-06-25,신규상장,주권,반도체 제조업,대한민국,엔에이치투자증권주식회사,500,"11,300","11,758,305",LED Chip,"5,200,000"
대신밸런스제1호스팩,217270,2015-06-18,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","10,000,000",기업인수합병,"5,124,000"
하나머스트5호스팩,218150,2015-06-18,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","7,000,000",기업인수합병,"3,530,000"
싸이맥스,160980,2015-06-17,신규상장,주권,특수 목적용 기계 제조업,대한민국,대신증권(주),500,"16,300","25,951,230","웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)","5,354,863"
하이제3호스팩,217500,2015-06-16,신규상장,주권,금융 지원 서비스업,대한민국,iM증권,100,"2,000","8,500,000",기업인수합병,"4,750,000"
픽셀플러스,087600,2015-06-12,신규상장,주권,전자부품 제조업,대한민국,한국투자증권(주),500,"30,000","24,000,000",CMOS 이미지센서 및 칩셋,"8,166,558"
엔에이치스팩7호,217810,2015-06-12,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","8,400,000",,"4,830,000"
한화ACPC스팩,217620,2015-06-10,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","13,500,000",기업인수합병,"7,450,000"
제노포커스,187420,2015-05-29,신규상장,주권,기초 의약물질 제조업,대한민국,한국투자증권(주),500,"11,000","13,200,000",산업용 효소,"6,754,667"
미래에셋제3호스팩,215750,2015-05-22,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권(주),100,"2,000","11,400,000",기업인수합병,"6,100,000"
대우스팩3호,215580,2015-05-19,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","10,000,000",기업인수및합병,"5,410,000"
한화MGI스팩,215380,2015-05-18,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","10,000,000",기업인수합병,"5,500,000"
대우SBI스팩1호,215480,2015-05-13,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","5,500,000",기업인수및합병,"3,535,000"
