회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
미래에셋비전스팩5호,477470,2024-06-19,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","9,500,000",기업인수합병,"5,480,000"
한국제14호스팩,477530,2024-06-19,신규상장,주권,금융 지원 서비스업,대한민국,한국투자증권(주),100,"2,000","8,000,000",기업인수합병,"4,810,000"
디비금융스팩12호,477760,2024-06-18,신규상장,주권,기타 금융업,대한민국,DB증권주식회사,100,"2,000","10,000,000",기업인수 및 합병,"5,840,000"
라메디텍,462510,2024-06-17,신규상장,주권,의료용 기기 제조업,대한민국,대신증권(주),500,"16,000","20,768,000",초소형 레이저 의료기기 및 미용기기,"8,650,735"
그리드위즈,453450,2024-06-14,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,삼성증권(주),200,"40,000","56,000,000","수요관리 서비스, 전기차 충전기 모뎀 등","7,942,750"
미래에셋비전스팩4호,477380,2024-05-29,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","13,300,000",기업인수목적회사(기타금융서비스),"8,100,000"
노브랜드,145170,2024-05-23,신규상장,주권,편조의복 제조업,대한민국,삼성증권(주),500,"14,000","16,800,000","Knit, Woven 의류","7,651,263"
아이씨티케이,456010,2024-05-17,신규상장,주권,반도체 제조업,대한민국,엔에이치투자증권주식회사,500,"20,000","39,400,000","PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발","13,124,496"
KB제28호스팩,476470,2024-05-17,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","10,000,000",기업인수합병,"5,505,000"
코칩,126730,2024-05-07,신규상장,주권,전자부품 제조업,대한민국,한국투자증권(주),500,"18,000","27,000,000",소형 및 초소형 슈퍼커패시터,"8,503,460"
SK증권제12호스팩,473000,2024-05-07,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","6,000,000",기업인수목적 주식회사,"3,310,000"
민테크,452200,2024-05-03,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,KB증권(주),100,"10,500","31,500,000","배터리 진단시스템, 배터리 시스템, 충방전 검사장비","21,945,300"
디앤디파마텍,347850,2024-05-02,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,한국투자증권(주),500,"33,000","36,300,000",대사성질환 치료제 등,"10,429,232"
유안타제16호스팩,474490,2024-05-02,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","10,300,000",금융 지원 서비스(기업인수목적회사),"5,510,000"
제일엠앤에스,412540,2024-04-30,신규상장,주권,특수 목적용 기계 제조업,대한민국,KB증권(주),500,"22,000","52,800,000",2차전지 믹싱시스템,"18,082,075"
하나33호스팩,475250,2024-04-24,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","7,000,000",기업인수합병,"3,700,000"
신한제13호스팩,474930,2024-04-22,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","6,000,000",기타금융서비스(기업합병),"3,620,000"
신한제12호스팩,474660,2024-04-15,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","10,000,000",금융서비스(기업인수목적회사),"5,520,000"
아이엠비디엑스,461030,2024-04-03,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,미래에셋증권 주식회사,100,"13,000","32,500,000","알파리퀴드ⓡ 100, 알파리퀴드ⓡ HRR, 알파리퀴드ⓡ 디텍트, 알파리퀴드ⓡ 스크리닝","13,992,625"
하나32호스팩,475240,2024-03-27,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","6,000,000",기업인수합병,"3,200,000"
엔젤로보틱스,455900,2024-03-26,신규상장,주권,특수 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"20,000","32,000,000","재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등","14,014,976"
삼현,437730,2024-03-21,신규상장,주권,자동차 신품 부품 제조업,대한민국,한국투자증권(주),500,"30,000","60,000,000","스마트 액추에이터, 스마트 파워유닛","10,569,189"
오상헬스케어,036220,2024-03-13,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,엔에이치투자증권주식회사,500,"20,000","19,800,000","생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등","14,104,416"
케이엔알시스템,199430,2024-03-07,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,"엔에이치투자증권주식회사,DB증권주식회사",100,"13,500","28,404,000","특수목적 시험장비, 산업용로봇","10,867,713"
하나31호스팩,469900,2024-03-05,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","10,000,000",기업인수합병,"5,605,000"
비엔케이제2호스팩,473370,2024-03-05,신규상장,주권,금융 지원 서비스업,대한민국,(주)비엔케이투자증권,100,"2,000","8,000,000",금융 지원 서비스업,"4,210,000"
SK증권제11호스팩,472230,2024-03-04,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","8,000,000",기업인수목적 주식회사,"4,155,000"
유진스팩10호,468760,2024-02-29,신규상장,주권,금융 지원 서비스업,대한민국,유진투자증권(주),100,"2,000","8,000,000",기업인수합병,"4,240,000"
유안타제15호스팩,473050,2024-02-29,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","13,000,000",금융 지원 서비스,"7,010,000"
코셈,360350,2024-02-23,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,키움증권(주),500,"16,000","9,600,000",주사전자현미경(SEM),"5,661,970"
이에이트,418620,2024-02-23,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한화투자증권(주),500,"20,000","22,600,000","CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼","9,465,149"
케이웨더,068100,2024-02-22,신규상장,주권,일반 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"7,000","7,000,000","공기개선솔루션, 기상데이터, 공기측정솔루션 등","9,939,614"
스튜디오삼익,415380,2024-02-06,신규상장,주권,기타 생활용품 소매업,대한민국,DB증권주식회사,500,"18,000","15,300,000","침실가구, 거실가구, 옷장/수납, 주방가구 등","4,225,498"
신영스팩10호,472220,2024-02-06,신규상장,주권,금융 지원 서비스업,대한민국,신영증권(주),100,"2,000","9,150,000",기업인수합병,"4,690,000"
이닉스,452400,2024-02-01,신규상장,주권,자동차 신품 부품 제조업,대한민국,삼성증권(주),500,"14,000","42,000,000",2차전지용 배터리셀 패드 등,"9,071,428"
IBKS제24호스팩,469480,2024-02-01,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",금융 지원 서비스업,"4,230,000"
포스뱅크,105760,2024-01-29,신규상장,주권,일반 목적용 기계 제조업,대한민국,하나증권주식회사,500,"18,000","27,000,000","POS 단말기, KIOSK 단말기","9,355,485"
현대힘스,460930,2024-01-26,신규상장,주권,선박 및 보트 건조업,대한민국,미래에셋증권 주식회사,500,"7,300","63,561,100","선박기자재 (선박 블록, 보강재, 도장 등)","34,824,000"
HB인베스트먼트,440290,2024-01-25,신규상장,주권,기타 금융업,대한민국,엔에이치투자증권주식회사,500,"3,400","22,667,800",벤처투자조합 등 조합 결성 및 운영,"26,867,010"
우진엔텍,457550,2024-01-24,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,KB증권(주),500,"5,300","10,918,000",발전소 계측제어설비 정비 서비스,"9,271,339"
대신밸런스제17호스팩,471050,2024-01-24,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","11,000,000",금융 지원 서비스업,"6,060,000"
IBKS제23호스팩,467930,2023-12-22,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",기업인수 및 합병,"4,230,000"
하나30호스팩,469880,2023-12-22,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","14,000,000",기업인수합병,"7,305,000"
블루엠텍,439580,2023-12-13,신규상장,주권,기타 전문 도매업,대한민국,"키움증권(주),하나증권주식회사",100,"19,000","26,600,000",의약품 유통업,"10,650,189"
LS머트리얼즈,417200,2023-12-12,신규상장,주권,전자부품 제조업,대한민국,"KB증권(주),키움증권(주)",500,"6,000","87,750,000",울트라커패시터(셀 및 모듈),"67,652,659"
케이엔에스,432470,2023-12-06,신규상장,주권,특수 목적용 기계 제조업,대한민국,신영증권(주),100,"23,000","17,250,000",이차전지 자동화 설비,"3,883,557"
와이바이오로직스,338840,2023-12-05,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,유안타증권(주),500,"9,000","13,500,000",항체의약품 및 항체후보물질 연구개발,"13,866,898"
교보15호스팩,465320,2023-12-05,신규상장,주권,금융 지원 서비스업,대한민국,교보증권(주),100,"2,000","7,000,000",기업인수합병,"3,810,000"
삼성스팩9호,468510,2023-12-04,신규상장,주권,금융 지원 서비스업,대한민국,삼성증권(주),100,"2,000","20,000,000",기업인수합병,"11,050,000"
에이텀,355690,2023-12-01,신규상장,주권,전자부품 제조업,대한민국,하나증권주식회사,500,"18,000","11,700,000",평판형 트랜스,"5,345,180"
엔에이치스팩30호,466910,2023-12-01,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","16,000,000",금융지원서비스업,"9,100,000"
에이에스텍,453860,2023-11-28,신규상장,주권,기타 화학제품 제조업,대한민국,미래에셋증권 주식회사,500,"28,000","39,396,000",자외선 차단제 유기 원료,"5,657,215"
그린리소스,402490,2023-11-24,신규상장,주권,반도체 제조업,대한민국,엔에이치투자증권주식회사,500,"17,000","27,880,000",반도체 및 디스플레이 장비 보호코팅 및 소재,"8,183,944"
한선엔지니어링,452280,2023-11-24,신규상장,주권,기타 금속 가공제품 제조업,대한민국,대신증권(주),500,"7,000","29,750,000","계장용 피팅 및 밸브, 모듈","17,002,500"
에코아이,448280,2023-11-21,신규상장,주권,기타 전문 서비스업,대한민국,KB증권(주),500,"34,700","72,141,300",탄소배출권 및 탄소배출권 관련 컨설팅,"9,877,043"
스톰테크,352090,2023-11-20,신규상장,주권,플라스틱제품 제조업,대한민국,iM증권,100,"11,000","36,850,000","정수기 피팅, 밸브, 파우셋 등 부품","13,436,499"
캡스톤파트너스,452300,2023-11-15,신규상장,주권,기타 금융업,대한민국,엔에이치투자증권주식회사,200,"4,000","6,384,000",벤처투자조합 등 조합 결성 및 운영,"13,346,380"
에스와이스틸텍,365330,2023-11-13,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",대한민국,KB증권(주),500,"1,800","12,600,000",데크플레이트,"30,610,000"
에이직랜드,445090,2023-11-13,신규상장,주권,반도체 제조업,대한민국,삼성증권(주),500,"25,000","65,908,250","비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등","10,585,320"
한국제13호스팩,464440,2023-11-13,신규상장,주권,금융 지원 서비스업,대한민국,한국투자증권(주),100,"2,000","8,000,000",기업인수합병,"4,320,000"
큐로셀,372320,2023-11-09,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"미래에셋증권 주식회사,삼성증권(주)",500,"20,000","32,000,000",CAR-T 세포치료제,"13,612,736"
비아이매트릭스,413640,2023-11-09,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,IBK투자증권(주),500,"13,000","15,600,000",로우코드 기반 코딩 자동화 솔루션 등,"7,206,940"
메가터치,446540,2023-11-09,신규상장,주권,일차전지 및 이차전지 제조업,대한민국,엔에이치투자증권주식회사,500,"4,800","24,960,000","배터리 핀, 반도체 핀","20,771,000"
컨텍,451760,2023-11-09,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,대신증권(주),500,"22,500","46,350,000","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션","14,384,224"
쏘닉스,088280,2023-11-07,신규상장,주권,반도체 제조업,대한민국,KB증권(주),"1,000","7,500","27,000,000",RF필터 파운드리,"17,306,490"
KB제27호스팩,464680,2023-11-03,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","25,000,000",기업인수합병,"12,905,000"
유진테크놀로지,240600,2023-11-02,신규상장,주권,기타 금속 가공제품 제조업,대한민국,엔에이치투자증권주식회사,500,"17,000","17,841,194",이차전지 정밀금형 외,"6,261,485"
퀄리타스반도체,432720,2023-10-27,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),500,"17,000","30,600,000",초고속 통신용 반도체 IP,"10,193,520"
워트,396470,2023-10-26,신규상장,주권,특수 목적용 기계 제조업,대한민국,키움증권(주),100,"6,500","26,000,000",초정밀 온습도 제어장비,"16,120,000"
신성에스티,416180,2023-10-19,신규상장,주권,자동차 신품 부품 제조업,대한민국,미래에셋증권 주식회사,500,"26,000","52,000,000",전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등,"9,039,778"
퓨릿,445180,2023-10-18,신규상장,주권,기초 화학물질 제조업,대한민국,미래에셋증권 주식회사,500,"10,700","44,265,900","반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬","16,769,188"
에이치엠씨제6호스팩,462020,2023-10-13,신규상장,주권,금융 지원 서비스업,대한민국,현대차증권주식회사,100,"2,000","8,000,000",합병,"4,345,000"
아이엠티,451220,2023-10-10,신규상장,주권,특수 목적용 기계 제조업,대한민국,유안타증권(주),500,"14,000","22,120,000",건식세정 장비 및 EUV Mask Baking Laser,"7,874,611"
레뷰코퍼레이션,443250,2023-10-06,신규상장,주권,광고업,대한민국,삼성증권(주),500,"15,000","33,600,000","REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)","10,969,386"
한싹,430690,2023-10-04,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,KB증권(주),500,"12,500","18,750,000",망간자료전송,"5,447,675"
신한제11호스팩,452980,2023-10-04,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","36,000,000",금융서비스(기업인수목적 회사),"18,905,000"
밀리의서재,418470,2023-09-27,신규상장,주권,"서적, 잡지 및 기타 인쇄물 출판업",대한민국,미래에셋증권 주식회사,500,"23,000","34,500,000",전자책 정기구독 서비스,"8,110,389"
인스웨이브시스템즈,450520,2023-09-25,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,신영증권(주),500,"24,000","26,400,000","UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등","4,901,526"
상상인제4호스팩,452670,2023-09-14,신규상장,주권,금융 지원 서비스업,대한민국,(주)상상인증권,100,"2,000","9,000,000",합병,"5,220,000"
한화플러스제4호스팩,455310,2023-09-07,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","9,500,000",-,"5,060,000"
대신밸런스제16호스팩,457630,2023-09-04,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","13,000,000",기타 금융서비스업,"7,310,000"
유안타제11호스팩,444920,2023-09-01,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","10,000,000",금융 지원 서비스업,"5,240,000"
대신밸런스제15호스팩,457390,2023-08-30,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","13,000,000",금융 지원 서비스업,"7,035,000"
한국제12호스팩,458610,2023-08-30,신규상장,주권,금융 지원 서비스업,대한민국,한국투자증권(주),100,"2,000","8,000,000",기업인수합병,"4,230,000"
시큐레터,418250,2023-08-24,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,대신증권(주),500,"12,000","16,006,620","SLE(이메일 보안), SLF(파일 보안)","7,911,521"
스마트레이더시스템,424960,2023-08-22,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,대신증권(주),500,"8,000","17,760,000",모빌리티 및 비모빌리티용 4D이미징레이다,"14,836,340"
SK증권제10호스팩,457940,2023-08-11,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","6,000,000",기업인수합병,"3,310,000"
큐리옥스바이오시스템즈,445680,2023-08-10,신규상장,주권,의료용 기기 제조업,대한민국,키움증권(주),500,"13,000","18,200,000",세포 전처리 자동화기기 등,"8,010,968"
코츠테크놀로지,448710,2023-08-10,신규상장,주권,컴퓨터 및 주변장치 제조업,대한민국,한국투자증권(주),100,"13,000","13,000,000","싱글보드컴퓨터(SBC), 군용 전시기 등","5,081,792"
하나28호스팩,454750,2023-08-10,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","13,000,000",기업인수합병,"7,202,000"
KB제26호스팩,458320,2023-08-10,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","10,000,000",기업인수목적,"5,505,000"
파두,440110,2023-08-07,신규상장,주권,반도체 제조업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사",100,"31,000","193,750,000",SSD 컨트롤러,"48,052,977"
엠아이큐브솔루션,373170,2023-08-04,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),100,"12,000","14,520,000","스마트팩토리 솔루션, 제조지능화 솔루션","4,831,300"
시지트로닉스,429270,2023-08-03,신규상장,주권,반도체 제조업,대한민국,유안타증권(주),500,"25,000","22,500,000",특화반도체 소자,"4,506,250"
에이엘티,172670,2023-07-27,신규상장,주권,반도체 제조업,대한민국,미래에셋증권 주식회사,500,"25,000","22,500,000",반도체 테스트 및 패키징(반도체 후공정),"8,489,671"
파로스아이바이오,388870,2023-07-27,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,한국투자증권(주),500,"14,000","19,600,000",PHI-101 급성골수성백혈병 치료제 및 재발성난소암 치료제,"12,918,962"
유안타제14호스팩,450940,2023-07-27,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","8,000,000",금융 지원 서비스,"4,540,000"
버넥트,438700,2023-07-26,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,대신증권(주),500,"16,000","30,720,000",산업용 XR 솔루션,"10,869,600"
뷰티스킨,406820,2023-07-24,신규상장,주권,기타 화학제품 제조업,대한민국,DB증권주식회사,500,"26,000","11,440,000","화장품 제조, 브랜드, 유통 사업","3,534,040"
SK증권제9호스팩,455910,2023-07-21,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","8,000,000",기업인수목적회사,"5,020,000"
와이랩,432430,2023-07-20,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,한국투자증권(주),500,"9,000","27,000,000",만화출판물의 제작 및 영상물 제작,"15,831,354"
센서뷰,321370,2023-07-19,신규상장,주권,절연선 및 케이블 제조업,대한민국,삼성증권(주),500,"4,500","17,550,000","T&M 케이블, 초소형 전송선로","25,937,910"
필에너지,378340,2023-07-14,신규상장,주권,특수 목적용 기계 제조업,대한민국,미래에셋증권 주식회사,500,"34,000","95,625,000",2차전지 제조장비,"9,404,412"
DB금융스팩11호,456440,2023-07-12,신규상장,주권,기타 금융업,대한민국,DB증권주식회사,100,"2,000","10,000,000",기업인수목적,"5,315,000"
이노시뮬레이션,274400,2023-07-06,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,하나증권주식회사,500,"15,000","13,500,000","스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등","7,819,826"
교보14호스팩,456490,2023-07-06,신규상장,주권,금융 지원 서비스업,대한민국,교보증권(주),100,"2,000","7,700,000",기업 인수 및 합병,"4,200,000"
알멕,354320,2023-06-30,신규상장,주권,1차 비철금속 제조업,대한민국,엔에이치투자증권주식회사,500,"50,000","50,000,000",알루미늄 압출 제품,"5,966,381"
오픈놀,440320,2023-06-30,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,하나증권주식회사,100,"10,000","16,500,000",미니인턴플랫폼(커리어 및 채용 플랫폼),"9,687,820"
하나29호스팩,454640,2023-06-28,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","9,000,000",기업인수합병,"5,401,000"
엔에이치스팩29호,451700,2023-06-23,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","25,500,000",금융 지원 서비스업,"14,350,000"
KB제25호스팩,455250,2023-06-23,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","8,000,000",기업인수합병,"4,305,000"
하이제8호스팩,450050,2023-06-22,신규상장,주권,금융 지원 서비스업,대한민국,iM증권,100,"2,000","8,500,000",기업인수합병,"5,014,000"
큐라티스,348080,2023-06-15,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"대신증권(주),신영증권(주)",500,"4,000","14,000,000","백신 및 면역증강제 개발제조업, CMO/CDMO","26,876,911"
마녀공장,439090,2023-06-08,신규상장,주권,기타 화학제품 제조업,대한민국,한국투자증권(주),100,"16,000","32,000,000",자연주의 기능성 화장품,"16,378,260"
나라셀라,405920,2023-06-02,신규상장,주권,음·식료품 및 담배 도매업,대한민국,신영증권(주),"5,000","20,000","29,000,000",와인 도소매,"6,439,038"
진영,285800,2023-06-01,신규상장,주권,플라스틱제품 제조업,대한민국,iM증권,100,"5,000","21,250,000","가구용 ASA플라스틱 시트, 엣지밴드","17,105,570"
기가비스,420770,2023-05-24,신규상장,주권,특수 목적용 기계 제조업,대한민국,삼성증권(주),200,"43,000","95,385,094",반도체 기판용 광학검사 및 수리장비,"12,675,758"
씨유박스,340810,2023-05-19,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,"신한투자증권 주식회사,SK증권(주)",500,"15,000","22,500,000","AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼","9,966,633"
모니터랩,434480,2023-05-19,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,미래에셋증권 주식회사,100,"9,800","19,600,000","웹방화벽,유해사이트솔루션,가시성SSL 솔루션, SASE플랫폼기반 SECaaS","11,788,850"
트루엔,417790,2023-05-17,신규상장,주권,영상 및 음향기기 제조업,대한민국,미래에셋증권 주식회사,100,"12,000","30,000,000","IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스","10,999,650"
키움제8호스팩,446840,2023-05-17,신규상장,주권,금융 지원 서비스업,대한민국,키움증권(주),100,"2,000","10,000,000",기업 인수합병,"5,880,000"
에스바이오메딕스,304360,2023-05-04,신규상장,주권,의약품 제조업,대한민국,미래에셋증권 주식회사,500,"18,000","13,500,000",줄기세포 치료제 연구 및 개발,"10,992,276"
마이크로투나노,424980,2023-04-26,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),500,"15,500","15,500,000",메모리 테스트용 프로브 카드,"5,918,890"
미래에셋비전스팩3호,448830,2023-04-07,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","9,000,000",기업인수목적회사(기타금융서비스),"4,920,000"
하나27호스팩,448370,2023-04-06,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","10,000,000",기업인수합병,"5,620,000"
IBKS제22호스팩,448760,2023-04-06,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",기업인수 및 합병,"4,430,000"
지아이이노베이션,358570,2023-03-30,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"엔에이치투자증권주식회사,하나증권주식회사,삼성증권(주)",500,"13,000","26,000,000",면역항암제 및 알레르기 치료제,"22,004,200"
LB인베스트먼트,309960,2023-03-29,신규상장,주권,기타 금융업,대한민국,미래에셋증권 주식회사,"1,000","5,100","23,552,040",중소기업 창업투자,"23,217,239"
유안타제12호스팩,446150,2023-03-17,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","9,000,000",기업인수합병,"4,770,000"
미래에셋드림스팩1호,442900,2023-03-15,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,500,"10,000","70,000,000",기업인수합병,"7,680,000"
금양그린파워,282720,2023-03-13,신규상장,주권,전기 및 통신 공사업,대한민국,삼성증권(주),500,"10,000","30,073,200","플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역","12,119,500"
엔에이치스팩28호,450410,2023-03-09,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","6,800,000",기타 금융 지원 서비스업,"3,920,000"
자람테크놀로지,389020,2023-03-07,신규상장,주권,반도체 제조업,대한민국,신영증권(주),500,"22,000","20,460,000","XGSPON, 기가와이어, 광트랜시버 등","6,197,730"
하나26호스팩,446750,2023-03-07,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","11,000,000",기업인수합병,"6,030,000"
나노팀,417010,2023-03-03,신규상장,주권,일반 목적용 기계 제조업,대한민국,한국투자증권(주),500,"13,000","26,650,000",전기차용 방열제품,"19,154,328"
바이오인프라,199730,2023-03-02,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,DB증권주식회사,500,"21,000","13,650,000","생동성시험, 검체 분석","4,796,867"
삼성스팩8호,448740,2023-03-02,신규상장,주권,금융 지원 서비스업,대한민국,삼성증권(주),500,"10,000","40,000,000",기업인수합병,"4,664,000"
유안타제13호스팩,449020,2023-02-28,신규상장,주권,금융 지원 서비스업,대한민국,유안타증권(주),100,"2,000","17,000,000",금융 지원 서비스,"9,730,000"
미래에셋비전스팩2호,446190,2023-02-24,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","9,300,000",기업인수합병,"4,950,000"
제이오,418550,2023-02-16,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",대한민국,한국투자증권(주),100,"13,000","52,000,000","탄소나노튜브, 금속탱크 및 유사용기","31,336,273"
샌즈랩,411080,2023-02-15,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,키움증권(주),100,"10,500","38,850,000",사이버 위협 인텔리전스(CTI),"15,095,238"
꿈비,407400,2023-02-09,신규상장,주권,가구 제조업,대한민국,키움증권(주),100,"5,000","10,000,000","놀이방매트, 유아거실가구 등","7,938,930"
스튜디오미르,408900,2023-02-07,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,미래에셋증권 주식회사,100,"19,500","19,500,000",애니메이션 제작,"5,150,550"
삼기이브이,419050,2023-02-03,신규상장,주권,자동차 신품 부품 제조업,대한민국,대신증권(주),100,"11,000","39,072,407",배터리(이차전지) 부품 (엔드플레이트),"14,299,060"
오브젠,417860,2023-01-30,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"18,000","13,967,208",CRM 소프트웨어,"3,879,775"
미래반도체,254490,2023-01-27,신규상장,주권,기타 전문 도매업,대한민국,신한투자증권 주식회사,100,"6,000","21,600,000",반도체,"14,438,000"
한주라이트메탈,198940,2023-01-19,신규상장,주권,1차 비철금속 제조업,대한민국,"미래에셋증권 주식회사,현대차증권주식회사",500,"3,100","20,150,000",알루미늄 기반 경량화 자동차 부품,"19,435,815"
티이엠씨,425040,2023-01-19,신규상장,주권,기초 화학물질 제조업,대한민국,한화투자증권(주),500,"28,000","50,400,000",반도체용 특수가스,"10,623,114"
신영스팩9호,445970,2022-12-27,신규상장,주권,금융 지원 서비스업,대한민국,신영증권(주),100,"2,000","10,300,000",기업인수,"5,360,000"
비엔케이제1호스팩,445360,2022-12-22,신규상장,주권,금융 지원 서비스업,대한민국,(주)비엔케이투자증권,100,"2,000","8,000,000",기업인수합병,"4,310,000"
