회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차
동양파일,0.063094556,0.018862343,0.018076725,0.048075077
동양피스톤,0.064859564,0.026937836,0.014540736000000002,0.013519726
동운아나텍,0.140227023,0.06952027,0.06139228,0.03911308
동인기연,0.022011997,0.03990723,0.02772039,0.023697152
동일제강,0.036857794,0.01561099,0.007882068,0.006337744000000001
두산로보틱스,0.446958893,0.041035046,0.036548365,0.139925237
두산밥캣,0.099813115,0.022105271,0.024121609,0.021117339
두올,0.072305809,0.035525723,0.014316599,0.011789826
드림씨아이에스,0.482257198,0.054691087000000006,0.018681408,0.146158315
드림텍,0.0933602,0.032425715,0.008662967,0.016690476
디바이스이엔지,0.062894141,0.046918994,0.048679493,0.038179733
디아이티,0.069588842,0.024264851,0.030555081,0.011257309
디알젬,0.043840814,0.139201034,0.155879899,0.048650663
디앤디파마텍,0.07820553,0.055243750999999994,0.069836473,0.050245318
디앤씨미디어,0.184311565,0.026241132,0.022444665,0.017166159
디어유,0.670681178,0.05892183799999999,0.047582476,0.05190464299999999
디자인,0.23860762099999996,0.052968746,0.039879845,0.069108733
디케이앤디,0.050631235,0.01602083,0.032298344,0.039223424
디케이티,0.225292366,0.111437292,0.048204792,0.035525808
디티앤씨알오,0.084638602,0.018746066,0.026669121,0.018848554
딥노이드,0.116252247,0.10077655,0.038504675,0.026555357
라닉스,0.166957923,0.103040201,0.046397284,0.048869551
라메디텍,0.257731785,0.072276794,0.035090911,0.042537924
라온피플,0.078498885,0.086616136,0.019559652,0.048966243
라이프시맨틱스,0.20174870500000003,0.038573657,0.023707024,0.019080697
라파스,0.049900852,0.028553335999999995,0.038082568,0.063396514
레몬,0.23020655900000003,0.142828411,0.068683601,0.080376259
레뷰코퍼레이션,0.26668376,0.074466791,0.055251217,0.041696007
레이,0.136639405,0.029572994,0.041498771,0.040507999
레이언스,0.040419711,0.018508701,0.019836658,0.040527707
레이저쎌,0.053777755999999996,0.094342286,0.033796198,0.037062609
레인보우로보틱스,0.707546608,0.06335369,0.028282679999999998,0.03570675
로고스바이오,0.091492404,0.059549878,0.026639294,0.050405039
로보티즈,0.189007526,0.049850958,0.044879873,0.017643072
로스웰,0.033996367,0.023159555,0.033828982,0.028229152
로지시스,0.517254718,0.030061720000000004,0.057986611,0.166022718
롯데렌탈,0.04923253,0.009004055,0.018604919,0.014497689
롯데정보통신,0.025457180000000003,0.014296258000000001,0.017246246,0.041446327
루닛,0.159049756,0.084901578,0.01817545,0.01824837
루미르,0.168373855,0.12421131999999999,0.099197313,0.098589264
리파인,0.148695437,0.028583474000000005,0.035613789,0.084746723
린드먼아시아,0.739025006,0.060115655000000004,0.035139052,0.035356923
마녀공장,0.71873864,0.068762548,0.025316437000000004,0.014493792
마니커에프앤지,0.341673294,0.056618301,0.025483132,0.128093571
마이크로디지탈,0.336896613,0.038285271,0.033558799,0.062368486
마이크로투나노,0.156986805,0.04032162,0.020255863,0.074106592
마이크로프랜드,0.124062492,0.048545103,0.026454433,0.06510705
마인즈랩,0.149559453,0.053191239999999994,0.014154964,0.034439614
마크로밀엠브레인,0.652208481,0.043593497,0.026437340999999996,0.024085265
맥스트,0.676637475,0.138286756,0.057684634,0.049096975
머큐리,0.152847417,0.143405132,0.040250255,0.052104634999999996
메가엠디,0.118522719,0.040266574,0.04118728,0.049327041
메가터치,0.155555511,0.053841174000000006,0.04923512,0.133654955
메드팩토,0.071451998,0.074344031,0.043404228,0.031523436
메카로,0.082022296,0.037667599,0.026636873,0.034302084
메탈라이프,0.739404383,0.061404373,0.033639753,0.028753817000000004
멕아이씨에스,0.211247966,0.036942022,0.12114192900000001,0.173648884
명성티엔에스,0.234599663,0.033293498,0.058482031000000004,0.060281357
명신산업,0.71422682,0.153646357,0.16172975,0.06005912100000001
모니터랩,0.20998471400000002,0.024684509,0.032221685,0.033054848
모델솔루션,0.11209102600000001,0.036372352,0.036228552,0.031730663
모바일어플라이언스,0.303569243,0.062066964,0.125137936,0.042149057
모비릭스,0.744683699,0.085901211,0.029969117,0.023848228
모아데이타,0.090594012,0.021386281,0.006067125,0.017489625
모트렉스,0.062358135,0.042332175,0.010685177,0.020903708
미래반도체,0.694383797,0.025824833,0.036600137,0.017395775
미래테크놀로지,0.068351116,0.028642137,0.039324509,0.027757972
미투온,0.125146914,0.144780568,0.072514433,0.165811302
민앤지,0.27840771,0.039104245,0.030886615,0.0538046
민테크,0.134692234,0.050865185,0.02291925,0.03402408
밀리의서재,0.433315234,0.05295189300000001,0.025627855999999997,0.051333839000000006
바이브컴퍼니,0.076009427,0.163771054,0.069679933,0.050276585
바이오노트,0.10211119900000001,0.024616356,0.012770474,0.019105889
바이오다인,0.188610074,0.052873746,0.037372209,0.037429267
바이오솔루션,0.034410275,0.044060776,0.069583022,0.065598819
바이오에프디엔씨,0.145827971,0.044341031,0.010537315,0.023515782
바이오인프라,0.19567763,0.051332904,0.029591502,0.038984138
바이오플러스,0.045978473,0.049819253,0.039277411,0.02436282
바이젠셀,0.068253227,0.055525733,0.029345748999999997,0.01971015
박셀바이오,0.177717,0.02460061,0.041926758,0.077847081
배럴,0.227001183,0.067347324,0.026780870000000002,0.028020671000000004
뱅크웨어글로벌,0.070010842,0.008826098,0.102926828,0.09840344
버넥트,0.136927893,0.046464234,0.065130354,0.044590672
범한퓨얼셀,0.148050015,0.03043268,0.049381201,0.030996806
베스파,0.062727546,0.036963969,0.023206508,0.037942496
벡트,0.472260137,0.034983325,,
보광산업,0.292272387,0.065363652,0.139048438,0.06173154000000001
보라티알,0.11011657499999998,0.021409064,0.021232334,0.013460795000000001
보로노이,0.202791166,0.080227975,0.11859809000000002,0.024080449
뷰노,0.251116632,0.055714226,0.044238072,0.035734115
뷰티스킨,0.18339955,0.067564732,0.139554172,0.055039013000000005
브랜드엑스코퍼레이션,0.053756609,0.031945704,0.034386872,0.042745058
브레인즈컴퍼니,0.744782023,0.036600232,0.027899498000000002,0.024308373
브릿지바이오,0.06098801499999999,0.034050727,0.034660453,0.031778735
브이씨,0.047605514,0.029075626,0.030668355,0.035415011
브이원텍,0.124158093,0.06051951800000001,0.040875457,0.035565615
블루엠텍,0.8086423459999998,0.060397334000000004,0.032018432,0.030392516
비비씨,0.121003954,0.006604771,0.024453793,0.011973429
비씨엔씨,0.344488814,0.035673618,0.026262272999999996,0.013628278999999998
비아이매트릭스,0.088438611,0.047277616,0.022084384,0.045338593
비즈니스온,0.27212336,0.079494635,0.017782801,0.029647513000000004
비트나인,0.13783928,0.088436152,0.088023537,0.055796837
비피도,0.48375007800000003,0.034970387,0.027337098999999997,0.012299797
빅히트,0.45221742899999995,0.051578998,0.05615333499999999,0.049427189
사이냅소프트,0.09816424,0.08815116,0.041623695,0.024157049
산돌,0.069616104,0.016447279,0.015421641,0.026145038
산일전기,0.200576985,0.074210693,0.089705697,0.031593401
삼기이브이,0.659707031,0.018883538,0.027549374000000005,0.070720202
삼성바이오로직스,0.067101416,0.016928142,0.038345952,0.037980456
삼양옵틱스,0.020408136,0.025649717,0.033184379,0.024569758
삼양패키징,0.028503631,0.037127658,0.028076502999999996,0.005477226
삼영에스앤씨,0.780604917,0.007979787,0.014841395000000002,0.016115738
삼현,0.26367424,0.008790506,0.03210067,0.03717214
상신전자,0.303229011,0.069996236,0.060338818,0.043671696
새빗켐,0.47233472499999996,0.054151805,0.053986183,0.09701153
