1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,kospi200(-20),nasdaq(-20),putcall(-20),VIXCLS,미국10년물국채금리수익률(-20),시장금리국고채3년,환율변동률(-20),코스피변동률(-20),코스닥변동률(-20),6개월 확약,3개월 확약,1개월 확약,15일 확약,미확약,수요예측_최종값,업력,wc_neg_dummy,ta_negative,current_ratio,wc_sales,wc_ta,cl_tl,de_ratio,equity_ratio,cs_te,debt_asset,op_margin,net_margin,roe,roe_sign_dummy,roe_nan,roa,oi_ta,ni_oi_ratio,asset_turnover,sales_equity,우리사주조합,기관투자자,일반투자자,회사명
0.089380356,0.064986022,0.0299257749999999,0.042214038,95570,0.1363290175171363,-0.0414924357439812,0.0705882352941176,28.03,-0.0835543766578249,1.709,0.0281971195557868,-0.0728885703632323,-0.1548025071107736,0.0,0.0,0.0,0.0,100.0,197.15,16,1,0,0.2675019572046245,-1.897848308483464,-0.3036483179089755,0.5163642463254565,4.071035919147774,0.1971983665554586,0.1163684785577711,0.8028016334445414,0.0778699390220808,0.0297020119767534,0.024098606937995,0.0,0,0.0047522059244346,0.0124588861470302,0.3814310419368785,0.1599960948151938,0.8113459437312209,20.0,0.0,80.0,AJ네트웍스
0.055183304,0.027243862,0.010926939,0.014312477,211270,-0.176909821941413,0.0438756465620617,0.194915254237288,16.86,-0.0043407487791644,1.522,0.0219698225833195,0.0173262954458079,-0.0241266136678578,0.0,0.0,0.0,0.0,100.0,271.55,5,0,0,7.722669190724089,1.0442933284322735,0.687843498050989,0.8881883144178226,0.1301956491996169,0.8848025567150086,0.1332877274592967,0.1151974432849914,0.2803161183605955,0.2857195368498438,0.2126966753317827,0.0,0,0.1881945621383434,0.1846354986320606,1.0192761605035403,0.6586688618260175,0.7444246818990286,10.0,0.0,90.0,AP위성통신
0.494997682,0.05474742,0.020483213,0.047154713,241520,-0.212121212121212,0.0217326277163032,-0.1454545454545456,11.71,0.1231633535004321,1.694,-0.001860779835913,0.0387528292769767,0.0209246221259415,0.0,0.0,0.0,0.0,100.0,11.2,5,0,0,1.0143805309734513,0.007471264367816,0.0023092637001509,0.8659003831417624,0.2276741903827281,0.8145483613109512,0.7087558608657726,0.1854516386890487,0.4876436781609195,0.3770114942528735,0.1430596445316759,0.0,0,0.1165289990230038,0.1507238653521627,0.7731290512669416,0.3090860644817479,0.3794569839712136,0.0,0.0,100.0,DSC인베스트먼트
0.358087632,0.053057167,0.021487601,0.044339621,245620,0.2383999999999999,0.0183084265500306,-0.01010101010101,15.92,0.0329749103942653,2.148,0.0270445494118736,-0.0418237971391417,-0.0372545632521449,46.4,12.1,9.5,4.7,27.3,749.79,6,0,0,3.079246624022744,2.924037981009495,0.4561471895221018,1.0,0.2810346549485669,0.780619006782568,0.2850294616997902,0.2193809932174319,-0.4897551224387806,-0.4752623688155922,-0.0949765305103365,1.0,0,-0.0741404849146332,-0.0764013409214937,0.970408163265306,0.1559990644733764,0.199840207729951,6.0,74.0,20.0,EDGC
0.207570222,0.075021577,0.079149214,0.022591547,900290,0.0094637223974765,0.0007765439908766,-0.0992366412213741,13.46,0.1234096692111959,1.398,0.0274406810360441,0.0003077509269164,-0.0566136641621527,0.0,0.0,0.0,0.0,100.0,140.75,4,0,0,4.193606974209953,0.6414630883908703,0.3982560443915973,0.3441214154019228,0.5683424701327303,0.6376158390427118,0.296168464425684,0.3623841609572882,0.2969648698274499,0.2130792708877999,0.2074783617698947,0.0,0,0.1322914897231187,0.184372345846781,0.7175234936428966,0.6208557461827379,0.9737144345643344,0.0,0.0,100.0,GRT
0.089290778,0.022640605,0.0306036439999999,0.032308621,195940,0.0411160058737152,0.006958383194676,-0.3237410071942446,16.72,-0.0460526315789474,1.436,-0.0041800923103718,0.007358761978395,0.0243176370525011,0.0,0.0,0.0,0.0,100.0,1871.36,8,1,0,0.8176834901809119,-0.3633254477140624,-0.0403284592393419,0.3996294956654642,1.2397086022220745,0.4464866541155726,0.014761492914643,0.5535133458844274,0.0697609693959473,0.0445091469615388,0.0110651320604084,0.0,0,0.0049404337909987,0.0077433398306731,0.6380236305048335,0.1109981684274437,0.2486035526578404,20.0,55.0,25.0,HK이노엔
0.287325552,0.02307893,0.030618344,0.056473153,403870,-0.0957735556417215,0.0136983493070714,-0.2159999999999999,24.23,-0.0844939647168058,3.205,0.0169768709602058,-0.0485921349649517,-0.0408293580738459,37.26,36.18,6.14,1.18,19.239999999999995,1511.36,6,0,0,3.041953663118347,1.844854525862069,0.6413700092720069,0.9254394436932586,0.5137805880851788,0.6605977166512134,0.1184393342217937,0.3394022833487867,0.5690463362068966,0.4563577586206896,0.2401678623075396,0.0,0,0.1586543414533636,0.1978309123092916,0.8019694172229324,0.3476534329839941,0.5262710182323419,12.2,62.8,25.0,HPSP
0.248351833,0.049901232,0.039769272,0.012931435,234080,0.0469116497263488,-0.0035830984432806,0.2470588235294117,15.36,0.1207759699624528,1.418,0.0299048482102401,-0.0190788384168021,-0.0746257790203273,0.0,0.0,0.0,0.0,100.0,224.57,23,1,0,0.4779875044579761,-0.5890419125976272,-0.2177038632520065,0.7829058945191313,1.139913475026818,0.4673086139557431,0.4666454480083931,0.5326913860442569,0.1766827639658975,0.125186311333691,0.0990086171328877,0.0,0,0.0462675796420446,0.0653001415736155,0.7085372026320229,0.369589767037035,0.7908901227145737,15.18,0.0,84.82,JW생명과학
0.306137007,0.041399312,0.021280508,0.020321983,309960,-0.0928224500809499,0.0295795234500695,0.3296703296703296,19.12,-0.1056584877315974,3.249,-0.0129801123424928,0.0091551484758689,0.0529434057604849,0.02,8.94,0.07,0.0,90.97,1298.41,27,0,0,7.69533275713051,0.8948249971121636,0.1450777687258289,0.2204229377024195,0.1090214241949051,0.9016958357914056,0.2076994174031342,0.0983041642085943,0.4323668707404413,0.3310038119440915,0.0595162680568681,0.0,0,0.053665571068723,0.070099540223427,0.7655623831151482,0.1621297674897697,0.1798053856458932,0.0,75.0,25.0,LB인베스트먼트
0.304972446,0.035250135,0.012433704,0.026895818,373220,0.5003021148036253,-0.1410673990308467,0.0495049504950495,30.49,0.2428666224286664,2.217,0.0094387325130624,-0.0901415545816333,-0.1468983926188127,42.6,8.0,7.5,0.2,41.7,2023.37,2,0,0,1.098342685199078,0.0658232225261333,0.0373896984055686,0.6238549789133216,1.5603828076187642,0.390566596926196,0.0108434254901607,0.609433403073804,0.0516484342346337,0.0639742074323547,0.0930427714581089,0.0,0,0.0363393986169754,0.0293379647036591,1.23864756754728,0.5680320253345861,1.4543794318435406,19.2,55.0,25.8,LG에너지솔루션
