1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,kospi200(-20),nasdaq(-20),putcall(-20),VIXCLS,미국10년물국채금리수익률(-20),시장금리국고채3년,환율변동률(-20),코스피변동률(-20),코스닥변동률(-20),6개월 확약,3개월 확약,1개월 확약,15일 확약,미확약,수요예측_최종값,업력,우리사주조합,기관투자자,일반투자자,회사명,경기국면
0.270315366,0.063683648,0.042719141,0.0573822879999999,217730,0.0817417876241406,-0.0356205085550512,-0.2258064516129032,18.7,-0.017387427552385,1.658,0.0190163367620364,-0.0141637969755952,-0.0302779351726741,0.0,0.0,0.0,0.0,100.0,11.35,6,3.0,0.0,97.0,강스템바이오텍,1
0.573845121,0.034148089,0.052141279,0.016660372,214390,-0.0481203007518797,-0.0004761840262498,0.2619047619047621,18.85,0.1333027943197435,1.793,0.0018057060310581,-0.0057601659079988,0.0485797717016192,0.0,0.0,0.0,0.0,100.0,524.56,29,17.5,0.0,82.5,경보제약,0
0.4707673129999999,0.1110439689999999,0.02746911,0.032289983,348150,-0.0987202925045703,0.0361045355642017,-0.0091743119266055,23.84,0.0499390986601706,0.949,-0.027814337106256,0.0709826813898752,0.0105938579700723,0.0,0.0,1.04,0.0,98.96,64.33,7,0.0,80.0,20.0,고바이오랩,0
0.002236068,0.001369306,0.005225132,0.002738613,307870,-0.016895459345301,-0.0234749462650387,-0.2358490566037735,21.46,-0.0793092420850655,1.803,-0.0096856564233512,-0.0072918933294651,-0.0157096908690212,0.0,0.0,0.0,0.0,100.0,0.68,1,0.0,38.02,61.98,골든브릿지이안5호,0
0.091781055,0.071518753,0.158954311,0.076562001,900280,-0.002865329512894,-0.0096956723523907,0.1260504201680674,14.41,0.0740740740740739,1.352,0.0181249999999999,0.0072665880111171,-0.0210819706157062,0.0,0.0,0.0,0.0,100.0,181.93,11,0.0,0.0,100.0,골든센츄리,1
0.147098528,0.068991065,0.1113754549999999,0.064613157,366030,-0.1160151324085749,0.0821730301511791,0.3614457831325299,23.57,0.1916916916916915,2.426,0.0144600468070879,-0.0123186821196881,0.0457110545660164,0.0,0.0,0.4599999999999999,2.2,97.34,56.9,16,0.89,74.11,25.0,공구우먼,1
0.70482675,0.01738554,0.017864014,0.024876535,339770,-0.0367955286446203,0.0061943294220101,-0.284313725490196,25.35,0.3220568335588634,0.969,-0.0260102993802915,0.0527949652932182,-0.0053763440860216,0.04,4.44,3.07,0.77,91.68,999.44,22,18.07,61.93,20.0,교촌에프앤비,0
0.261263032,0.023295343,0.047688175,0.088601479,282720,0.0017113519680547,-0.0494303235465573,-0.0733944954128441,26.52,0.0,3.435,0.0448103871427441,-0.0304243783733444,0.0209207187613276,1.5700000000000005,19.89,4.89,7.429999999999999,66.22,1613.16,30,0.0,75.0,25.0,금양그린파워,0
0.05424028,0.012299309,0.023251516,0.024475804,214330,-0.0685263796240145,0.0628056766541671,-0.2296296296296296,16.06,0.1827848101265821,1.798,0.0057516339869281,-0.0064492050459058,-0.0182682533038329,0.0,0.0,0.0,0.0,100.0,46.05,28,19.8,0.0,80.2,금호에이치티,1
0.380329026,0.024802984,0.089614497,0.031069084,420770,-0.0201884253028262,0.0595477958627725,-0.0941176470588235,20.03,0.0734397677793905,3.378,-0.0066270050455607,0.0174559144045969,0.0045952550775814,8.81,35.93,15.06,12.920000000000002,27.28,1669.6,19,5.96,69.04,25.0,기가비스,0
0.295842614,0.025248406,0.024265881,0.028007642,308100,-0.1478683216405829,-0.0220842705696898,-0.3893129770992366,15.94,-0.1327507282563462,1.533,0.0034019391052899,-0.0169399062636382,-0.0084276659931914,0.11,0.0,0.0,1.07,98.82,32.53,4,1.09,0.0,98.91,까스텔바쟉,0
0.700899403,0.103044786,0.134770676,0.112355966,407400,-0.0395170142700328,0.0895425508060994,0.2608695652173913,20.71,0.0496515679442508,3.401,0.0073788899582931,0.0562792656008777,0.1205804180734144,0.0,30.65,12.52,0.0,56.830000000000005,1547.13,9,5.0,70.0,25.0,꿈비,0
0.043501816,0.078059548,0.047689234,0.022465752,286750,0.3012967200610221,-0.0375602351090145,0.4567901234567899,16.88,-0.2380487804878047,1.093,0.0272997032640949,-0.0798286827479516,-0.1223778298667772,0.0,0.0,0.0,0.0,100.0,39.3,13,5.0,75.0,20.0,나노브릭,0
0.106335798,0.03245047,0.020762153,0.026478897,247660,-0.0804741110417966,-0.0985498287655333,0.0155038759689922,24.03,0.3818965517241379,1.206,0.0138240574506285,-0.0296157147252675,-0.0620062617926974,0.0,25.739999999999995,3.69,0.0,70.57,1295.75,18,2.0,73.0,25.0,나노씨엠에스,1
0.602509249,0.099865444,0.03282921,0.125282872,417010,0.0720140515222482,-0.0604746094813041,-0.043956043956044,18.49,0.1543052003410059,3.791,0.0713009582588923,-0.0166188717151097,0.0295179304752688,18.1,23.1,15.4,4.4,39.0,1723.21,7,0.0,75.0,25.0,나노팀,0
0.158394296,0.064318986,0.035783334,0.035325161,405920,-0.0490390987408879,0.0948138154405964,-0.1351351351351352,14.6,0.0268035357855715,3.436,-0.0138785255931951,0.0270928280163109,0.0244313195284517,1.3,0.19,0.0,0.0,98.51,178.47,33,3.0,72.0,25.0,나라셀라,1
0.1118418839999999,0.028334555,0.039693413,0.018424657,137080,0.2323059360730595,-0.0620471591661395,-0.0582524271844661,21.44,0.0990836197021765,2.303,0.0010849607744949,-0.0600815605386694,-0.0825257574211976,2.6,0.0,0.0,0.0,97.4,102.0,27,3.23,71.77,25.0,나래나노텍,1
