stock_code,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,kospi200(-20),nasdaq(-20),putcall(-20),VIXCLS,미국10년물국채금리수익률(-20),시장금리국고채3년,환율변동률(-20),코스피변동률(-20),코스닥변동률(-20),6개월 확약,3개월 확약,1개월 확약,15일 확약,미확약,수요예측_최종값,업력,우리사주조합,기관투자자,일반투자자,경기국면
87260,모바일어플라이언스,0.4122399507174685,0.36526848579735327,2.800700079851029,-0.021485065648353965,-0.9695932437913857,0.41503504864230206,0.13841926098733082,-1.2813378897759984,-0.6015392668397173,-0.12367960394248605,-0.9672584260373764,0.397976908530927,0.2598811648581043,-0.6407097387664451,0.8429639637466367,1.0065133336448446,3.31900094448134,-0.6092596358801591,0.2644843291713412,0.013200739579405768,0.4969978338590595,-1.1921622319392002,1.1646260441832654,0
348030,모비릭스,2.2413207174783936,1.079062084818267,-0.4109773046956527,-0.5959419007014143,1.4132367041921732,0.4318093681313887,0.40060630180418244,1.5455991375829514,0.6683227474774674,-1.3130601655051262,0.3317626028545,1.841747082469454,0.33797444057167353,-0.399535756293146,0.5181350952598087,0.8045715119918095,-0.47394725462583137,0.2896649310945544,0.9531330926817474,0.13569538256983557,-0.1197285805801671,0.8859241450278307,-0.8652547995914417,0
288980,모아데이타,-0.7071928215013564,-0.8908797946391425,-1.264258323555197,-0.797942776047896,1.4778155144107497,-1.9621741165451714,-0.8101729711691422,1.5475731435105777,-0.6050370566745988,0.6849949977310423,0.9117679327635682,-0.999688121417492,-0.39753949581990855,-0.4778697501765757,-0.9312396855232421,-0.9295983221899365,-0.6829940150672741,0.6589887944064445,-0.6248261611401696,-0.7712592210722651,-0.9439517325877315,0.9060671470662832,-0.8101580338318425,1
118990,모트렉스,-0.8718061474621019,-0.23798290842351358,-1.0978287282775567,-0.6893273485141562,0.030138467538418843,0.3855187999773291,1.2262281652503428,-1.6594498532428923,-0.8337161837707974,-0.011867951328503903,-1.2756453176512579,0.036966137172504285,-0.44672675807146783,-0.6407097387664451,1.334962723882588,0.6820505423164891,0.9850301063340924,-0.21226423131400865,0.09005272288243235,0.459401492021428,1.2895200954047945,-1.1921622319392002,1.0051354064581097,1
254490,미래반도체,2.0577385072530485,-0.7514162841690903,-0.17776288199298548,-0.8009336585125758,-0.2810900943347006,2.349854387226027,-0.28629824246832636,0.09791140951905265,-1.0734572405344023,1.781587604068508,-1.3326407217039469,1.7521350870571837,1.1221178796328009,0.038801859848160085,1.3495555952643807,0.4358932790739281,-0.46261547358437605,-0.12456535359417269,1.0245606183318121,1.2438614526730996,-0.9439517325877315,0.9060671470662832,-0.7202633107503912,0
213090,미래테크놀로지,-0.8365046573082744,-0.6632066438346695,-0.08237820508782744,-0.47235857738294057,0.1318028761316225,-0.30544800661807614,1.5992823414849753,-0.57747213736076,-0.2337672271530562,0.031417339793723194,0.3349465133879666,-0.6198685239466482,0.19597091191622362,-0.6407097387664451,-0.9312396855232421,-0.9295983221899365,-0.6829940150672741,0.6645038625962917,-0.6080358790280567,0.6464657273929606,0.4969978338590595,-1.1921622319392002,1.1646260441832654,1
201490,미투온,-0.5114553650243553,2.7773352946021075,1.0599864690403316,3.614361952019164,1.2145020547145244,0.08130003374344158,0.5722795697804229,-0.8421962881047458,-0.05756773569479908,-0.651016405023884,0.050397283832508764,-0.15897749273224338,-0.028938037040222398,-0.6407097387664451,-0.9312396855232421,-0.9295983221899365,-0.6829940150672741,0.6645038625962917,-0.9028702253542494,-0.9803792445197087,-0.9439517325877315,-1.1921622319392002,1.4546090218653664,1
214180,민앤지,0.2899272183095775,-0.33773971489659266,-0.37861934684869625,0.33914367638290505,0.283069217948793,-0.7043370229693101,1.2551418422442961,0.053367604367305164,0.0582183433871737,0.06143921062556943,0.06642399381009007,-0.21439208404615723,0.689336278321614,-0.6407097387664451,-0.9312396855232421,-0.9295983221899365,-0.6829940150672741,0.6645038625962917,0.5387437476057053,-0.9803792445197087,-0.223476949364336,-1.1921622319392002,1.3096175330243158,0
301300,바이브컴퍼니,-0.791680697346258,3.3064959137879124,0.9638160778734126,0.23040767405684803,-0.7155763740564541,0.24732000019650077,-0.09513816042997987,2.4072869658338245,0.9427602342458306,-1.4418847761074525,-1.4603347004448826,0.5250243451557866,-0.40878208865655785,-0.11078152614000968,0.5268231603764304,0.5845256813546493,1.2652957796616984,0.22331660714854226,0.8638337879483496,0.8156859119839518,1.9379474003058503,0.4864212712651866,-0.8652547995914417,0
377740,바이오노트,-0.6412688523803411,-0.789327905057515,-1.0229259507352582,-0.7464776983052696,0.05766459363324298,-1.268295587098562,-0.8225447967621402,0.6009902904165432,-0.16242940784739432,2.0175224152810984,-1.9091634427170634,-1.0181755827738526,-0.6523075620046068,-0.6407097387664451,0.6770398587247214,-0.6374711416925285,-0.6829940150672741,0.4378915785060043,-2.698522712204827,0.7330911078499746,0.15116993791182962,0.553564611393362,-0.5752718219093407,0
314930,바이오다인,-0.16711647150368755,0.08565808133463869,-0.15070595923120042,-0.16866654523945818,-0.27733504645545665,-0.9502323543644011,-0.8107401738829232,0.2095806330306296,2.2302254374174546,-0.929722952588399,1.2793470997314147,-0.6807545292517034,-0.5547900624152882,0.4958786643961321,1.2703761918448777,1.3066057617396625,-0.6829940150672741,-0.4130043944001246,0.9337406314024516,0.8946085987638378,-0.9439517325877315,0.9060671470662832,-0.7202633107503912,1
86820,바이오솔루션,-1.0391065551066094,-0.1846887040383842,0.9605235273707493,0.7000255470006329,-0.18301274165538436,-0.29839464919962744,1.1993057131814469,-1.0390674333407912,-0.48960280571894743,0.3259023697662085,-0.09739107221521845,-0.42291092882141407,-0.3389345269587064,1.8631037458672526,0.1291300944985184,1.1908617799664618,-0.6829940150672741,-0.28106212899085997,-0.35841659531168485,0.6464657273929606,-0.4684383756602905,-1.1921622319392002,1.3589146392302731,1
251120,바이오에프디엔씨,-0.3971555335662502,-0.17605652295153504,-1.1031457201337032,-0.6064719662845139,0.9926245808988428,-0.3092405138698576,-0.3410431516175616,1.2926118657973795,0.5865073642665195,0.8001995454679035,0.23744266522637095,-0.7674043664985047,-0.8409190999256675,-0.6407097387664451,1.2089175181835021,1.158559872126472,-0.6829940150672741,-0.17588330641552286,-0.8951775001631064,0.459401492021428,-0.057767749222954995,0.49089749394039817,-0.7202633107503912,1
