函券,盔磊丰,老喊 荐劳伏,扁埃备埃,荐劳伏_钎霖祈瞒
2018-02-09,2363.77,-0.018213007035994044,6~10老,0.01176830478467712
2018-02-12,2385.38,0.009142175423158871,6~10老,0.01176830478467712
2018-02-13,2395.19,0.004112552297746985,6~10老,0.01176830478467712
2018-02-14,2421.83,0.011122290924728162,6~10老,0.01176830478467712
2018-02-19,2442.82,0.008666999748124349,11~15老,0.011032614427570973
2018-02-20,2415.12,-0.011339353697775612,11~15老,0.011032614427570973
2018-02-21,2429.65,0.0060162642021930335,11~15老,0.011032614427570973
2018-02-22,2414.28,-0.006326014034943261,11~15老,0.011032614427570973
2018-02-23,2451.52,0.015424888579617768,11~15老,0.011032614427570973
2018-02-26,2457.65,0.00250048949223336,16~20老,0.00747368900952358
2018-02-27,2456.14,-0.0006144080727524814,16~20老,0.00747368900952358
2018-02-28,2427.36,-0.011717573102510315,16~20老,0.00747368900952358
2018-03-02,2402.16,-0.010381649199129983,1~5老,0.012777554468546979
2018-03-05,2375.06,-0.011281513304692403,1~5老,0.012777554468546979
2018-03-06,2411.41,0.01530487650838297,1~5老,0.012777554468546979
2018-03-07,2401.82,-0.003976926362584399,1~5老,0.012777554468546979
2018-03-08,2433.08,0.013015130192936875,1~5老,0.012777554468546979
2018-03-09,2459.45,0.010838114653032305,6~10老,0.0058332732536116455
2018-03-12,2484.12,0.010030697920266674,6~10老,0.0058332732536116455
2018-03-13,2494.49,0.004174516528992145,6~10老,0.0058332732536116455
2018-03-14,2486.08,-0.003371430633115291,6~10老,0.0058332732536116455
2018-03-15,2492.38,0.0025341099240572262,6~10老,0.0058332732536116455
2018-03-16,2493.97,0.0006379444546977808,11~15老,0.004883954397829654
2018-03-19,2475.03,-0.007594317493794911,11~15老,0.004883954397829654
2018-03-20,2485.52,0.00423833246465688,11~15老,0.004883954397829654
2018-03-21,2484.97,-0.00022128166339441258,11~15老,0.004883954397829654
2018-03-22,2496.02,0.0044467337633855575,11~15老,0.004883954397829654
2018-03-23,2416.76,-0.031754553248771966,16~20老,0.017569743489553778
2018-03-26,2437.08,0.00840795114119719,16~20老,0.017569743489553778
2018-03-27,2452.06,0.006146700149359141,16~20老,0.017569743489553778
2018-03-28,2419.29,-0.013364273304894647,16~20老,0.017569743489553778
2018-03-29,2436.37,0.007059922539257357,16~20老,0.017569743489553778
2018-04-02,2444.16,-0.0006909663307235192,1~5老,0.009365430948053663
2018-04-03,2442.43,-0.0007078096360303432,1~5老,0.009365430948053663
2018-04-04,2408.06,-0.014072051194916502,1~5老,0.009365430948053663
2018-04-05,2437.52,0.012233914437348004,1~5老,0.009365430948053663
2018-04-06,2429.58,-0.0032574091699760777,1~5老,0.009365430948053663
2018-04-09,2444.08,0.005968109714436176,6~10老,0.003679741667069503
2018-04-10,2450.74,0.0027249517200744755,6~10老,0.003679741667069503
2018-04-11,2444.22,-0.0026604209340852503,6~10老,0.003679741667069503
2018-04-12,2442.71,-0.0006177839965304521,6~10老,0.003679741667069503
2018-04-13,2455.07,0.005059953903656211,6~10老,0.003679741667069503
2018-04-16,2457.49,0.00098571527492064,11~15老,0.005562899799226367
2018-04-17,2453.77,-0.0015137396286454274,11~15老,0.005562899799226367
2018-04-18,2479.98,0.010681522718103187,11~15老,0.005562899799226367
2018-04-19,2486.1,0.002467761836788984,11~15老,0.005562899799226367
2018-04-20,2476.33,-0.003929849965809917,11~15老,0.005562899799226367
2018-04-23,2474.11,-0.0008964879478905452,16~20老,0.007296640434470526
2018-04-24,2464.14,-0.004029731903593681,16~20老,0.007296640434470526
2018-04-25,2448.81,-0.006221237429691495,16~20老,0.007296640434470526
2018-04-26,2475.64,0.01095634206002094,16~20老,0.007296640434470526
2018-04-27,2492.4,0.006769966554103224,16~20老,0.007296640434470526
2018-05-02,2505.61,-0.0038841049861253474,1~5老,0.0031647054023382828
2018-05-03,2487.25,-0.0073275569621769066,1~5老,0.0031647054023382828
2018-05-04,2461.38,-0.010401045331189018,1~5老,0.0031647054023382828
2018-05-08,2449.81,-0.004700615102097294,1~5老,0.0031647054023382828
2018-05-09,2443.98,-0.002379776390822097,1~5老,0.0031647054023382828
2018-05-10,2464.16,0.008257023379896644,6~10老,0.005935340807090576
2018-05-11,2477.71,0.005498831244724389,6~10老,0.005935340807090576
2018-05-14,2476.11,-0.0006457575745345556,6~10老,0.005935340807090576
2018-05-15,2458.54,-0.00709580753682193,6~10老,0.005935340807090576
2018-05-16,2459.82,0.0005206341975318995,6~10老,0.005935340807090576
2018-05-17,2448.45,-0.004622289435812554,11~15老,0.003911691997950689
2018-05-18,2460.65,0.004982744185096699,11~15老,0.003911691997950689
2018-05-21,2465.57,0.001999471684311027,11~15老,0.003911691997950689
2018-05-23,2471.91,0.0025714135068157784,11~15老,0.003911691997950689
2018-05-24,2466.01,-0.0023868182903097335,11~15老,0.003911691997950689
2018-05-25,2460.8,-0.002112724603712035,16~20老,0.011118084410668843
2018-05-28,2478.96,0.007379713914174246,16~20老,0.011118084410668843
2018-05-29,2457.25,-0.008757704843966874,16~20老,0.011118084410668843
2018-05-30,2409.03,-0.019623562926035065,16~20老,0.011118084410668843
2018-05-31,2423.01,0.005803165589469694,16~20老,0.011118084410668843
2018-06-01,2438.96,0.006582721491037891,1~5老,0.005929020176718817
2018-06-04,2447.76,0.0036080952537147493,1~5老,0.005929020176718817
2018-06-05,2453.76,0.0024512207079125936,1~5老,0.005929020176718817
2018-06-07,2470.58,0.006854786124152135,1~5老,0.005929020176718817
2018-06-08,2451.58,-0.007690501825482254,1~5老,0.005929020176718817
2018-06-11,2470.15,0.007574706923698216,6~10老,0.010025149726532725
2018-06-12,2468.83,-0.0005343805032084203,6~10老,0.010025149726532725
2018-06-14,2423.48,-0.01836902500374671,6~10老,0.010025149726532725
2018-06-15,2404.04,-0.008021522768910883,6~10老,0.010025149726532725
2018-06-18,2376.24,-0.01156386748972571,6~10老,0.010025149726532725
2018-06-19,2340.11,-0.015204693128640034,11~15老,0.011335555568589338
2018-06-20,2363.91,0.01017046207229555,11~15老,0.011335555568589338
2018-06-21,2337.83,-0.01103256892182869,11~15老,0.011335555568589338
