,날짜,원자료(-1~-5),원자료(-6~-10),원자료(-11~-15),원자료(-16~-20)
0,2014-12-30,,,,
1,2015-01-02,,,,
2,2015-01-05,,,,
3,2015-01-06,,,,
4,2015-01-07,,,,
5,2015-01-08,,,,
6,2015-01-09,0.010973693938778374,,,
7,2015-01-12,0.011899112924127164,,,
8,2015-01-13,0.01159372947604452,,,
9,2015-01-14,0.006589042498518265,,,
10,2015-01-15,0.006961607453714232,,,
11,2015-01-16,0.005404653157878121,0.010973693938778374,,
12,2015-01-19,0.005542733887338668,0.011899112924127164,,
13,2015-01-20,0.007630921287943506,0.01159372947604452,,
14,2015-01-21,0.008871055452696518,0.006589042498518265,,
15,2015-01-22,0.008811237235884749,0.006961607453714232,,
16,2015-01-23,0.008821188736148448,0.005404653157878121,0.010973693938778374,
17,2015-01-26,0.00405157149532639,0.005542733887338668,0.011899112924127164,
18,2015-01-27,0.004295329408583494,0.007630921287943506,0.01159372947604452,
19,2015-01-28,0.004406488837752716,0.008871055452696518,0.006589042498518265,
20,2015-01-29,0.0042703782308537155,0.008811237235884749,0.006961607453714232,
21,2015-01-30,0.005909350742516863,0.008821188736148448,0.005404653157878121,0.010973693938778374
22,2015-02-02,0.005412840818254413,0.00405157149532639,0.005542733887338668,0.011899112924127164
23,2015-02-03,0.005340270475212405,0.004295329408583494,0.007630921287943506,0.01159372947604452
24,2015-02-04,0.0037117815574177477,0.004406488837752716,0.008871055452696518,0.006589042498518265
25,2015-02-05,0.003990876215258778,0.0042703782308537155,0.008811237235884749,0.006961607453714232
26,2015-02-06,0.0038834245523603657,0.005909350742516863,0.008821188736148448,0.005404653157878121
27,2015-02-09,0.00385626500862793,0.005412840818254413,0.00405157149532639,0.005542733887338668
28,2015-02-10,0.004354044149416967,0.005340270475212405,0.004295329408583494,0.007630921287943506
29,2015-02-11,0.00491291054724221,0.0037117815574177477,0.004406488837752716,0.008871055452696518
30,2015-02-12,0.004744103708010056,0.003990876215258778,0.0042703782308537155,0.008811237235884749
31,2015-02-13,0.0043955487953715455,0.0038834245523603657,0.005909350742516863,0.008821188736148448
32,2015-02-16,0.006093090004134046,0.00385626500862793,0.005412840818254413,0.00405157149532639
33,2015-02-17,0.005548201518795745,0.004354044149416967,0.005340270475212405,0.004295329408583494
34,2015-02-23,0.0040345131566468856,0.00491291054724221,0.0037117815574177477,0.004406488837752716
35,2015-02-24,0.0038554910615375463,0.004744103708010056,0.003990876215258778,0.0042703782308537155
36,2015-02-25,0.0029682933705106086,0.0043955487953715455,0.0038834245523603657,0.005909350742516863
37,2015-02-26,0.0026192603663849215,0.006093090004134046,0.00385626500862793,0.005412840818254413
38,2015-02-27,0.0023749580929618977,0.005548201518795745,0.004354044149416967,0.005340270475212405
39,2015-03-02,0.004032793034163505,0.0040345131566468856,0.00491291054724221,0.0037117815574177477
40,2015-03-03,0.004258252491167506,0.0038554910615375463,0.004744103708010056,0.003990876215258778
41,2015-03-04,0.004220246166328688,0.0029682933705106086,0.0043955487953715455,0.0038834245523603657
42,2015-03-05,0.003546333410984299,0.0026192603663849215,0.006093090004134046,0.00385626500862793
43,2015-03-06,0.003544974037695414,0.0023749580929618977,0.005548201518795745,0.004354044149416967
44,2015-03-09,0.003686022081510605,0.004032793034163505,0.0040345131566468856,0.00491291054724221
45,2015-03-10,0.006322136532945511,0.004258252491167506,0.0038554910615375463,0.004744103708010056
46,2015-03-11,0.006286672346757816,0.004220246166328688,0.0029682933705106086,0.0043955487953715455
47,2015-03-12,0.006287915102470606,0.003546333410984299,0.0026192603663849215,0.006093090004134046
48,2015-03-13,0.006350423141813578,0.003544974037695414,0.0023749580929618977,0.005548201518795745
49,2015-03-16,0.006520451847056981,0.003686022081510605,0.004032793034163505,0.0040345131566468856
50,2015-03-17,0.0051385117060791085,0.006322136532945511,0.004258252491167506,0.0038554910615375463
51,2015-03-18,0.010561980803947463,0.006286672346757816,0.004220246166328688,0.0029682933705106086
52,2015-03-19,0.0103797083599663,0.006287915102470606,0.003546333410984299,0.0026192603663849215
53,2015-03-20,0.00883432960983482,0.006350423141813578,0.003544974037695414,0.0023749580929618977
54,2015-03-23,0.00933593129757883,0.006520451847056981,0.003686022081510605,0.004032793034163505
55,2015-03-24,0.009476319776439077,0.0051385117060791085,0.006322136532945511,0.004258252491167506
56,2015-03-25,0.0023193395880309587,0.010561980803947463,0.006286672346757816,0.004220246166328688
57,2015-03-26,0.0021139796750859166,0.0103797083599663,0.006287915102470606,0.003546333410984299
58,2015-03-27,0.004827749485187631,0.00883432960983482,0.006350423141813578,0.003544974037695414
59,2015-03-30,0.004786286075534315,0.00933593129757883,0.006520451847056981,0.003686022081510605
60,2015-03-31,0.005697463152833804,0.009476319776439077,0.0051385117060791085,0.006322136532945511
61,2015-04-01,0.006237649285967249,0.0023193395880309587,0.010561980803947463,0.006286672346757816
62,2015-04-02,0.006772095932192734,0.0021139796750859166,0.0103797083599663,0.006287915102470606
63,2015-04-03,0.0048173940049916625,0.004827749485187631,0.00883432960983482,0.006350423141813578
64,2015-04-06,0.005609124538076522,0.004786286075534315,0.00933593129757883,0.006520451847056981
65,2015-04-07,0.005463925322363962,0.005697463152833804,0.009476319776439077,0.0051385117060791085
66,2015-04-08,0.005038790661198782,0.006237649285967249,0.0023193395880309587,0.010561980803947463
67,2015-04-09,0.003718001395771839,0.006772095932192734,0.0021139796750859166,0.0103797083599663
68,2015-04-10,0.0038138749436104416,0.0048173940049916625,0.004827749485187631,0.00883432960983482
