날짜,코스피수익률표준편차(1~5),코스피수익률표준편차(6~10),코스피수익률표준편차(11~15),코스피수익률표준편차(16~20)
2014-12-30,,,,
2015-01-02,0.010973693938778374,,,
2015-01-05,0.010973693938778374,,,
2015-01-06,0.010973693938778374,,,
2015-01-07,0.010973693938778374,,,
2015-01-08,0.010973693938778374,,,
2015-01-09,,0.005404653157878119,,
2015-01-12,,0.005404653157878119,,
2015-01-13,,0.005404653157878119,,
2015-01-14,,0.005404653157878119,,
2015-01-15,,0.005404653157878119,,
2015-01-16,,,0.008821188736148447,
2015-01-19,,,0.008821188736148447,
2015-01-20,,,0.008821188736148447,
2015-01-21,,,0.008821188736148447,
2015-01-22,,,0.008821188736148447,
2015-01-23,,,,0.005909350742516859
2015-01-26,,,,0.005909350742516859
2015-01-27,,,,0.005909350742516859
2015-01-28,,,,0.005909350742516859
2015-01-29,,,,0.005909350742516859
2015-01-30,,,,
2015-02-02,0.0038562650086279232,,,
2015-02-03,0.0038562650086279232,,,
2015-02-04,0.0038562650086279232,,,
2015-02-05,0.0038562650086279232,,,
2015-02-06,0.0038562650086279232,,,
2015-02-09,,0.006093090004134041,,
2015-02-10,,0.006093090004134041,,
2015-02-11,,0.006093090004134041,,
2015-02-12,,0.006093090004134041,,
2015-02-13,,0.006093090004134041,,
2015-02-16,,,0.0026192603663849133,
2015-02-17,,,0.0026192603663849133,
2015-02-23,,,0.0026192603663849133,
2015-02-24,,,0.0026192603663849133,
2015-02-25,,,0.0026192603663849133,
2015-02-26,,,,0.0035099976108107227
2015-02-27,,,,0.0035099976108107227
2015-03-02,0.0036860220815105984,,,
2015-03-03,0.0036860220815105984,,,
2015-03-04,0.0036860220815105984,,,
2015-03-05,0.0036860220815105984,,,
2015-03-06,0.0036860220815105984,,,
2015-03-09,,0.006520451847056977,,
2015-03-10,,0.006520451847056977,,
2015-03-11,,0.006520451847056977,,
2015-03-12,,0.006520451847056977,,
2015-03-13,,0.006520451847056977,,
2015-03-16,,,0.009335931297578827,
2015-03-17,,,0.009335931297578827,
2015-03-18,,,0.009335931297578827,
2015-03-19,,,0.009335931297578827,
2015-03-20,,,0.009335931297578827,
2015-03-23,,,,0.004786286075534308
2015-03-24,,,,0.004786286075534308
2015-03-25,,,,0.004786286075534308
2015-03-26,,,,0.004786286075534308
2015-03-27,,,,0.004786286075534308
2015-03-30,,,,
2015-03-31,,,,
2015-04-01,0.005038790661198776,,,
2015-04-02,0.005038790661198776,,,
2015-04-03,0.005038790661198776,,,
2015-04-06,0.005038790661198776,,,
2015-04-07,0.005038790661198776,,,
2015-04-08,,0.005073013192476366,,
2015-04-09,,0.005073013192476366,,
2015-04-10,,0.005073013192476366,,
2015-04-13,,0.005073013192476366,,
2015-04-14,,0.005073013192476366,,
2015-04-15,,,0.003903137402935889,
2015-04-16,,,0.003903137402935889,
2015-04-17,,,0.003903137402935889,
2015-04-20,,,0.003903137402935889,
2015-04-21,,,0.003903137402935889,
2015-04-22,,,,0.007914810406476515
2015-04-23,,,,0.007914810406476515
2015-04-24,,,,0.007914810406476515
2015-04-27,,,,0.007914810406476515
2015-04-28,,,,0.007914810406476515
2015-04-29,,,,
2015-04-30,,,,
2015-05-04,0.007341664738626501,,,
2015-05-06,0.007341664738626501,,,
2015-05-07,0.007341664738626501,,,
2015-05-08,0.007341664738626501,,,
2015-05-11,0.007341664738626501,,,
2015-05-12,,0.0054641796290494675,,
2015-05-13,,0.0054641796290494675,,
2015-05-14,,0.0054641796290494675,,
2015-05-15,,0.0054641796290494675,,
2015-05-18,,0.0054641796290494675,,
2015-05-19,,,0.00761758551637887,
2015-05-20,,,0.00761758551637887,
2015-05-21,,,0.00761758551637887,
2015-05-22,,,0.00761758551637887,
2015-05-26,,,0.00761758551637887,
2015-05-27,,,,0.010696328455901306
2015-05-28,,,,0.010696328455901306
2015-05-29,,,,0.010696328455901306
2015-06-01,0.00604478313606535,,,
2015-06-02,0.00604478313606535,,,
2015-06-03,0.00604478313606535,,,
2015-06-04,0.00604478313606535,,,
2015-06-05,0.00604478313606535,,,
2015-06-08,,0.003148297400393013,,
2015-06-09,,0.003148297400393013,,
2015-06-10,,0.003148297400393013,,
2015-06-11,,0.003148297400393013,,
2015-06-12,,0.003148297400393013,,
2015-06-15,,,0.004831878278219633,
2015-06-16,,,0.004831878278219633,
2015-06-17,,,0.004831878278219633,
2015-06-18,,,0.004831878278219633,
2015-06-19,,,0.004831878278219633,
2015-06-22,,,,0.004969263806257442
2015-06-23,,,,0.004969263806257442
2015-06-24,,,,0.004969263806257442
2015-06-25,,,,0.004969263806257442
2015-06-26,,,,0.004969263806257442
2015-06-29,,,,
2015-06-30,,,,
2015-07-01,0.01341945737613906,,,
2015-07-02,0.01341945737613906,,,
2015-07-03,0.01341945737613906,,,
2015-07-06,0.01341945737613906,,,
2015-07-07,0.01341945737613906,,,
2015-07-08,,0.00977011321141376,,
2015-07-09,,0.00977011321141376,,
2015-07-10,,0.00977011321141376,,
2015-07-13,,0.00977011321141376,,
2015-07-14,,0.00977011321141376,,
2015-07-15,,,0.005569307963139539,
2015-07-16,,,0.005569307963139539,
2015-07-17,,,0.005569307963139539,
2015-07-20,,,0.005569307963139539,
2015-07-21,,,0.005569307963139539,
2015-07-22,,,,0.0046789675317586155
2015-07-23,,,,0.0046789675317586155
2015-07-24,,,,0.0046789675317586155
2015-07-27,,,,0.0046789675317586155
2015-07-28,,,,0.0046789675317586155
2015-07-29,,,,
2015-07-30,,,,
2015-07-31,,,,
2015-08-03,0.008034102076139723,,,
