날짜,코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20)
2014-12-30,,,,
2015-01-02,,,,
2015-01-05,,,,
2015-01-06,,,,
2015-01-07,,,,
2015-01-08,,,,
2015-01-09,0.010973693938778374,,,
2015-01-12,0.011899112924127164,,,
2015-01-13,0.01159372947604452,,,
2015-01-14,0.006589042498518265,,,
2015-01-15,0.006961607453714232,,,
2015-01-16,0.005404653157878121,0.010973693938778374,,
2015-01-19,0.005542733887338668,0.011899112924127164,,
2015-01-20,0.007630921287943506,0.01159372947604452,,
2015-01-21,0.008871055452696518,0.006589042498518265,,
2015-01-22,0.008811237235884749,0.006961607453714232,,
2015-01-23,0.008821188736148448,0.005404653157878121,0.010973693938778374,
2015-01-26,0.00405157149532639,0.005542733887338668,0.011899112924127164,
2015-01-27,0.004295329408583494,0.007630921287943506,0.01159372947604452,
2015-01-28,0.004406488837752716,0.008871055452696518,0.006589042498518265,
2015-01-29,0.0042703782308537155,0.008811237235884749,0.006961607453714232,
2015-01-30,0.005909350742516863,0.008821188736148448,0.005404653157878121,0.010973693938778374
2015-02-02,0.005412840818254413,0.00405157149532639,0.005542733887338668,0.011899112924127164
2015-02-03,0.005340270475212405,0.004295329408583494,0.007630921287943506,0.01159372947604452
2015-02-04,0.0037117815574177477,0.004406488837752716,0.008871055452696518,0.006589042498518265
2015-02-05,0.003990876215258778,0.0042703782308537155,0.008811237235884749,0.006961607453714232
2015-02-06,0.0038834245523603657,0.005909350742516863,0.008821188736148448,0.005404653157878121
2015-02-09,0.00385626500862793,0.005412840818254413,0.00405157149532639,0.005542733887338668
2015-02-10,0.004354044149416967,0.005340270475212405,0.004295329408583494,0.007630921287943506
2015-02-11,0.00491291054724221,0.0037117815574177477,0.004406488837752716,0.008871055452696518
2015-02-12,0.004744103708010056,0.003990876215258778,0.0042703782308537155,0.008811237235884749
2015-02-13,0.0043955487953715455,0.0038834245523603657,0.005909350742516863,0.008821188736148448
2015-02-16,0.006093090004134046,0.00385626500862793,0.005412840818254413,0.00405157149532639
2015-02-17,0.005548201518795745,0.004354044149416967,0.005340270475212405,0.004295329408583494
2015-02-23,0.0040345131566468856,0.00491291054724221,0.0037117815574177477,0.004406488837752716
2015-02-24,0.0038554910615375463,0.004744103708010056,0.003990876215258778,0.0042703782308537155
2015-02-25,0.0029682933705106086,0.0043955487953715455,0.0038834245523603657,0.005909350742516863
2015-02-26,0.0026192603663849215,0.006093090004134046,0.00385626500862793,0.005412840818254413
2015-02-27,0.0023749580929618977,0.005548201518795745,0.004354044149416967,0.005340270475212405
2015-03-02,0.004032793034163505,0.0040345131566468856,0.00491291054724221,0.0037117815574177477
2015-03-03,0.004258252491167506,0.0038554910615375463,0.004744103708010056,0.003990876215258778
2015-03-04,0.004220246166328688,0.0029682933705106086,0.0043955487953715455,0.0038834245523603657
2015-03-05,0.003546333410984299,0.0026192603663849215,0.006093090004134046,0.00385626500862793
2015-03-06,0.003544974037695414,0.0023749580929618977,0.005548201518795745,0.004354044149416967
2015-03-09,0.003686022081510605,0.004032793034163505,0.0040345131566468856,0.00491291054724221
2015-03-10,0.006322136532945511,0.004258252491167506,0.0038554910615375463,0.004744103708010056
2015-03-11,0.006286672346757816,0.004220246166328688,0.0029682933705106086,0.0043955487953715455
2015-03-12,0.006287915102470606,0.003546333410984299,0.0026192603663849215,0.006093090004134046
2015-03-13,0.006350423141813578,0.003544974037695414,0.0023749580929618977,0.005548201518795745
2015-03-16,0.006520451847056981,0.003686022081510605,0.004032793034163505,0.0040345131566468856
2015-03-17,0.0051385117060791085,0.006322136532945511,0.004258252491167506,0.0038554910615375463
2015-03-18,0.010561980803947463,0.006286672346757816,0.004220246166328688,0.0029682933705106086
2015-03-19,0.0103797083599663,0.006287915102470606,0.003546333410984299,0.0026192603663849215
2015-03-20,0.00883432960983482,0.006350423141813578,0.003544974037695414,0.0023749580929618977
2015-03-23,0.00933593129757883,0.006520451847056981,0.003686022081510605,0.004032793034163505
2015-03-24,0.009476319776439077,0.0051385117060791085,0.006322136532945511,0.004258252491167506
2015-03-25,0.0023193395880309587,0.010561980803947463,0.006286672346757816,0.004220246166328688
2015-03-26,0.0021139796750859166,0.0103797083599663,0.006287915102470606,0.003546333410984299
2015-03-27,0.004827749485187631,0.00883432960983482,0.006350423141813578,0.003544974037695414
2015-03-30,0.004786286075534315,0.00933593129757883,0.006520451847056981,0.003686022081510605
2015-03-31,0.005697463152833804,0.009476319776439077,0.0051385117060791085,0.006322136532945511
2015-04-01,0.006237649285967249,0.0023193395880309587,0.010561980803947463,0.006286672346757816
2015-04-02,0.006772095932192734,0.0021139796750859166,0.0103797083599663,0.006287915102470606
2015-04-03,0.0048173940049916625,0.004827749485187631,0.00883432960983482,0.006350423141813578
2015-04-06,0.005609124538076522,0.004786286075534315,0.00933593129757883,0.006520451847056981
2015-04-07,0.005463925322363962,0.005697463152833804,0.009476319776439077,0.0051385117060791085
2015-04-08,0.005038790661198782,0.006237649285967249,0.0023193395880309587,0.010561980803947463
2015-04-09,0.003718001395771839,0.006772095932192734,0.0021139796750859166,0.0103797083599663
2015-04-10,0.0038138749436104416,0.0048173940049916625,0.004827749485187631,0.00883432960983482
2015-04-13,0.006083811197249292,0.005609124538076522,0.004786286075534315,0.00933593129757883
2015-04-14,0.005737763174893335,0.005463925322363962,0.005697463152833804,0.009476319776439077
2015-04-15,0.00507301319247637,0.005038790661198782,0.006237649285967249,0.0023193395880309587
